xc,yb,surf,section,cp,std
0.95,0,U,1,-0.025,
0.75,0,U,1,-0.14,
0.65,0,U,1,-0.205,
0.5,0,U,1,-0.275,
0.35,0,U,1,-0.315,
0.225,0,U,1,-0.26,
0.15,0,U,1,-0.195,
0.08,0,U,1,-0.085,
0.03,0,U,1,0.095,
0.01,0,U,1,0.33,
0,0,U,1,1.01,
0.01,0,L,1,0.64,
0.03,0,L,1,0.35,
0.08,0,L,1,0.11,
0.15,0,L,1,-0.005,
0.225,0,L,1,-0.08,
0.35,0,L,1,-0.17,
0.5,0,L,1,-0.16,
0.65,0,L,1,-0.11,
0.75,0,L,1,-0.08,
0.85,0,L,1,-0.035,
0.95,0,L,1,0,
0.95,0.041,U,2,0.055,
0.85,0.041,U,2,-0.025,
0.75,0.041,U,2,-0.09,
0.65,0.041,U,2,-0.145,
0.5,0.041,U,2,-0.25,
0.35,0.041,U,2,-0.31,
0.225,0.041,U,2,-0.34,
0.15,0.041,U,2,-0.305,
0.08,0.041,U,2,-0.25,
0.03,0.041,U,2,-0.185,
0.01,0.041,U,2,-0.015,
0,0.041,U,2,0.525,
0.01,0.041,L,2,0.375,
0.03,0.041,L,2,0.19,
0.08,0.041,L,2,0.02,
0.15,0.041,L,2,-0.105,
0.225,0.041,L,2,-0.14,
0.35,0.041,L,2,-0.185,
0.5,0.041,L,2,-0.15,
0.65,0.041,L,2,-0.1,
0.85,0.041,L,2,0,
0.95,0.041,L,2,0.06,
0.95,0.082,U,3,0.06,
0.85,0.082,U,3,-0.005,
0.75,0.082,U,3,-0.065,
0.65,0.082,U,3,-0.13,
0.5,0.082,U,3,-0.245,
0.35,0.082,U,3,-0.335,
0.225,0.082,U,3,-0.365,
0.15,0.082,U,3,-0.355,
0.08,0.082,U,3,-0.315,
0.03,0.082,U,3,-0.26,
0.01,0.082,U,3,-0.08,
0,0.082,U,3,0.44,
0.01,0.082,L,3,0.375,
0.03,0.082,L,3,0.17,
0.08,0.082,L,3,-0.035,
0.15,0.082,L,3,-0.135,
0.225,0.082,L,3,-0.17,
0.35,0.082,L,3,-0.2,
0.5,0.082,L,3,-0.145,
0.65,0.082,L,3,-0.045,
0.75,0.082,L,3,-0.02,
0.85,0.082,L,3,0.025,
0.95,0.082,L,3,0.07,
0.95,0.163,U,4,0.06,
0.85,0.163,U,4,-0.005,
0.75,0.163,U,4,-0.05,
0.65,0.163,U,4,-0.095,
0.5,0.163,U,4,-0.19,
0.35,0.163,U,4,-0.335,
0.225,0.163,U,4,-0.37,
0.15,0.163,U,4,-0.39,
0.08,0.163,U,4,-0.365,
0.03,0.163,U,4,-0.3,
0.01,0.163,U,4,-0.155,
0,0.163,U,4,0.4,
