xc,yb,surf,section,cp,std
0.95,0,U,1,-0.065,
0.85,0,U,1,-0.185,
0.75,0,U,1,-0.25,
0.65,0,U,1,-0.35,
0.5,0,U,1,-0.475,
0.35,0,U,1,-0.59,
0.225,0,U,1,-0.56,
0.15,0,U,1,-0.55,
0.08,0,U,1,-0.505,
0.03,0,U,1,-0.46,
0.01,0,U,1,-0.34,
0,0,U,1,0.785,
0.01,0,L,1,0.945,
0.03,0,L,1,0.745,
0.08,0,L,1,0.48,
0.15,0,L,1,0.345,
0.225,0,L,1,0.25,
0.35,0,L,1,0.13,
0.5,0,L,1,0.09,
0.65,0,L,1,0.08,
0.75,0,L,1,0.09,
0.85,0,L,1,0.1,
0.95,0,L,1,0.09,
0.95,0.041,U,2,0.04,
0.85,0.041,U,2,-0.08,
0.75,0.041,U,2,-0.185,
0.65,0.041,U,2,-0.275,
0.5,0.041,U,2,-0.415,
0.35,0.041,U,2,-0.575,
0.225,0.041,U,2,-0.66,
0.15,0.041,U,2,-0.69,
0.08,0.041,U,2,-0.79,
0.03,0.041,U,2,-1.055,
0.01,0.041,U,2,-1.155,
0,0.041,U,2,-0.26,
0.01,0.041,L,2,0.535,
0.03,0.041,L,2,0.565,
0.08,0.041,L,2,0.42,
0.15,0.041,L,2,0.285,
0.225,0.041,L,2,0.195,
0.35,0.041,L,2,0.105,
0.5,0.041,L,2,0.085,
0.65,0.041,L,2,0.085,
0.75,0.041,L,2,0.105,
0.85,0.041,L,2,0.1,
0.95,0.041,L,2,0.11,
0.95,0.082,U,3,0.05,
0.85,0.082,U,3,-0.04,
0.75,0.082,U,3,-0.135,
0.65,0.082,U,3,-0.235,
0.5,0.082,U,3,-0.395,
0.35,0.082,U,3,-0.57,
0.225,0.082,U,3,-0.695,
0.15,0.082,U,3,-0.78,
0.08,0.082,U,3,-0.93,
0.03,0.082,U,3,-1.335,
0.01,0.082,U,3,-1.51,
0,0.082,U,3,-0.87,
0.01,0.082,L,3,0.485,
0.03,0.082,L,3,0.55,
0.08,0.082,L,3,0.395,
0.15,0.082,L,3,0.265,
0.225,0.082,L,3,0.18,
0.35,0.082,L,3,0.095,
0.5,0.082,L,3,0.085,
0.65,0.082,L,3,0.09,
0.75,0.082,L,3,0.095,
0.85,0.082,L,3,0.105,
0.95,0.082,L,3,0.1,
0.95,0.163,U,4,0.04,
0.85,0.163,U,4,-0.02,
0.75,0.163,U,4,-0.095,
0.65,0.163,U,4,-0.19,
0.5,0.163,U,4,-0.34,
0.35,0.163,U,4,-0.58,
0.225,0.163,U,4,-0.725,
0.15,0.163,U,4,-0.92,
0.08,0.163,U,4,-1.08,
0.03,0.163,U,4,-1.57,
0.01,0.163,U,4,-1.99,
0,0.163,U,4,-1.45,
0.01,0.163,L,4,0.365,
0.03,0.163,L,4,0.53,
0.08,0.163,L,4,0.405,
0.15,0.163,L,4,0.265,
0.225,0.163,L,4,0.18,
0.35,0.163,L,4,0.09,
0.5,0.163,L,4,0.08,
0.65,0.163,L,4,0.095,
0.75,0.163,L,4,0.095,
0.85,0.163,L,4,0.085,
0.95,0.163,L,4,0.08,
0.95,0.245,U,5,0.035,
0.85,0.245,U,5,0,
0.75,0.245,U,5,-0.07,
0.65,0.245,U,5,-0.14,
0.35,0.245,U,5,-0.52,
0.225,0.245,U,5,-0.75,
0.15,0.245,U,5,-0.905,
0.08,0.245,U,5,-1.1,
0.03,0.245,U,5,-1.71,
0.01,0.245,U,5,-2.065,
0,0.245,U,5,-1.445,
0.01,0.245,L,5,0.37,
0.03,0.245,L,5,0.53,
0.08,0.245,L,5,0.41,
0.15,0.245,L,5,0.275,
0.225,0.245,L,5,0.21,
0.35,0.245,L,5,0.105,
0.5,0.245,L,5,0.09,
0.65,0.245,L,5,0.095,
0.75,0.245,L,5,0.1,
0.85,0.245,L,5,0.09,
0.95,0.245,L,5,0.075,
0.95,0.367,U,6,0.015,
0.85,0.367,U,6,-0.02,
0.75,0.367,U,6,-0.055,
0.65,0.367,U,6,-0.125,
0.5,0.367,U,6,-0.275,
0.35,0.367,U,6,-0.525,
0.225,0.367,U,6,-0.74,
0.15,0.367,U,6,-0.935,
0.08,0.367,U,6,-1.205,
0.03,0.367,U,6,-1.715,
0.01,0.367,U,6,-2.305,
0,0.367,U,6,-1.305,
0.01,0.367,L,6,0.36,
0.03,0.367,L,6,0.535,
0.08,0.367,L,6,0.435,
0.15,0.367,L,6,0.285,
0.225,0.367,L,6,0.195,
0.35,0.367,L,6,0.1,
0.5,0.367,L,6,0.1,
0.65,0.367,L,6,0.085,
0.75,0.367,L,6,0.075,
0.85,0.367,L,6,0.085,
0.95,0.367,L,6,0.055,
0.95,0.51,U,7,-0.025,
0.85,0.51,U,7,-0.025,
0.75,0.51,U,7,-0.055,
0.65,0.51,U,7,-0.115,
0.5,0.51,U,7,-0.26,
0.35,0.51,U,7,-0.52,
0.225,0.51,U,7,-0.71,
0.15,0.51,U,7,-0.915,
0.08,0.51,U,7,-1.235,
0.03,0.51,U,7,-1.885,
0.01,0.51,U,7,-2.335,
0,0.51,U,7,-0.995,
0.01,0.51,L,7,0.325,
0.03,0.51,L,7,0.53,
0.08,0.51,L,7,0.445,
0.15,0.51,L,7,0.295,
0.225,0.51,L,7,0.2,
0.35,0.51,L,7,0.1,
0.5,0.51,L,7,0.09,
0.65,0.51,L,7,0.075,
0.75,0.51,L,7,0.08,
0.85,0.51,L,7,0.07,
0.95,0.51,L,7,0.04,
0.95,0.653,U,8,0.06,
0.85,0.653,U,8,-0.02,
0.75,0.653,U,8,-0.065,
0.65,0.653,U,8,-0.12,
0.5,0.653,U,8,-0.245,
0.35,0.653,U,8,-0.49,
0.225,0.653,U,8,-0.725,
0.15,0.653,U,8,-0.915,
0.08,0.653,U,8,-1.255,
0.03,0.653,U,8,-1.795,
0.01,0.653,U,8,-2.445,
0,0.653,U,8,-1.685,
0.01,0.653,L,8,0.335,
0.03,0.653,L,8,0.53,
0.08,0.653,L,8,0.435,
0.15,0.653,L,8,0.3,
0.225,0.653,L,8,0.19,
0.35,0.653,L,8,0.09,
0.5,0.653,L,8,0.085,
0.65,0.653,L,8,0.075,
0.75,0.653,L,8,0.065,
0.85,0.653,L,8,0.07,
0.95,0.653,L,8,0.07,
0.95,0.898,U,9,0.1,
0.85,0.898,U,9,0.04,
0.75,0.898,U,9,0,
0.65,0.898,U,9,-0.055,
0.5,0.898,U,9,-0.18,
0.35,0.898,U,9,-0.385,
0.225,0.898,U,9,-0.6,
0.15,0.898,U,9,-0.715,
0.08,0.898,U,9,-0.895,
0.03,0.898,U,9,-1.48,
0.01,0.898,U,9,-1.835,
0,0.898,U,9,-1.375,
0.01,0.898,L,9,0.325,
0.03,0.898,L,9,0.38,
0.08,0.898,L,9,0.24,
0.15,0.898,L,9,0.14,
0.225,0.898,L,9,0.05,
0.35,0.898,L,9,-0.035,
0.5,0.898,L,9,0.005,
0.65,0.898,L,9,0.03,
0.75,0.898,L,9,0.035,
0.85,0.898,L,9,0.055,
0.95,0.898,L,9,0.07,
0.7,0.949,U,10,-0.055,
0.5,0.949,U,10,-0.27,
0.35,0.949,U,10,-0.44,
0.25,0.949,U,10,-0.595,
0.15,0.949,U,10,-0.795,
0.1,0.949,U,10,-0.915,
0.05,0.949,U,10,-1.17,
0.025,0.949,U,10,-1.375,
0,0.949,U,10,-0.88,
0.025,0.949,L,10,-0.085,
0.05,0.949,L,10,0.025,
0.1,0.949,L,10,0.05,
0.15,0.949,L,10,0.045,
0.25,0.949,L,10,0.045,
0.35,0.949,L,10,0.005,
0.5,0.949,L,10,0.035,
0.7,0.949,L,10,0.07,
