,0.73,0.73,0.73,0.745,0.75,0.74
0.9938,0.1424,0.1347,0.0943,0.0727,0.0399,0.0929
0.9875,0.1307,0.1232,0.0878,0.0658,0.0305,0.0847
0.975,0.1084,0.1012,0.0747,0.0509,0.0134,0.0698
0.95,0.0623,0.057,0.039,0.0207,-0.0218,0.0368
0.925,0.0171,0.0114,0.006,-0.0112,-0.0495,0.0014
0.9,-0.0264,-0.0325,-0.0319,-0.0435,-0.0944,-0.0347
0.875,-0.0706,-0.076,-0.0748,-0.0781,-0.1338,-0.0718
0.85,-0.1149,-0.1226,-0.1202,-0.1163,-0.1801,-0.1141
0.825,-0.1594,-0.1654,-0.157,-0.1527,-0.2202,-0.1522
0.8,-0.2063,-0.2103,-0.2052,-0.1903,-0.2668,-0.1935
0.775,-0.2494,-0.2535,-0.2478,-0.2282,-0.3106,-0.2323
0.75,-0.2945,-0.2983,-0.2851,-0.2687,-0.3545,-0.2747
0.7,-0.3926,-0.3915,-0.3773,-0.3505,-0.4431,-0.3631
0.6771,-0.4349,-0.437,-0.4135,-0.391,-0.4814,-0.4005
0.65,-0.5007,-0.4949,-0.4597,-0.4401,-0.5279,-0.4507
0.6196,-0.53,-0.5681,-0.5062,-0.501,-0.5834,-0.5031
0.6,-0.6428,-0.6338,-0.5442,-0.555,-0.6301,-0.5448
0.575,-0.7787,-0.7552,-0.5805,-0.6453,-0.7394,-0.6147
0.55,-1.1829,-1.1249,-0.6213,-0.8741,-1.0674,-0.758
0.525,-1.3132,-1.3097,-0.6892,-1.2131,-1.2612,-1.1149
0.5,-1.2882,-1.2853,-0.8781,-1.2075,-1.2412,-1.2331
0.475,-1.2661,-1.2593,-1.1188,-1.1654,-1.215,-1.221
0.45,-1.2514,-1.242,-1.1795,-1.1528,-1.1927,-1.202
0.425,-1.2305,-1.229,-1.1812,-1.1604,-1.166,-1.1919
0.4,-1.2155,-1.2085,-1.17,-1.1419,-1.1515,-1.172
0.375,-1.199,-1.1917,-1.161,-1.1261,-1.1314,-1.1544
0.35,-1.1851,-1.1727,-1.1444,-1.105,-1.1096,-1.1339
0.325,-1.1706,-1.1658,-1.1448,-1.1132,-1.1016,-1.1305
0.3,-1.1586,-1.1535,-1.1329,-1.1287,-1.0836,-1.1139
0.28,-1.1516,--,--,--,--,--
0.25,-1.1282,-1.111,-1.0971,-0.9889,-1.0414,-1.0788
0.2208,-1.0957,-1.089,-1.0701,-1.0044,-1.0096,-1.0435
0.2,-1.0947,-1.0834,-1.0661,-0.9988,-0.9979,-1.0377
0.15,-1.0904,-1.0981,-1.0771,-0.9967,-0.9948,-1.0474
0.1,-1.0744,-1.1123,-1.0893,-0.9815,-0.9831,-1.0494
0.075,-1.1175,-1.1697,-1.1635,-1.0776,-1.0304,-1.1063
0.0625,-1.1133,-1.1771,-1.1944,-1.1375,-1.0566,-1.1365
0.05,-1.1209,-1.1973,-1.2163,-1.1375,-1.0896,-1.1609
0.0375,-1.1558,-1.1741,-1.1976,-1.1268,-1.0791,-1.1446
0.0188,-1.0676,-1.0439,-1.0371,-0.91,-0.8535,-0.9049
0.0146,-0.9648,-0.9608,-0.9603,-0.8424,-0.7986,-0.8898
0.0125,-0.917,-0.9113,-0.9065,-0.7909,-0.7611,-0.8422
0.0104,-0.8592,-0.8572,-0.8524,-0.7313,-0.6741,-0.7834
0.0087,-0.8225,-0.8198,-0.8097,-0.6864,-0.6388,-0.7446
0.0073,-0.7808,-0.7675,-0.7571,-0.6331,-0.5879,-0.6933
0.006,-0.6814,-0.6827,-0.6718,-0.55,-0.5053,-0.606
0.0048,-0.587,-0.5852,-0.5736,-0.4519,-0.4109,-0.51
0.0036,-0.458,-0.4609,-0.4504,-0.3331,-0.2901,-0.3396
0.0026,-0.3347,-0.3348,-0.3219,-0.2065,-0.1664,-0.2611
0.0016,-0.1041,-0.1075,-0.0941,0.0117,0.0506,-0.0413
0.0008,0.049,0.0491,0.0626,0.163,0.1981,0.1158
0.0002,0.3696,0.3761,0.3926,0.4792,0.5064,0.4363
0,0.797,0.7963,0.8063,0.8636,0.8821,0.8386
0.0002,1.0194,1.0157,1.0211,1.0543,1.0652,1.0377
0.0008,1.0949,1.0912,1.0939,1.1134,1.1212,1.1049
0.0016,1.135,1.1315,1.1303,1.1352,1.1386,1.1345
0.0026,1.1295,1.1257,1.1221,1.1208,1.1219,1.1235
0.0036,1.0969,1.0944,1.0878,1.08,1.0785,1.0861
0.0048,1.0483,1.0467,1.0368,1.0233,1.0199,1.0332
0.006,0.9987,0.9971,0.9868,0.9698,0.9659,0.9825
0.0073,0.943,0.94,0.9312,0.9117,0.9057,0.9221
0.0087,0.9,0.8967,0.8838,0.8626,0.8594,0.8769
0.0104,,0.8441,0.8313,0.7978,0.8053,0.8246
0.0125,0.7874,0.7849,0.7701,0.7478,0.7438,0.7628
0.0146,0.7338,0.7309,0.718,0.6919,0.6896,0.7098
0.0186,0.6531,0.6501,0.6402,0.6139,0.612,0.6287
0.0271,0.557,0.5652,0.5489,0.5242,0.5311,0.5416
0.0375,0.4358,0.4393,0.4232,0.4002,0.4005,0.4166
0.05,0.3389,0.3447,0.3227,0.2998,0.3089,0.3154
0.0625,0.2738,0.2776,0.2561,0.2343,0.2427,0.2504
0.075,0.2201,0.2263,0.2091,0.1834,0.1914,0.2005
0.1,0.1305,--,0.1263,0.0988,0.1016,0.1185
0.15,0.0155,0.0203,0.0028,-0.0136,-0.0109,0.0015
0.2,-0.0705,-0.0641,-0.0834,-0.0999,-0.0977,-0.0849
0.25,-0.1551,-0.1462,-0.164,-0.1838,-0.1859,-0.1667
0.3,-0.2321,-0.2246,-0.2441,-0.2667,-0.2692,-0.2492
0.325,-0.2728,-0.2635,-0.2826,-0.3092,-0.3133,-0.2877
0.35,,-0.296,-0.3144,-0.3408,-0.3501,-0.32
0.375,-0.3252,-0.3162,-0.3362,-0.3656,-0.3734,-0.3431
0.4,-0.3264,-0.3187,-0.337,-0.3644,-0.3735,-0.3439
0.425,-0.3055,-0.2987,-0.3185,-0.3465,-0.3537,-0.3266
0.45,-0.2763,-0.2673,-0.2868,--,-0.2977,-0.2918
0.475,-0.2359,-0.2292,-0.2488,-0.2697,-0.2743,-0.2526
0.5,-0.1868,-0.1836,-0.2031,-0.223,-0.2275,-0.2061
0.525,-0.1466,-0.1441,-0.1508,-0.1782,-0.1822,-0.1646
0.55,-0.0995,-0.0971,-0.1151,-0.1312,-0.133,-0.117
0.575,-0.057,-0.0522,-0.0716,-0.0834,-0.0859,-0.0715
0.6,-0.0145,-0.0108,-0.0306,-0.0428,-0.0421,-0.0314
0.6196,0.0155,0.0168,-0.0028,-0.0135,-0.012,-0.0031
0.65,0.0568,0.0594,0.0405,0.0313,0.031,0.0402
0.6771,0.0922,--,0.0782,0.0669,,0.0801
0.7,0.1246,0.12,0.0997,0.0986,0.1037,0.1053
0.75,,0.1786,0.159,0.1563,0.163,0.1624
0.775,0.2083,0.2038,0.1846,0.1817,0.1875,0.1884
0.8,,0.2281,0.2045,0.2034,0.2112,0.2088
0.825,,0.2471,0.2256,0.223,0.2295,0.2296
0.85,0.2693,0.2657,0.241,0.2404,0.2464,0.2455
0.875,0.2842,0.2792,0.2542,0.2524,0.2586,0.2586
0.9,0.2974,0.2917,0.2627,0.2644,0.269,0.2669
0.925,0.3034,0.2965,0.2687,0.2646,0.2698,0.2709
0.95,0.2988,0.2922,0.2623,--,0.2595,0.2646
0.975,0.2713,0.264,0.2318,0.2231,0.2193,0.2317
0.9875,0.2439,0.2381,0.1983,0.1869,0.1789,0.2007
0.9938,0.2174,0.21,0.1737,0.1566,0.141,0.1698
