xc,yb,surf,section,cp
0.068029,0.3436,L,3,-0.464459158
0.096415,0.3436,L,3,-0.492492938
0.127694,0.3436,L,3,-0.443520942
0.161629,0.3436,L,3,-0.46053695
0.197963,0.3436,L,3,-0.482928384
0.236335,0.3436,L,3,-0.442227132
0.276981,0.3436,L,3,-0.415246195
0.319442,0.3436,L,3,-0.41554277
0.363751,0.3436,L,3,-0.352850459
0.410335,0.3436,L,3,-0.317554292
0.458507,0.3436,L,3,-0.295948781
0.508984,0.3436,L,3,-0.266117014
0.561119,0.3436,L,3,-0.250005561
0.615491,0.3436,L,3,-0.220203451
0.671552,0.3436,L,3,-0.184833139
0.72819,0.3436,L,3,-0.141310715
0.785998,0.3436,L,3,-0.105955232
0.843881,0.3436,L,3,-0.059596806
0.900483,0.3436,L,3,-0.015955751
0.95624,0.3436,L,3,0.071593277
0.99619,0.3436,L,3,0.145570277
0.99619,0.4813,U,4,0.156511078
0.95624,0.4813,U,4,0.077048473
0.900483,0.4813,U,4,0.008230154
0.843881,0.4813,U,4,-0.04731907
0.785998,0.4813,U,4,-0.084273602
0.72819,0.4813,U,4,-0.118575696
0.671552,0.4813,U,4,-0.171465575
0.615491,0.4813,U,4,-0.20309451
0.561119,0.4813,U,4,-0.226786855
0.508984,0.4813,U,4,-0.242528795
0.458507,0.4813,U,4,-0.260888636
0.410335,0.4813,U,4,-0.292524478
0.363751,0.4813,U,4,-0.310898133
0.319442,0.4813,U,4,-0.329257974
0.276981,0.4813,U,4,-0.32109344
0.236335,0.4813,U,4,-0.37392806
0.197963,0.4813,U,4,-0.352494431
0.161629,0.4813,U,4,-0.376138424
0.127694,0.4813,U,4,-0.413044604
0.096415,0.4813,U,4,-0.402186189
0.068029,0.4813,U,4,-0.362137146
0.043449,0.4813,U,4,-0.284933257
0.026691,0.4813,U,4,-0.263465092
0.020164,0.4813,U,4,-0.114811169
0.015533,0.4813,U,4,-0.024524685
0.012003,0.4813,U,4,0.03390492
0.008412,0.4813,U,4,0.156013746
0.005101,0.4813,U,4,0.386900136
0.001938,0.4813,U,4,0.755733996
0,0.4813,U,4,1.007943498
0.001938,0.4813,L,4,0.633735689
0.005101,0.4813,L,4,0.283461983
0.008412,0.4813,L,4,0.020732529
0.012003,0.4813,L,4,-0.109326702
0.015533,0.4813,L,4,-0.15713965
0.020164,0.4813,L,4,-0.242135074
0.026691,0.4813,L,4,-0.335080903
0.043449,0.4813,L,4,-0.41755513
0.068029,0.4813,L,4,-0.386009083
0.096415,0.4813,L,4,-0.423384966
0.127694,0.4813,L,4,-0.405087292
0.161629,0.4813,L,4,-0.421222953
0.197963,0.4813,L,4,-0.453287054
0.236335,0.4813,L,4,-0.43760728
0.276981,0.4813,L,4,-0.411276313
0.319442,0.4813,L,4,-0.4008876
0.363751,0.4813,L,4,-0.332117633
0.410335,0.4813,L,4,-0.31109154
0.458507,0.4813,L,4,-0.284746758
0.508984,0.4813,L,4,-0.253117823
0.561119,0.4813,L,4,-0.237396605
0.615491,0.4813,L,4,-0.21370426
0.671552,0.4813,L,4,-0.174104198
0.72819,0.4813,L,4,-0.129192354
0.785998,0.4813,L,4,-0.097528882
0.843881,0.4813,L,4,-0.063219879
0.900483,0.4813,L,4,-0.007670656
0.95624,0.4813,L,4,0.061140755
0.99619,0.4813,L,4,0.143262705
0.99619,0.6084,U,5,0.155158699
0.95624,0.6084,U,5,0.086158131
0.900483,0.6084,U,5,0.003478369
0.843881,0.6084,U,5,-0.048733069
0.785998,0.6084,U,5,-0.076015878
0.72819,0.6084,U,5,-0.106011854
0.671552,0.6084,U,5,-0.166513941
0.615491,0.6084,U,5,-0.19926087
0.561119,0.6084,U,5,-0.212618866
0.508984,0.6084,U,5,-0.242577054
0.458507,0.6084,U,5,-0.25593505
0.410335,0.6084,U,5,-0.283142284
0.363751,0.6084,U,5,-0.304790929
0.319442,0.6084,U,5,-0.326458468
0.276981,0.6084,U,5,-0.309272565
0.236335,0.6084,U,5,-0.36137064
0.197963,0.6084,U,5,-0.355245234
0.161629,0.6084,U,5,-0.362987959
0.127694,0.6084,U,5,-0.406644233
0.096415,0.6084,U,5,-0.40600184
0.068029,0.6084,U,5,-0.374834442
0.043449,0.6084,U,5,-0.31866284
0.026691,0.6084,U,5,-0.16294677
0.020164,0.6084,U,5,-0.107228622
0.015533,0.6084,U,5,-0.029408375
0.012003,0.6084,U,5,0.01229049
0.008412,0.6084,U,5,0.195402733
0.005101,0.6084,U,5,0.397903909
0.001938,0.6084,U,5,0.708523611
0,0.6084,U,5,0.991690457
0.001938,0.6084,L,5,0.625447077
0.005101,0.6084,L,5,0.30094035
0.008412,0.6084,L,5,0.070759592
0.012003,0.6084,L,5,-0.054148064
0.015533,0.6084,L,5,-0.15407041
0.020164,0.6084,L,5,-0.2402002
0.026691,0.6084,L,5,-0.293129607
0.043449,0.6084,L,5,-0.387946817
0.068029,0.6084,L,5,-0.394223375
0.096415,0.6084,L,5,-0.466919593
0.127694,0.6084,L,5,-0.412221716
0.161629,0.6084,L,5,-0.423886818
0.197963,0.6084,L,5,-0.449457839
0.236335,0.6084,L,5,-0.419518545
0.276981,0.6084,L,5,-0.400658642
0.319442,0.6084,L,5,-0.373508089
0.363751,0.6084,L,5,-0.321372227
0.410335,0.6084,L,5,-0.299742476
0.458507,0.6084,L,5,-0.269784288
0.508984,0.6084,L,5,-0.248097855
0.561119,0.6084,L,5,-0.226468104
0.615491,0.6084,L,5,-0.199298658
0.671552,0.6084,L,5,-0.166476153
0.72819,0.6084,L,5,-0.125438575
0.785998,0.6084,L,5,-0.084344315
0.843881,0.6084,L,5,-0.057042611
0.900483,0.6084,L,5,0.003478369
0.95624,0.6084,L,5,0.080618436
0.99619,0.6084,L,5,0.160679501
0.99619,0.7218,U,6,0.165960337
0.95624,0.7218,U,6,0.086469358
0.900483,0.7218,U,6,0.012625151
0.843881,0.7218,U,6,-0.030009341
0.785998,0.7218,U,6,-0.066973901
0.72819,0.7218,U,6,-0.092617895
