xc,zc,surf
1,0.002415,U
0.999753,0.002481,U
0.999013,0.00268,U
0.997781,0.003011,U
0.996057,0.003473,U
0.993844,0.004064,U
0.991144,0.004784,U
0.987958,0.005629,U
0.984292,0.006599,U
0.980147,0.007689,U
0.975528,0.008898,U
0.97044,0.010222,U
0.964888,0.011657,U
0.958877,0.0132,U
0.952414,0.014847,U
0.945503,0.016594,U
0.938153,0.018436,U
0.930371,0.02037,U
0.922164,0.022389,U
0.91354,0.024491,U
0.904508,0.026669,U
0.895078,0.028919,U
0.885257,0.031236,U
0.875056,0.033616,U
0.864484,0.036051,U
0.853553,0.038539,U
0.842274,0.041073,U
0.830656,0.043648,U
0.818712,0.046259,U
0.806454,0.048901,U
0.793893,0.051568,U
0.781042,0.054255,U
0.767913,0.056957,U
0.754521,0.059668,U
0.740877,0.062382,U
0.726995,0.065095,U
0.71289,0.067799,U
0.698574,0.070491,U
0.684062,0.073163,U
0.669369,0.075809,U
0.654508,0.078425,U
0.639496,0.081003,U
0.624345,0.083538,U
0.609072,0.086023,U
0.593691,0.088452,U
0.578217,0.090817,U
0.562667,0.093114,U
0.547054,0.095334,U
0.531395,0.097471,U
0.515705,0.099518,U
0.5,0.101469,U
0.484295,0.103316,U
0.468605,0.105053,U
0.452946,0.106673,U
0.437333,0.108168,U
0.421783,0.109534,U
0.406309,0.110762,U
0.390928,0.111848,U
0.375655,0.112784,U
0.360504,0.113565,U
0.345492,0.114185,U
0.330631,0.114639,U
0.315938,0.114923,U
0.301426,0.115032,U
0.28711,0.114962,U
0.273005,0.114709,U
0.259123,0.11427,U
0.245479,0.113644,U
0.232087,0.112827,U
0.218958,0.111819,U
0.206107,0.110619,U
0.193546,0.109226,U
0.181288,0.10764,U
0.169344,0.105864,U
0.157726,0.103897,U
0.146447,0.101743,U
0.135516,0.099403,U
0.124944,0.096881,U
0.114743,0.094181,U
0.104922,0.091306,U
0.095492,0.08826,U
0.08646,0.08505,U
0.077836,0.081679,U
0.069629,0.078154,U
0.061847,0.074479,U
0.054497,0.070661,U
0.047586,0.066705,U
0.041123,0.062619,U
0.035112,0.058406,U
0.02956,0.054074,U
0.024472,0.049629,U
0.019853,0.045075,U
0.015708,0.040418,U
0.012042,0.035664,U
0.008856,0.030817,U
0.006156,0.025881,U
0.003943,0.020861,U
0.002219,0.01576,U
0.000987,0.010581,U
0.000247,0.005327,U
0,0,U
0,0,L
0.000247,-0.005327,L
0.000987,-0.010581,L
0.002219,-0.01576,L
0.003943,-0.020861,L
0.006156,-0.025881,L
0.008856,-0.030817,L
0.012042,-0.035664,L
0.015708,-0.040418,L
0.019853,-0.045075,L
0.024472,-0.049629,L
0.02956,-0.054074,L
0.035112,-0.058406,L
0.041123,-0.062619,L
0.047586,-0.066705,L
0.054497,-0.070661,L
0.061847,-0.074479,L
0.069629,-0.078154,L
0.077836,-0.081679,L
0.08646,-0.08505,L
0.095492,-0.08826,L
0.104922,-0.091306,L
0.114743,-0.094181,L
0.124944,-0.096881,L
0.135516,-0.099403,L
0.146447,-0.101743,L
0.157726,-0.103897,L
0.169344,-0.105864,L
0.181288,-0.10764,L
0.193546,-0.109226,L
0.206107,-0.110619,L
0.218958,-0.111819,L
0.232087,-0.112827,L
0.245479,-0.113644,L
0.259123,-0.11427,L
0.273005,-0.114709,L
0.28711,-0.114962,L
0.301426,-0.115032,L
0.315938,-0.114923,L
0.330631,-0.114639,L
0.345492,-0.114185,L
0.360504,-0.113565,L
0.375655,-0.112784,L
0.390928,-0.111848,L
0.406309,-0.110762,L
0.421783,-0.109534,L
0.437333,-0.108168,L
0.452946,-0.106673,L
0.468605,-0.105053,L
0.484295,-0.103316,L
0.5,-0.101469,L
0.515705,-0.099518,L
0.531395,-0.097471,L
0.547054,-0.095334,L
0.562667,-0.093114,L
0.578217,-0.090817,L
0.593691,-0.088452,L
0.609072,-0.086023,L
0.624345,-0.083538,L
0.639496,-0.081003,L
0.654508,-0.078425,L
0.669369,-0.075809,L
0.684062,-0.073163,L
0.698574,-0.070491,L
0.71289,-0.067799,L
0.726995,-0.065095,L
0.740877,-0.062382,L
0.754521,-0.059668,L
0.767913,-0.056957,L
0.781042,-0.054255,L
0.793893,-0.051568,L
0.806454,-0.048901,L
0.818712,-0.046259,L
0.830656,-0.043648,L
0.842274,-0.041073,L
0.853553,-0.038539,L
0.864484,-0.036051,L
0.875056,-0.033616,L
0.885257,-0.031236,L
0.895078,-0.028919,L
0.904508,-0.026669,L
0.91354,-0.024491,L
0.922164,-0.022389,L
0.930371,-0.02037,L
0.938153,-0.018436,L
0.945503,-0.016594,L
0.952414,-0.014847,L
0.958877,-0.0132,L
0.964888,-0.011657,L
0.97044,-0.010222,L
0.975528,-0.008898,L
0.980147,-0.007689,L
0.984292,-0.006599,L
0.987958,-0.005629,L
0.991144,-0.004784,L
0.993844,-0.004064,L
0.996057,-0.003473,L
0.997781,-0.003011,L
0.999013,-0.00268,L
0.999753,-0.002481,L
1,-0.002415,L
