xc,zc,surf
1,0,U
0.999013,0.000179,U
0.996057,0.000715,U
0.991144,0.0016,U
0.984292,0.002825,U
0.975528,0.004377,U
0.964888,0.006237,U
0.952414,0.008387,U
0.938153,0.010804,U
0.922164,0.013463,U
0.904508,0.016339,U
0.885257,0.019404,U
0.864484,0.022632,U
0.842274,0.025994,U
0.818712,0.029461,U
0.793893,0.033006,U
0.767913,0.036598,U
0.740877,0.04021,U
0.71289,0.04381,U
0.684062,0.04737,U
0.654508,0.050858,U
0.624345,0.054242,U
0.593691,0.05749,U
0.562667,0.060568,U
0.531395,0.063442,U
0.5,0.066077,U
0.468605,0.068437,U
0.437333,0.070487,U
0.406309,0.072193,U
0.375655,0.073523,U
0.345492,0.074446,U
0.315938,0.074934,U
0.28711,0.074964,U
0.259123,0.074517,U
0.232087,0.073578,U
0.206107,0.07214,U
0.181288,0.070199,U
0.157726,0.067758,U
0.135516,0.064828,U
0.114743,0.061422,U
0.095492,0.057561,U
0.077836,0.053269,U
0.061847,0.048573,U
0.047586,0.043504,U
0.035112,0.038091,U
0.024472,0.032367,U
0.015708,0.02636,U
0.008856,0.020098,U
0.003943,0.013605,U
0.000987,0.006901,U
0,0,U
0,0,L
0.000987,-0.006901,L
0.003943,-0.013605,L
0.008856,-0.020098,L
0.015708,-0.02636,L
0.024472,-0.032367,L
0.035112,-0.038091,L
0.047586,-0.043504,L
0.061847,-0.048573,L
0.077836,-0.053269,L
0.095492,-0.057561,L
0.114743,-0.061422,L
0.135516,-0.064828,L
0.157726,-0.067758,L
0.181288,-0.070199,L
0.206107,-0.07214,L
0.232087,-0.073578,L
0.259123,-0.074517,L
0.28711,-0.074964,L
0.315938,-0.074934,L
0.345492,-0.074446,L
0.375655,-0.073523,L
0.406309,-0.072193,L
0.437333,-0.070487,L
0.468605,-0.068437,L
0.5,-0.066077,L
0.531395,-0.063442,L
0.562667,-0.060568,L
0.593691,-0.05749,L
0.624345,-0.054242,L
0.654508,-0.050858,L
0.684062,-0.04737,L
0.71289,-0.04381,L
0.740877,-0.04021,L
0.767913,-0.036598,L
0.793893,-0.033006,L
0.818712,-0.029461,L
0.842274,-0.025994,L
0.864484,-0.022632,L
0.885257,-0.019404,L
0.904508,-0.016339,L
0.922164,-0.013463,L
0.938153,-0.010804,L
0.952414,-0.008387,L
0.964888,-0.006237,L
0.975528,-0.004377,L
0.984292,-0.002825,L
0.991144,-0.0016,L
0.996057,-0.000715,L
0.999013,-0.000179,L
1,0,L
