xc,zc,surf
1,0.00126,U
0.9994161,0.0013419,U
0.9976658,0.001587,U
0.9947532,0.0019938,U
0.990685,0.0025595,U
0.9854709,0.0032804,U
0.9791229,0.0041519,U
0.9716559,0.0051685,U
0.9630873,0.0063238,U
0.9534372,0.0076108,U
0.942728,0.0090217,U
0.9309849,0.0105485,U
0.9182351,0.0121823,U
0.9045085,0.0139143,U
0.8898372,0.0157351,U
0.8742554,0.0176353,U
0.8577995,0.0196051,U
0.8405079,0.0216347,U
0.8224211,0.0237142,U
0.8035813,0.0258337,U
0.7840324,0.0279828,U
0.7638202,0.0301515,U
0.7429917,0.0323294,U
0.7215958,0.0345058,U
0.6996823,0.03667,U
0.6773025,0.0388109,U
0.6545085,0.0409174,U
0.6313537,0.0429778,U
0.6078921,0.0449802,U
0.5841786,0.0469124,U
0.5602683,0.0487619,U
0.5362174,0.0505161,U
0.5120819,0.052162,U
0.4879181,0.0536866,U
0.4637826,0.0550769,U
0.4397317,0.05632,U
0.4158215,0.0574033,U
0.3921079,0.0583145,U
0.3686463,0.0590419,U
0.3454915,0.0595747,U
0.3226976,0.0599028,U
0.3003177,0.0600172,U
0.2784042,0.0599102,U
0.2570083,0.0595755,U
0.2361799,0.0590081,U
0.2159676,0.0582048,U
0.1964187,0.057164,U
0.1775789,0.0558856,U
0.1594921,0.0543715,U
0.1422005,0.0526251,U
0.1257446,0.0506513,U
0.1101628,0.0484567,U
0.0954915,0.0460489,U
0.0817649,0.0434371,U
0.0690152,0.040631,U
0.057272,0.0376414,U
0.0465628,0.0344792,U
0.0369127,0.0311559,U
0.0283441,0.0276827,U
0.0208771,0.0240706,U
0.0145291,0.02033,U
0.0093149,0.0164706,U
0.0052468,0.0125011,U
0.0023342,0.0084289,U
0.0005839,0.0042603,U
0,0,U
0,0,L
0.0005839,-0.0042603,L
0.0023342,-0.0084289,L
0.0052468,-0.0125011,L
0.0093149,-0.0164706,L
0.0145291,-0.02033,L
0.0208771,-0.0240706,L
0.0283441,-0.0276827,L
0.0369127,-0.0311559,L
0.0465628,-0.0344792,L
0.057272,-0.0376414,L
0.0690152,-0.040631,L
0.0817649,-0.0434371,L
0.0954915,-0.0460489,L
0.1101628,-0.0484567,L
0.1257446,-0.0506513,L
0.1422005,-0.0526251,L
0.1594921,-0.0543715,L
0.1775789,-0.0558856,L
0.1964187,-0.057164,L
0.2159676,-0.0582048,L
0.2361799,-0.0590081,L
0.2570083,-0.0595755,L
0.2784042,-0.0599102,L
0.3003177,-0.0600172,L
0.3226976,-0.0599028,L
0.3454915,-0.0595747,L
0.3686463,-0.0590419,L
0.3921079,-0.0583145,L
0.4158215,-0.0574033,L
0.4397317,-0.05632,L
0.4637826,-0.0550769,L
0.4879181,-0.0536866,L
0.5120819,-0.052162,L
0.5362174,-0.0505161,L
0.5602683,-0.0487619,L
0.5841786,-0.0469124,L
0.6078921,-0.0449802,L
0.6313537,-0.0429778,L
0.6545085,-0.0409174,L
0.6773025,-0.0388109,L
0.6996823,-0.03667,L
0.7215958,-0.0345058,L
0.7429917,-0.0323294,L
0.7638202,-0.0301515,L
0.7840324,-0.0279828,L
0.8035813,-0.0258337,L
0.8224211,-0.0237142,L
0.8405079,-0.0216347,L
0.8577995,-0.0196051,L
0.8742554,-0.0176353,L
0.8898372,-0.0157351,L
0.9045085,-0.0139143,L
0.9182351,-0.0121823,L
0.9309849,-0.0105485,L
0.942728,-0.0090217,L
0.9534372,-0.0076108,L
0.9630873,-0.0063238,L
0.9716559,-0.0051685,L
0.9791229,-0.0041519,L
0.9854709,-0.0032804,L
0.990685,-0.0025595,L
0.9947532,-0.0019938,L
0.9976658,-0.001587,L
0.9994161,-0.0013419,L
1,-0.00126,L
