xc,zc,surf
1,0.00002,U
0.99003,0.00139,U
0.98004,0.00218,U
0.97005,0.0029,U
0.96006,0.00362,U
0.95006,0.00434,U
0.94007,0.00508,U
0.93008,0.00583,U
0.92008,0.00658,U
0.91009,0.00732,U
0.90009,0.00805,U
0.8901,0.00876,U
0.8801,0.00945,U
0.87011,0.01013,U
0.86011,0.01081,U
0.85011,0.01148,U
0.84011,0.01214,U
0.83011,0.0128,U
0.82012,0.01346,U
0.81012,0.0141,U
0.80012,0.01475,U
0.79012,0.01539,U
0.78012,0.01602,U
0.77012,0.01664,U
0.76012,0.01726,U
0.75012,0.01787,U
0.74011,0.01848,U
0.73011,0.01907,U
0.72011,0.01965,U
0.71011,0.02023,U
0.70011,0.02079,U
0.6901,0.02135,U
0.6801,0.02189,U
0.6701,0.02242,U
0.66009,0.02293,U
0.65009,0.02343,U
0.64008,0.02392,U
0.63008,0.0244,U
0.62007,0.02485,U
0.61007,0.0253,U
0.60006,0.02573,U
0.59006,0.02614,U
0.58005,0.02654,U
0.57005,0.02692,U
0.56004,0.02728,U
0.55003,0.02763,U
0.54003,0.02796,U
0.53002,0.02828,U
0.52001,0.02857,U
0.51001,0.02884,U
0.5,0.02909,U
0.48999,0.02933,U
0.47998,0.02954,U
0.46998,0.02973,U
0.45997,0.02989,U
0.44996,0.03003,U
0.43995,0.03015,U
0.42994,0.03025,U
0.41993,0.03031,U
0.40993,0.03034,U
0.39992,0.03035,U
0.38991,0.03032,U
0.3799,0.03027,U
0.36989,0.03019,U
0.35989,0.03009,U
0.34988,0.02996,U
0.33987,0.02981,U
0.32986,0.02964,U
0.31985,0.02945,U
0.30985,0.02923,U
0.29984,0.029,U
0.28983,0.02874,U
0.27982,0.02845,U
0.26981,0.02815,U
0.25981,0.02782,U
0.2498,0.02746,U
0.23979,0.02708,U
0.22978,0.02668,U
0.21978,0.02625,U
0.20977,0.02579,U
0.19976,0.0253,U
0.18976,0.02479,U
0.17975,0.02424,U
0.16975,0.02366,U
0.15974,0.02305,U
0.14974,0.02241,U
0.13973,0.02173,U
0.12973,0.02102,U
0.11972,0.02026,U
0.10972,0.01945,U
0.09972,0.01859,U
0.09722,0.01837,U
0.09472,0.01814,U
0.09222,0.01791,U
0.08972,0.01767,U
0.08722,0.01743,U
0.08472,0.01719,U
0.08222,0.01695,U
0.07972,0.01669,U
0.07722,0.01644,U
0.07472,0.01618,U
0.07222,0.01592,U
0.06972,0.01565,U
0.06722,0.01537,U
0.06472,0.01509,U
0.06222,0.01481,U
0.05972,0.01452,U
0.05722,0.01422,U
0.05472,0.01392,U
0.05222,0.0136,U
0.04973,0.01328,U
0.04723,0.01296,U
0.04473,0.01262,U
0.04223,0.01227,U
0.03973,0.01192,U
0.03723,0.01155,U
0.03474,0.01117,U
0.03224,0.01078,U
0.02974,0.01037,U
0.02725,0.00994,U
0.02475,0.0095,U
0.02226,0.00903,U
0.01976,0.00854,U
0.01727,0.00801,U
0.01477,0.00745,U
0.01228,0.00683,U
0.01203,0.00677,U
0.01178,0.00671,U
0.01153,0.00664,U
0.01128,0.00657,U
0.01104,0.00651,U
0.01079,0.00644,U
0.01054,0.00637,U
0.01029,0.0063,U
0.01004,0.00623,U
0.00979,0.00616,U
0.00954,0.00608,U
0.00929,0.00601,U
0.00904,0.00594,U
0.0088,0.00586,U
0.00855,0.00578,U
0.0083,0.00571,U
0.00805,0.00563,U
0.0078,0.00555,U
0.00755,0.00546,U
0.0073,0.00538,U
0.00706,0.0053,U
0.00681,0.00521,U
0.00656,0.00512,U
0.00631,0.00503,U
0.00606,0.00494,U
0.00581,0.00484,U
0.00557,0.00475,U
0.00532,0.00465,U
0.00507,0.00455,U
0.00482,0.00444,U
0.00458,0.00433,U
0.00433,0.00423,U
0.00409,0.00411,U
0.00384,0.00399,U
0.00359,0.00387,U
0.00335,0.00374,U
0.00311,0.00361,U
0.00286,0.00347,U
0.00262,0.00332,U
0.00237,0.00317,U
0.00213,0.00301,U
0.00189,0.00283,U
0.00164,0.00265,U
0.0014,0.00245,U
0.00116,0.00224,U
0.00092,0.002,U
0.00068,0.00172,U
0.00044,0.0014,U
0.00021,0.00097,U
0,0,U
0,0,L
0.00029,-0.00094,L
0.00056,-0.00133,L
0.00082,-0.00162,L
0.00108,-0.00187,L
0.00134,-0.00208,L
0.0016,-0.00227,L
0.00186,-0.00245,L
0.00212,-0.0026,L
0.00237,-0.00275,L
0.00263,-0.00289,L
0.00288,-0.00302,L
0.00314,-0.00315,L
0.00339,-0.00326,L
0.00365,-0.00337,L
0.0039,-0.00348,L
0.00416,-0.00357,L
0.00441,-0.00367,L
0.00467,-0.00377,L
0.00492,-0.00385,L
0.00518,-0.00394,L
0.00543,-0.00403,L
0.00568,-0.00411,L
0.00593,-0.00418,L
0.00618,-0.00426,L
0.00644,-0.00434,L
0.00669,-0.00441,L
0.00694,-0.00448,L
0.00719,-0.00454,L
0.00744,-0.00461,L
0.0077,-0.00468,L
0.00795,-0.00474,L
0.0082,-0.0048,L
0.00845,-0.00487,L
0.0087,-0.00493,L
0.00895,-0.00499,L
0.0092,-0.00504,L
0.00945,-0.0051,L
0.00971,-0.00516,L
0.00996,-0.00521,L
0.01021,-0.00527,L
0.01046,-0.00532,L
0.01071,-0.00537,L
0.01096,-0.00543,L
0.01121,-0.00547,L
0.01147,-0.00552,L
0.01172,-0.00557,L
0.01197,-0.00562,L
0.01222,-0.00567,L
0.01247,-0.00572,L
0.01272,-0.00577,L
0.01523,-0.00621,L
0.01773,-0.00661,L
0.02024,-0.00698,L
0.02274,-0.00732,L
0.02525,-0.00764,L
0.02775,-0.00794,L
0.03026,-0.00822,L
0.03276,-0.0085,L
0.03526,-0.00876,L
0.03777,-0.00901,L
0.04027,-0.00924,L
0.04277,-0.00948,L
0.04527,-0.0097,L
0.04777,-0.00992,L
0.05027,-0.01013,L
0.05278,-0.01033,L
0.05528,-0.01053,L
0.05778,-0.01072,L
0.06028,-0.01091,L
0.06278,-0.01109,L
0.06528,-0.01127,L
0.06778,-0.01144,L
0.07028,-0.01161,L
0.07278,-0.01178,L
0.07528,-0.01194,L
0.07778,-0.0121,L
0.08028,-0.01226,L
0.08278,-0.01241,L
0.08528,-0.01256,L
0.08778,-0.01271,L
0.09028,-0.01286,L
0.09278,-0.013,L
0.09528,-0.01314,L
0.09778,-0.01328,L
0.10028,-0.01342,L
0.11028,-0.01393,L
0.12027,-0.01442,L
0.13027,-0.01487,L
0.14027,-0.01529,L
0.15026,-0.01569,L
0.16026,-0.01606,L
0.17025,-0.01641,L
0.18025,-0.01674,L
0.19024,-0.01705,L
0.20023,-0.01734,L
0.21023,-0.01761,L
0.22022,-0.01786,L
0.23022,-0.01809,L
0.24021,-0.01831,L
0.2502,-0.01851,L
0.26019,-0.01869,L
0.27019,-0.01886,L
0.28018,-0.01901,L
0.29017,-0.01915,L
0.30016,-0.01927,L
0.31015,-0.01938,L
0.32015,-0.01947,L
0.33014,-0.01955,L
0.34013,-0.01961,L
0.35012,-0.01966,L
0.36011,-0.01969,L
0.3701,-0.0197,L
0.3801,-0.0197,L
0.39009,-0.01968,L
0.40008,-0.01963,L
0.41007,-0.01957,L
0.42006,-0.01948,L
0.43006,-0.01937,L
0.44005,-0.01924,L
0.45004,-0.01908,L
0.46003,-0.01891,L
0.47002,-0.01872,L
0.48001,-0.01852,L
0.49001,-0.0183,L
0.5,-0.01806,L
0.50999,-0.01781,L
0.51999,-0.01755,L
0.52998,-0.01727,L
0.53997,-0.01698,L
0.54996,-0.01668,L
0.55996,-0.01637,L
0.56995,-0.01604,L
0.57994,-0.01571,L
0.58994,-0.01537,L
0.59993,-0.01502,L
0.60993,-0.01465,L
0.61992,-0.01428,L
0.62992,-0.01391,L
0.63991,-0.01352,L
0.64991,-0.01313,L
0.6599,-0.01273,L
0.6699,-0.01232,L
0.6799,-0.01191,L
0.68989,-0.01149,L
0.69989,-0.01107,L
0.70989,-0.01065,L
0.71989,-0.01022,L
0.72988,-0.00979,L
0.73988,-0.00936,L
0.74988,-0.00892,L
0.75988,-0.00849,L
0.76988,-0.00806,L
0.77988,-0.00763,L
0.78988,-0.00721,L
0.79988,-0.00679,L
0.80988,-0.00637,L
0.81988,-0.00595,L
0.82988,-0.00555,L
0.83988,-0.00514,L
0.84989,-0.00475,L
0.85989,-0.00436,L
0.86989,-0.00398,L
0.8799,-0.00361,L
0.8899,-0.00324,L
0.8999,-0.00287,L
0.90991,-0.00251,L
0.91991,-0.00215,L
0.92992,-0.0018,L
0.93993,-0.00147,L
0.94993,-0.00118,L
0.95994,-0.00094,L
0.96995,-0.00076,L
0.97995,-0.00062,L
0.98996,-0.0005,L
1,-0.00001,L
