,0.7,0.76
1,0.102,-0.154
0.953,0.022,-0.227
0.888,-0.107,-0.276
0.819,-0.265,-0.341
0.749,-0.433,-0.415
0.698,-0.528,-0.471
0.659,-0.582,-0.518
0.619,-0.609,-0.567
0.579,-0.625,-0.613
0.54,-0.614,-0.721
0.499,-0.603,-1.112
0.46,-0.61,-1.232
0.419,-0.679,-1.221
0.379,-1.072,-1.205
0.339,-1.438,-1.201
0.3,-1.462,-1.203
0.25,-1.465,-1.194
0.199,-1.486,-1.175
0.149,-1.459,-1.145
0.101,-1.409,-1.076
0.075,-1.36,-1.027
0.05,-1.129,-0.804
0.026,-0.809,-0.453
0.016,-0.612,-0.246
0.008,-0.168,0.149
0.002,0.449,0.701
0,1.028,1.129
0.003,1.044,0.95
0.011,0.538,0.346
0.02,0.508,0.371
0.04,0.41,0.306
0.07,0.282,0.19
0.1,0.21,0.124
0.149,0.088,-0.002
0.229,-0.066,-0.171
0.32,-0.145,-0.264
0.39,-0.138,-0.251
0.459,-0.087,-0.184
0.539,0.013,-0.063
0.64,0.142,0.084
0.74,0.267,0.217
0.859,0.362,0.308
0.952,0.292,0.188
