xc,yb,surf,section,cp
0.9,0.309,U,1,-0.36
0.8,0.309,U,1,-0.471
0.7,0.309,U,1,-0.436
0.62,0.309,U,1,-0.421
0.56,0.309,U,1,-0.383
0.5,0.309,U,1,-0.381
0.44,0.309,U,1,-0.353
0.38,0.309,U,1,-0.35
0.32,0.309,U,1,-0.405
0.26,0.309,U,1,-0.463
0.2,0.309,U,1,-0.504
0.1,0.309,U,1,-0.779
0.05,0.309,U,1,-0.933
0.0025,0.309,U,1,-1.065
0,0.309,U,1,1.104
0.025,0.309,L,1,-0.043
0.05,0.309,L,1,-0.229
0.1,0.309,L,1,-0.279
0.2,0.309,L,1,-0.067
0.26,0.309,L,1,-0.218
0.32,0.309,L,1,-0.135
0.38,0.309,L,1,-0.121
0.44,0.309,L,1,-0.179
0.5,0.309,L,1,-0.194
0.56,0.309,L,1,-0.176
0.62,0.309,L,1,-0.018
0.7,0.309,L,1,0.248
0.8,0.309,L,1,0.411
0.9,0.309,L,1,0.491
0.9,0.588,U,2,-0.351
0.8,0.588,U,2,-0.381
0.7,0.588,U,2,-0.422
0.62,0.588,U,2,-0.372
0.56,0.588,U,2,-0.302
0.5,0.588,U,2,-0.338
0.44,0.588,U,2,-0.348
0.38,0.588,U,2,-0.369
0.32,0.588,U,2,-0.427
0.26,0.588,U,2,-0.418
0.2,0.588,U,2,-0.465
0.1,0.588,U,2,-0.689
0.05,0.588,U,2,-0.901
0.0025,0.588,U,2,-1.212
0,0.588,U,2,1.035
0.025,0.588,L,2,-0.118
0.05,0.588,L,2,-0.045
0.1,0.588,L,2,-0.247
0.2,0.588,L,2,-0.136
0.26,0.588,L,2,-0.185
0.32,0.588,L,2,-0.183
0.38,0.588,L,2,-0.201
0.44,0.588,L,2,-0.073
0.5,0.588,L,2,-0.205
0.56,0.588,L,2,-0.247
0.62,0.588,L,2,-0.067
0.7,0.588,L,2,0.21
0.8,0.588,L,2,0.398
0.9,0.588,L,2,0.581
0.9,0.809,U,3,-0.325
0.8,0.809,U,3,-0.388
0.7,0.809,U,3,-0.346
0.62,0.809,U,3,-0.327
0.56,0.809,U,3,-0.294
0.5,0.809,U,3,-0.285
0.44,0.809,U,3,-0.243
0.38,0.809,U,3,-0.26
0.32,0.809,U,3,-0.307
0.26,0.809,U,3,-0.331
0.2,0.809,U,3,-0.925
0.1,0.809,U,3,-0.691
0.05,0.809,U,3,-0.808
0.0025,0.809,U,3,-1.106
0,0.809,U,3,1.056
0.025,0.809,L,3,-0.093
0.05,0.809,L,3,-0.265
0.1,0.809,L,3,-0.316
0.2,0.809,L,3,-0.135
0.26,0.809,L,3,-0.197
0.32,0.809,L,3,-0.172
0.38,0.809,L,3,-0.168
0.44,0.809,L,3,0
0.5,0.809,L,3,-0.241
0.56,0.809,L,3,-0.221
0.62,0.809,L,3,-0.129
0.7,0.809,L,3,0.244
0.8,0.809,L,3,0.359
0.9,0.809,L,3,0.455
0.9,0.951,U,4,-0.333
0.8,0.951,U,4,-0.282
0.7,0.951,U,4,-0.252
0.62,0.951,U,4,-0.177
0.56,0.951,U,4,-0.169
0.5,0.951,U,4,-0.178
0.44,0.951,U,4,-0.216
0.38,0.951,U,4,-0.199
0.32,0.951,U,4,-0.197
0.26,0.951,U,4,-0.249
0.2,0.951,U,4,-0.37
0.1,0.951,U,4,-0.539
0.05,0.951,U,4,-0.773
0.0025,0.951,U,4,-0.87
0,0.951,U,4,1.069
0.025,0.951,L,4,-0.146
0.05,0.951,L,4,-0.3
0.1,0.951,L,4,-0.294
0.2,0.951,L,4,-0.146
0.26,0.951,L,4,-0.237
0.32,0.951,L,4,-0.152
0.38,0.951,L,4,-0.152
0.44,0.951,L,4,-0.209
0.5,0.951,L,4,-0.197
0.56,0.951,L,4,-0.218
0.62,0.951,L,4,-0.164
0.7,0.951,L,4,0.054
0.8,0.951,L,4,0.347
0.9,0.951,L,4,0.378
