,0.4,0.6,0.7,0.74,0.76,0.78
1,0.0997,0.0898,0.1237,0.1406,0.1263,0.0864
0.9212,-0.0363,-0.028,-0.024,-0.0158,-0.0239,-0.0327
0.8791,-0.1192,-0.1123,-0.1185,-0.1061,-0.1067,-0.1063
0.8353,-0.2105,-0.2086,-0.2219,-0.2065,-0.1965,-0.1968
0.7493,-0.3452,-0.3774,-0.4205,-0.3749,-0.328,-0.3645
0.6997,-0.4057,-0.4509,-0.4848,-0.4308,-0.3622,-0.4238
0.6598,-0.4373,-0.4931,-0.5317,-0.4404,-0.3808,-0.5161
0.6197,-0.4605,-0.5246,-0.5618,-0.4105,-0.4538,-0.6271
0.5795,-0.4867,-0.5504,-0.5847,-0.4174,-0.5803,-0.9332
0.5397,-0.4948,-0.5677,-0.5871,-0.4661,-0.8622,-1.2242
0.4996,-0.5076,-0.5723,-0.5771,-0.6483,-1.2364,-1.2277
0.4598,-0.5255,-0.5497,-0.5785,-0.8724,-1.2989,-1.2549
0.4201,-0.5224,-0.6079,-0.5167,-1.3305,-1.307,-1.2429
0.3795,-0.5455,-0.6241,-0.5141,-1.3664,-1.2933,-1.2268
0.3402,-0.5734,-0.6543,-0.5486,-1.3679,-1.2916,-1.1977
0.2994,-0.5976,-0.6886,-0.7751,-1.378,-1.2728,-1.203
0.25,-0.6298,-0.7331,-1.4578,-1.369,-1.2553,-1.1803
0.1997,-0.6918,-0.7988,-1.5108,-1.3599,-1.2342,-1.1617
0.1,-0.9308,-1.0241,-1.5867,-1.39,-1.2502,-1.138
0.08,-0.9972,-1.0317,-1.5931,-1.3804,-1.2393,-1.136
0.0608,-1.1059,-1.1666,-1.6011,-1.3789,-1.2287,-1.1225
0.04,-1.3213,-1.9871,-1.6492,-1.3761,-1.1793,-1.0723
0.03,-1.4445,-2.1246,-1.589,-1.3099,-1.1083,-1.0352
0.0203,-1.5354,-2.2399,-1.5858,-1.292,-1.1033,-0.984
0.0097,-2.1242,-2.2486,-1.5149,-1.242,-1.0287,-0.9023
0.0083,-1.6352,-1.4193,-0.9519,-0.7782,-0.6738,-0.5639
0,-1.5231,-0.5715,-0.0394,0.1858,0.3357,0.4637
0,-1.5231,-0.5715,-0.0394,0.1858,0.3357,0.4637
0.0052,1.0089,1.0544,1.089,1.0699,1.0386,1.0241
0.0098,0.9267,0.9453,0.9661,0.9323,0.9036,0.8853
0.02,0.7819,0.7955,0.802,0.7801,0.7496,0.7367
0.05,0.5443,0.5526,0.569,0.552,0.5239,0.51
0.0813,0.4041,0.4176,0.431,0.4144,0.3937,0.3792
0.1199,0.3048,0.3138,0.325,0.3112,0.2909,0.2822
0.1796,0.1902,0.1969,0.205,0.1926,0.1739,0.1655
0.2397,0.1123,0.1106,0.115,0.0989,0.0773,0.0709
0.2999,0.0532,0.0386,0.037,0.019,-0.0073,-0.0204
0.3558,-0.0015,-0.0262,-0.036,-0.057,-0.0856,-0.1042
0.4193,-0.0494,-0.0747,-0.09,-0.1182,-0.1478,-0.1786
0.4793,-0.086,-0.1109,-0.133,-0.162,-0.1914,-0.2265
0.5394,-0.0741,-0.1005,-0.113,-0.1432,-0.1774,-0.2053
0.5994,-0.0075,-0.0281,-0.021,-0.0417,-0.0659,-0.0834
0.6507,0.0988,0.0978,0.109,0.1121,0.0949,0.082
0.7203,0.195,0.2098,0.239,0.2387,0.2306,0.2159
0.7743,0.2523,0.2733,0.305,0.3137,0.3017,0.2931
0.8394,0.2793,0.3004,0.338,0.3488,0.3387,0.3308
0.8996,0.2754,0.2943,0.337,0.3475,0.3383,0.3333
0.9492,0.2329,0.239,0.292,0.3004,0.2984,0.2885
1,0.0897,0.0898,0.123,0.1406,0.1263,0.0864
