xc,yb,surf,section,cp
0.95,0,U,1,0.035
0.75,0,U,1,-0.07
0.65,0,U,1,-0.105
0.5,0,U,1,-0.18
0.35,0,U,1,-0.25
0.225,0,U,1,-0.24
0.15,0,U,1,-0.165
0.08,0,U,1,-0.1
0.03,0,U,1,0.225
0.01,0,U,1,0.51
0,0,U,1,1.005
0.01,0,L,1,0.54
0.03,0,L,1,0.165
0.08,0,L,1,-0.105
0.15,0,L,1,-0.165
0.225,0,L,1,-0.24
0.35,0,L,1,-0.24
0.5,0,L,1,-0.195
0.65,0,L,1,-0.12
0.75,0,L,1,-0.07
0.85,0,L,1,-0.045
0.95,0,L,1,0.02
0.85,0.041,U,2,0.01
0.75,0.041,U,2,-0.05
0.65,0.041,U,2,-0.075
0.5,0.041,U,2,-0.18
0.35,0.041,U,2,-0.24
0.225,0.041,U,2,-0.265
0.15,0.041,U,2,-0.245
0.08,0.041,U,2,-0.185
0.03,0.041,U,2,-0.07
0.01,0.041,U,2,0.15
0,0.041,U,2,0.47
0.01,0.041,L,2,0.14
0.03,0.041,L,2,-0.075
0.08,0.041,L,2,-0.2
0.15,0.041,L,2,-0.255
0.225,0.041,L,2,-0.27
0.35,0.041,L,2,-0.25
0.5,0.041,L,2,-0.165
0.65,0.041,L,2,-0.08
0.75,0.041,L,2,-0.04
0.85,0.041,L,2,0
0.95,0.041,L,2,0.035
0.95,0.163,U,3,0.065
0.85,0.163,U,3,0.035
0.75,0.163,U,3,-0.01
0.65,0.163,U,3,-0.055
0.5,0.163,U,3,-0.17
0.35,0.163,U,3,-0.25
0.225,0.163,U,3,-0.265
0.15,0.163,U,3,-0.24
0.08,0.163,U,3,-0.2
0.03,0.163,U,3,-0.045
0.01,0.163,U,3,0.115
0,0.163,U,3,0.495
0.01,0.163,L,3,0.09
0.03,0.163,L,3,-0.13
0.08,0.163,L,3,-0.23
0.15,0.163,L,3,-0.27
0.225,0.163,L,3,-0.285
0.35,0.163,L,3,-0.265
0.5,0.163,L,3,-0.18
0.65,0.163,L,3,-0.07
0.75,0.163,L,3,-0.04
0.85,0.163,L,3,0.025
0.95,0.163,L,3,0.06
