,1.60E-01
1,0.03070761
0.973711882,-0.05740988
0.949526814,-0.121495327
0.923238696,-0.161548732
0.898002103,-0.185580774
0.87276551,-0.201602136
0.847528917,-0.209612817
0.823343849,-0.23364486
0.797055731,-0.297730307
0.770767613,-0.313751669
0.747634069,-0.361815754
0.721345952,-0.393858478
0.696109359,-0.449933244
0.670872766,-0.49799733
0.646687697,-0.554072096
0.620399579,-0.626168224
0.595162986,-0.706275033
0.569926393,-0.7623498
0.545741325,-0.842456609
0.522607781,-0.914552737
0.498422713,-0.970627503
0.474237645,-1.050734312
0.447949527,-1.122830441
0.422712934,-1.194926569
0.397476341,-1.251001335
0.373291272,-1.347129506
0.342797056,-1.435246996
0.322818086,-1.483311081
0.296529968,-1.499332443
0.271293375,-1.539385848
0.245005258,-1.547396529
0.219768665,-1.667556742
0.194532072,-1.715620828
0.167192429,-1.715620828
0.14721346,-1.73965287
0.120925342,-1.843791722
0.094637224,-1.81975968
0.070452156,-1.867823765
0.044164038,-1.91588785
0.01997897,-2.036048064
0.003154574,-1.971962617
0.002103049,-1.923898531
0.001051525,-1.755674232
0,1
0.006309148,1.008010681
0.018927445,0.887850467
0.043112513,0.599465955
0.068349106,0.423230975
0.093585699,0.327102804
0.119873817,0.214953271
0.146161935,0.150867824
0.167192429,0.110814419
0.193480547,0.054739653
0.21871714,0.03070761
0.245005258,0.022696929
0.270241851,-0.001335113
0.295478444,-0.017356475
0.321766562,-0.017356475
0.34384858,-0.009345794
0.370136698,-0.001335113
0.396424816,0.03070761
0.41955836,0.022696929
0.447949527,0.046728972
0.472134595,0.062750334
0.498422713,0.086782377
0.521556257,0.134846462
0.54679285,0.166889186
0.572029443,0.198931909
0.596214511,0.230974633
0.622502629,0.246995995
0.647739222,0.29506008
0.669821241,0.279038718
0.697160883,0.343124166
0.722397476,0.351134846
0.747634069,0.399198932
0.770767613,0.407209613
0.798107256,0.431241656
0.822292324,0.439252336
0.846477392,0.455273698
0.871713985,0.47129506
0.896950578,0.463284379
0.924290221,0.447263017
0.949526814,0.415220294
0.973711882,0.311081442
