,1.60E-01
0.998948475,-0.089452603
0.973711882,-0.113484646
0.948475289,-0.121495327
0.923238696,-0.153538051
0.896950578,-0.169559413
0.870662461,-0.185580774
0.846477392,-0.23364486
0.825446898,-0.23364486
0.798107256,-0.281708945
0.772870662,-0.32176235
0.747634069,-0.353805073
0.722397476,-0.377837116
0.695057834,-0.433911883
0.670872766,-0.489986649
0.647739222,-0.546061415
0.620399579,-0.634178905
0.595162986,-0.698264352
0.572029443,-0.786381842
0.54679285,-0.866488652
0.521556257,-0.978638184
0.498422713,-1.066755674
0.47108307,-1.170894526
0.445846477,-1.275033378
0.41955836,-1.37917223
0.395373291,-1.475300401
0.370136698,-1.595460614
0.34595163,-1.723631509
0.321766562,-1.81975968
0.296529968,-1.899866489
0.2723449,-1.987983979
0.246056782,-2.044058745
0.220820189,-2.204272363
0.195583596,-2.300400534
0.169295478,-2.388518024
0.148264984,-2.492656876
0.120925342,-2.748998665
0.095688749,-2.724966622
0.070452156,-3.053404539
0.044164038,-3.357810414
0.018927445,-4.054739653
0.010515247,-4.335113485
0.004206099,-4.695594126
0.003154574,-4.847797063
0.001051525,-0.193591455
0.002103049,0.214953271
0.004206099,0.47129506
0.010515247,0.751668892
0.01787592,0.975967957
0.045215563,0.983978638
0.069400631,0.847797063
0.097791798,0.711615487
0.120925342,0.639519359
0.14511041,0.551401869
0.170347003,0.479305741
0.194532072,0.423230975
0.220820189,0.367156208
0.246056782,0.335113485
0.273396425,0.29506008
0.296529968,0.271028037
0.320715037,0.255006676
0.34595163,0.246995995
0.369085174,0.230974633
0.395373291,0.222963952
0.41955836,0.214953271
0.444794953,0.222963952
0.470031546,0.230974633
0.497371188,0.255006676
0.520504732,0.255006676
0.54679285,0.271028037
0.569926393,0.279038718
0.596214511,0.303070761
0.622502629,0.343124166
0.646687697,0.351134846
0.669821241,0.359145527
0.695057834,0.407209613
0.721345952,0.407209613
0.748685594,0.423230975
0.771819138,0.439252336
0.798107256,0.455273698
0.822292324,0.463284379
0.845425868,0.47129506
0.871713985,0.479305741
0.895899054,0.487316422
0.922187171,0.439252336
0.94637224,0.415220294
0.972660358,0.287049399
