,1.60E-01
0.996845426,0.094793057
0.973711882,-0.137516689
0.948475289,-0.153538051
0.924290221,-0.161548732
0.899053628,-0.153538051
0.871713985,-0.153538051
0.846477392,-0.169559413
0.823343849,-0.161548732
0.79915878,-0.201602136
0.771819138,-0.225634179
0.746582545,-0.249666222
0.720294427,-0.273698264
0.697160883,-0.297730307
0.67192429,-0.345794393
0.646687697,-0.369826435
0.621451104,-0.40987984
0.60042061,-0.465954606
0.573080967,-0.481975968
0.5446898,-0.538050734
0.518401682,-0.562082777
0.494216614,-0.626168224
0.472134595,-0.682242991
0.447949527,-0.698264352
0.421661409,-0.730307076
0.398527865,-0.770360481
0.370136698,-0.802403204
0.34384858,-0.818424566
0.320715037,-0.818424566
0.296529968,-0.826435247
0.270241851,-0.818424566
0.246056782,-0.802403204
0.219768665,-0.794392523
0.195583596,-0.770360481
0.167192429,-0.682242991
0.14511041,-0.634178905
0.121976866,-0.602136182
0.093585699,-0.441922563
0.069400631,-0.353805073
0.043112513,-0.153538051
0.01997897,0.1188251
0.010515247,0.391188251
0.004206099,0.64753004
-0.001051525,0.855807744
-0.004206099,0.991989319
-0.004206099,0.775700935
-0.005257624,0.607476636
-0.002103049,0.367156208
0.002103049,0.182910547
0.003154574,0.038718291
0.006309148,-0.113484646
0.009463722,-0.249666222
0.01787592,-0.449933244
0.044164038,-0.618157543
0.069400631,-0.67423231
0.095688749,-0.690253672
0.118822292,-0.682242991
0.14511041,-0.690253672
0.194532072,-0.658210948
0.21871714,-0.626168224
0.243953733,-0.578104139
0.270241851,-0.570093458
0.296529968,-0.538050734
0.322818086,-0.506008011
0.347003155,-0.457943925
0.369085174,-0.40987984
0.395373291,-0.361815754
0.422712934,-0.329773031
0.446898002,-0.273698264
0.472134595,-0.225634179
0.497371188,-0.161548732
0.519453207,-0.121495327
0.54679285,-0.05740988
0.572029443,-0.001335113
0.597266036,0.03070761
0.621451104,0.070761015
0.647739222,0.126835781
0.67402734,0.158878505
0.695057834,0.20694259
0.722397476,0.246995995
0.747634069,0.271028037
0.772870662,0.29506008
0.798107256,0.327102804
0.823343849,0.343124166
0.845425868,0.359145527
0.87276551,0.38317757
0.896950578,0.38317757
0.923238696,0.399198932
0.949526814,0.375166889
0.973711882,0.271028037
