	1.40E-01
1	0.020127119
0.949199722	-0.048728814
0.899095338	-0.027542373
0.850382742	-0.085805085
0.806541406	-0.133474576
0.761308281	-0.212923729
0.71329158	-0.297669492
0.671537926	-0.382415254
0.631176061	-0.472457627
0.59151009	-0.546610169
0.556019485	-0.641949153
0.514961726	-0.731991525
0.478079332	-0.827330508
0.441892832	-0.896186441
0.411969381	-0.980932203
0.379958246	-1.049788136
0.318719555	-1.171610169
0.289491997	-1.208686441
0.237995825	-1.298728814
0.21085595	-1.341101695
0.189283229	-1.383474576
0.165622825	-1.425847458
0.146137787	-1.473516949
0.127348643	-1.542372881
0.111343076	-1.605932203
0.093249826	-1.690677966
0.080027836	-1.754237288
0.052887961	-1.960805085
0.037578288	-2.072033898
0.029923452	-2.315677966
0.023660404	-2.495762712
0.015309673	-2.697033898
0.008350731	-2.893008475
0.006263048	-3.05720339
0.000695894	-3.131355932
-0.004175365	-3.0625
-0.002783577	-1.971398305
-0.000695894	-0.016949153
0.000695894	0.920550847
0.016701461	0.957627119
0.032011134	0.909957627
0.047320807	0.814618644
0.068197634	0.703389831
0.092553932	0.613347458
0.121085595	0.507415254
0.152400835	0.427966102
0.189283229	0.36970339
0.229645094	0.279661017
0.271398747	0.231991525
0.318719555	0.173728814
0.370911621	0.131355932
0.426583159	0.110169492
0.501043841	0.120762712
0.546276966	0.136652542
0.611691023	0.136652542
0.68197634	0.189618644
0.754349339	0.247881356
0.83368128	0.279661017
0.916492693	0.290254237
1	0.014830508
