,1.40E-01
1,-0.119675456
0.949668874,-0.152129817
0.9,-0.184584178
0.852317881,-0.200811359
0.805298013,-0.23326572
0.760264901,-0.24137931
0.713907285,-0.249492901
0.674172185,-0.306288032
0.631125828,-0.354969574
0.590728477,-0.427991886
0.554304636,-0.54969574
0.51589404,-0.671399594
0.480794702,-0.768762677
0.445033113,-0.85801217
0.411258278,-0.971602434
0.380794702,-1.077079108
0.319205298,-1.255578093
0.290728477,-1.328600406
0.238410596,-1.490872211
0.21192053,-1.572008114
0.19205298,-1.628803245
0.167549669,-1.677484787
0.147682119,-1.807302231
0.129139073,-1.920892495
0.111258278,-2.050709939
0.094039735,-2.164300203
0.079470199,-2.326572008
0.052317881,-2.68356998
0.039072848,-2.853955375
0.031125828,-3.129817444
0.013245033,-4.127789047
0.009271523,-4.663286004
0.005298013,-5.044624746
0,-5.709939148
-0.001986755,-4.85801217
0.001324503,-1.547667343
0.002649007,-0.095334686
0.015231788,0.659229209
0.031788079,0.951318458
0.050331126,0.951318458
0.070198675,0.886409736
0.095364238,0.789046653
0.122516556,0.707910751
0.153642384,0.610547667
0.191390728,0.529411765
0.229139073,0.480730223
0.272847682,0.39959432
0.318543046,0.310344828
0.370860927,0.253549696
0.425827815,0.212981744
0.500662252,0.221095335
0.545695364,0.204868154
0.612582781,0.188640974
0.682119205,0.172413793
0.757615894,0.253549696
0.833112583,0.277890467
0.919205298,0.237322515
1,-0.127789047
