	1.40E-01
0.99205298	-0.298174442
0.947019868	-0.330628803
0.897350993	-0.460446247
0.851655629	-0.460446247
0.804635762	-0.460446247
0.758940397	-0.468559838
0.714569536	-0.492900609
0.673509934	-0.517241379
0.631788079	-0.517241379
0.59205298	-0.509127789
0.554304636	-0.501014199
0.515231788	-0.509127789
0.482119205	-0.517241379
0.446357616	-0.52535497
0.413245033	-0.590263692
0.380794702	-0.622718053
0.320529801	-0.825557809
0.290728477	-0.955375254
0.241059603	-1.174442191
0.214569536	-1.320486815
0.193377483	-1.434077079
0.168211921	-1.555780933
0.147019868	-1.677484787
0.129139073	-1.807302231
0.109933775	-1.985801217
0.081456954	-2.342799189
0.054304636	-2.837728195
0.043046358	-3.048681542
0.025165563	-3.9168357
0.018543046	-4.354969574
0.013245033	-5.393509128
0.00397351	-6.042596349
0.001324503	-6.432048682
0.001986755	-2.472616633
0.008609272	-0.338742394
0.018543046	0.578093306
0.021192053	0.797160243
0.032450331	0.943204868
0.049006623	0.967545639
0.072847682	0.902636917
0.095364238	0.902636917
0.123178808	0.797160243
0.155629139	0.724137931
0.19205298	0.634888438
0.233112583	0.569979716
0.27615894	0.480730223
0.32384106	0.415821501
0.37218543	0.326572008
0.429139073	0.286004057
0.501986755	0.237322515
0.545695364	0.221095335
0.613245033	0.164300203
0.682781457	0.180527383
0.756291391	0.164300203
0.833774834	0.139959432
0.917880795	0.09127789
0.998675497	-0.354969574
