xc,yb,surf,section,cp,std
0.95,0,U,1,-0.12,
0.85,0,U,1,-0.28,
0.75,0,U,1,-0.395,
0.65,0,U,1,-0.525,
0.5,0,U,1,-0.69,
0.35,0,U,1,-0.885,
0.225,0,U,1,-0.93,
0.15,0,U,1,-0.975,
0.08,0,U,1,-1.01,
0.03,0,U,1,-1.105,
0.01,0,U,1,-1.24,
0,0,U,1,0.155,
0.01,0,L,1,0.99,
0.03,0,L,1,0.99,
0.08,0,L,1,0.815,
0.15,0,L,1,0.68,
0.225,0,L,1,0.585,
0.35,0,L,1,0.445,
0.5,0,L,1,0.36,
0.65,0,L,1,0.31,
0.75,0,L,1,0.28,
0.85,0,L,1,0.255,
0.95,0,L,1,0.205,
0.95,0.068,U,2,0.025,
0.85,0.068,U,2,-0.15,
0.75,0.068,U,2,-0.305,
0.65,0.068,U,2,-0.45,
0.5,0.068,U,2,-0.665,
0.35,0.068,U,2,-0.87,
0.225,0.068,U,2,-1.065,
0.15,0.068,U,2,-1.18,
0.08,0.068,U,2,-1.465,
0.03,0.068,U,2,-2.22,
0.01,0.068,U,2,-3.105,
0,0.068,U,2,-2.635,
0.01,0.068,L,2,-0.1,
0.03,0.068,L,2,0.575,
0.08,0.068,L,2,0.7,
0.15,0.068,L,2,0.605,
0.225,0.068,L,2,0.52,
0.35,0.068,L,2,0.405,
0.5,0.068,L,2,0.33,
0.65,0.068,L,2,0.28,
0.75,0.068,L,2,0.255,
0.85,0.068,L,2,0.22,
0.95,0.068,L,2,0.17,
0.95,0.135,U,3,0.015,
0.85,0.135,U,3,-0.125,
0.75,0.135,U,3,-0.28,
0.65,0.135,U,3,-0.435,
0.5,0.135,U,3,-0.65,
0.35,0.135,U,3,-0.89,
0.225,0.135,U,3,-1.145,
0.15,0.135,U,3,-1.365,
0.08,0.135,U,3,-1.81,
0.03,0.135,U,3,-2.785,
0.01,0.135,U,3,-4.165,
0,0.135,U,3,-4.6,
0.01,0.135,L,3,-0.365,
0.03,0.135,L,3,0.39,
0.08,0.135,L,3,0.645,
0.15,0.135,L,3,0.59,
0.225,0.135,L,3,0.505,
0.35,0.135,L,3,0.39,
0.5,0.135,L,3,0.31,
0.65,0.135,L,3,0.26,
0.75,0.135,L,3,0.21,
0.85,0.135,L,3,0.2,
0.95,0.135,L,3,0.145,
0.95,0.271,U,4,-0.035,
0.85,0.271,U,4,-0.155,
0.75,0.271,U,4,-0.31,
0.65,0.271,U,4,-0.49,
0.5,0.271,U,4,-0.715,
0.35,0.271,U,4,-0.935,
0.225,0.271,U,4,-1.075,
0.15,0.271,U,4,-1.535,
0.08,0.271,U,4,-2.125,
0.03,0.271,U,4,-3.225,
0.01,0.271,U,4,-5.52,
0,0.271,U,4,-5.77,
0.01,0.271,L,4,-0.81,
0.03,0.271,L,4,0.28,
0.08,0.271,L,4,0.62,
0.15,0.271,L,4,0.575,
0.225,0.271,L,4,0.495,
0.35,0.271,L,4,0.365,
0.5,0.271,L,4,0.28,
0.65,0.271,L,4,0.24,
0.75,0.271,L,4,0.205,
0.85,0.271,L,4,0.155,
0.95,0.271,L,4,0.115,
0.95,0.406,U,5,-0.11,
0.85,0.406,U,5,-0.22,
0.75,0.406,U,5,-0.355,
0.65,0.406,U,5,-0.49,
0.5,0.406,U,5,-0.735,
0.35,0.406,U,5,-1.085,
0.225,0.406,U,5,-1.65,
0.15,0.406,U,5,-2.15,
0.08,0.406,U,5,-2.135,
0.03,0.406,U,5,-3.37,
0.01,0.406,U,5,-5.76,
0,0.406,U,5,-6.225,
0.01,0.406,L,5,-0.795,
0.03,0.406,L,5,0.295,
0.08,0.406,L,5,0.64,
0.15,0.406,L,5,0.58,
0.225,0.406,L,5,0.485,
0.35,0.406,L,5,0.345,
0.5,0.406,L,5,0.26,
0.65,0.406,L,5,0.21,
0.75,0.406,L,5,0.175,
0.85,0.406,L,5,0.12,
