xc,yb,surf,section,cp,std,,
0.85,0.831,U,7,-0.465,,,
0.75,0.831,U,7,-0.91,,,
0.65,0.831,U,7,-1.065,,,
0.5,0.831,U,7,-1.145,,,
0.35,0.831,U,7,-0.945,,,
0.225,0.831,U,7,-1.035,,,
0.15,0.831,U,7,-1.055,,,
0.08,0.831,U,7,-1.355,,,
0.03,0.831,U,7,-1.8,,,
0.01,0.831,U,7,-4.12,,,
0,0.831,U,7,-2.485,,,
0.01,0.831,L,7,-0.675,,,
0.03,0.831,L,7,0.165,,,
0.08,0.831,L,7,0.385,,,
0.15,0.831,L,7,0.355,,,
0.225,0.831,L,7,0.295,,,
0.35,0.831,L,7,0.2,,,
0.5,0.831,L,7,0.095,,,
0.65,0.831,L,7,0.13,,,
0.75,0.831,L,7,0.095,,,
0.85,0.831,L,7,0.06,,,
0.95,0.831,L,7,-0.1,,,
0.7,0.915,U,8,-0.385,,,
0.5,0.915,U,8,-0.395,,,
0.35,0.915,U,8,-0.45,,,
0.25,0.915,U,8,-0.515,,,
0.15,0.915,U,8,-0.61,,,
0.1,0.915,U,8,-0.67,,,
0.05,0.915,U,8,-0.72,,,
0.025,0.915,U,8,-0.78,,,
0,0.915,U,8,-1.235,,,
0.025,0.915,L,8,-0.44,,,
0.05,0.915,L,8,-0.23,,,
0.1,0.915,L,8,0.005,,,
0.15,0.915,L,8,0.07,,,
0.25,0.915,L,8,0.085,,,
0.35,0.915,L,8,0.09,,,
0.5,0.915,L,8,0.1,,,
0.7,0.915,L,8,0.07,,,
