xc,yb,surf,section,cp,std,,
0.95,0,U,1,-0.19,,,
0.85,0,U,1,-0.385,,,
0.75,0,U,1,-0.5,,,
0.65,0,U,1,-0.625,,,
0.5,0,U,1,-0.755,,,
0.35,0,U,1,-0.925,,,
0.225,0,U,1,-0.96,,,
0.15,0,U,1,-1.02,,,
0.08,0,U,1,-1.08,,,
0.03,0,U,1,-1.27,,,
0.01,0,U,1,-1.485,,,
0,0,U,1,0,,,
0.01,0,L,1,0.985,,,
0.03,0,L,1,1.045,,,
0.08,0,L,1,0.9,,,
0.15,0,L,1,0.76,,,
0.225,0,L,1,0.675,,,
0.35,0,L,1,0.53,,,
0.5,0,L,1,0.43,,,
0.65,0,L,1,0.37,,,
0.75,0,L,1,0.325,,,
0.85,0,L,1,0.285,,,
0.95,0,L,1,0.225,,,
0.95,0.068,U,2,-0.025,,,
0.85,0.068,U,2,-0.23,,,
0.75,0.068,U,2,-0.4,,,
0.65,0.068,U,2,-0.565,,,
0.5,0.068,U,2,-0.785,,,
0.35,0.068,U,2,-0.965,,,
0.225,0.068,U,2,-1.125,,,
0.15,0.068,U,2,-1.245,,,
0.03,0.068,U,2,-2.335,,,
0.01,0.068,U,2,-3.48,,,
0,0.068,U,2,-3.14,,,
0.01,0.068,L,2,-0.325,,,
0.03,0.068,L,2,0.525,,,
0.08,0.068,L,2,0.74,,,
0.15,0.068,L,2,0.67,,,
0.225,0.068,L,2,0.585,,,
0.35,0.068,L,2,0.46,,,
0.5,0.068,L,2,0.37,,,
0.65,0.068,L,2,0.3,,,
0.75,0.068,L,2,0.27,,,
0.85,0.068,L,2,0.22,,,
0.95,0.068,L,2,0.145,,,
0.95,0.135,U,3,-0.065,,,
0.85,0.135,U,3,-0.235,,,
0.75,0.135,U,3,-0.415,,,
0.65,0.135,U,3,-0.6,,,
0.5,0.135,U,3,-0.885,,,
0.35,0.135,U,3,-1.115,,,
0.225,0.135,U,3,-1.185,,,
0.15,0.135,U,3,-1.235,,,
0.08,0.135,U,3,-1.875,,,
0.03,0.135,U,3,-3.025,,,
0.01,0.135,U,3,-4.685,,,
0,0.135,U,3,-5.485,,,
0.01,0.135,L,3,-0.635,,,
0.03,0.135,L,3,0.305,,,
0.08,0.135,L,3,0.685,,,
0.15,0.135,L,3,0.645,,,
0.225,0.135,L,3,0.57,,,
0.35,0.135,L,3,0.44,,,
0.5,0.135,L,3,0.34,,,
0.65,0.135,L,3,0.275,,,
0.75,0.135,L,3,0.205,,,
0.85,0.135,L,3,0.185,,,
0.95,0.135,L,3,-0.025,,,
0.95,0.271,U,4,-0.145,,,
0.85,0.271,U,4,-0.27,,,
0.75,0.271,U,4,-0.44,,,
0.65,0.271,U,4,-0.63,,,
0.5,0.271,U,4,-0.86,,,
0.35,0.271,U,4,-1.125,,,
0.08,0.271,U,4,-2.76,,,
0.03,0.271,U,4,-3.035,,,
0.01,0.271,U,4,-5.6,,,
0,0.271,U,4,-6.14,,,
0.01,0.271,L,4,-0.86,,,
0.03,0.271,L,4,0.31,,,
0.08,0.271,L,4,0.67,,,
0.15,0.271,L,4,0.62,,,
0.225,0.271,L,4,0.53,,,
0.35,0.271,L,4,0.39,,,
0.5,0.271,L,4,0.295,,,
0.65,0.271,L,4,0.24,,,
0.75,0.271,L,4,0.195,,,
0.85,0.271,L,4,0.135,,,
0.95,0.271,L,4,0.065,,,
0.95,0.406,U,5,-0.35,,,
0.85,0.406,U,5,-0.505,,,
0.75,0.406,U,5,-0.68,,,
0.65,0.406,U,5,-0.835,,,
0.5,0.406,U,5,-1.105,,,
0.35,0.406,U,5,-1.445,,,
0.15,0.406,U,5,-1.655,,,
0.08,0.406,U,5,-2.09,,,
0.03,0.406,U,5,-2.175,,,
0.01,0.406,U,5,-2.02,,,
0,0.406,U,5,-2.61,,,
0.01,0.406,L,5,-0.36,,,
0.03,0.406,L,5,0.395,,,
0.08,0.406,L,5,0.595,,,
0.15,0.406,L,5,0.6,,,
0.225,0.406,L,5,0.505,,,
0.35,0.406,L,5,0.36,,,
0.5,0.406,L,5,0.265,,,
0.65,0.406,L,5,0.205,,,
0.75,0.406,L,5,0.155,,,
0.85,0.406,L,5,0.075,,,
0.95,0.406,L,5,-0.045,,,
0.95,0.61,U,6,-0.54,,,
0.85,0.61,U,6,-0.615,,,
0.75,0.61,U,6,-0.685,,,
0.65,0.61,U,6,-0.775,,,
0.5,0.61,U,6,-0.9,,,
0.35,0.61,U,6,-0.98,,,
0.225,0.61,U,6,-0.995,,,
0.15,0.61,U,6,-1.035,,,
0.08,0.61,U,6,-1.075,,,
0.03,0.61,U,6,-1.085,,,
0.01,0.61,U,6,-1.085,,,
0,0.61,U,6,-1.435,,,
0.01,0.61,L,6,0.035,,,
0.03,0.61,L,6,0.53,,,
0.08,0.61,L,6,0.615,,,
0.15,0.61,L,6,0.535,,,
0.225,0.61,L,6,0.43,,,
0.35,0.61,L,6,0.29,,,
0.5,0.61,L,6,0.18,,,
0.65,0.61,L,6,0.1,,,
0.75,0.61,L,6,0.035,,,
0.85,0.61,L,6,-0.04,,,
0.95,0.61,L,6,-0.24,,,
0.95,0.831,U,7,-0.25,,,
