xc,yb,surf,section,cp,std
0.95,0,U,1,-0.075,
0.85,0,U,1,-0.235,
0.75,0,U,1,-0.335,
0.65,0,U,1,-0.47,
0.5,0,U,1,-0.635,
0.35,0,U,1,-0.815,
0.225,0,U,1,-0.845,
0.15,0,U,1,-0.89,
0.08,0,U,1,-0.9,
0.03,0,U,1,-1.005,
0.01,0,U,1,-1.105,
0,0,U,1,0.32,
0.01,0,L,1,1,
0.03,0,L,1,0.94,
0.08,0,L,1,0.745,
0.15,0,L,1,0.59,
0.225,0,L,1,0.51,
0.35,0,L,1,0.37,
0.5,0,L,1,0.295,
0.65,0,L,1,0.26,
0.75,0,L,1,0.245,
0.85,0,L,1,0.23,
0.95,0,L,1,0.19,
0.95,0.068,U,2,0.05,
0.85,0.068,U,2,-0.11,
0.75,0.068,U,2,-0.25,
0.65,0.068,U,2,-0.385,
0.5,0.068,U,2,-0.585,
0.35,0.068,U,2,-0.785,
0.225,0.068,U,2,-0.97,
0.15,0.068,U,2,-1.07,
0.08,0.068,U,2,-1.29,
0.03,0.068,U,2,-2.03,
0.01,0.068,U,2,-2.61,
0,0.068,U,2,-1.98,
0.01,0.068,L,2,0.1,
0.03,0.068,L,2,0.595,
0.08,0.068,L,2,0.64,
0.15,0.068,L,2,0.53,
0.225,0.068,L,2,0.44,
0.35,0.068,L,2,0.33,
0.5,0.068,L,2,0.27,
0.65,0.068,L,2,0.235,
0.75,0.068,L,2,0.225,
0.85,0.068,L,2,0.185,
0.95,0.068,L,2,0.17,
0.95,0.135,U,3,0.05,
0.85,0.135,U,3,-0.075,
0.75,0.135,U,3,-0.21,
0.65,0.135,U,3,-0.345,
0.5,0.135,U,3,-0.55,
0.35,0.135,U,3,-0.795,
0.225,0.135,U,3,-1.05,
0.15,0.135,U,3,-1.23,
0.08,0.135,U,3,-1.6,
0.03,0.135,U,3,-2.43,
0.01,0.135,U,3,-3.49,
0,0.135,U,3,-3.62,
0.01,0.135,L,3,-0.11,
0.03,0.135,L,3,0.46,
0.08,0.135,L,3,0.6,
0.15,0.135,L,3,0.51,
0.225,0.135,L,3,0.43,
0.35,0.135,L,3,0.32,
0.5,0.135,L,3,0.26,
0.65,0.135,L,3,0.23,
0.75,0.135,L,3,0.18,
0.85,0.135,L,3,0.19,
0.95,0.135,L,3,0.155,
0.95,0.271,U,4,0.035,
0.85,0.271,U,4,-0.075,
0.75,0.271,U,4,-0.21,
0.65,0.271,U,4,-0.33,
0.5,0.271,U,4,-0.5,
0.35,0.271,U,4,-0.755,
0.225,0.271,U,4,-1.05,
0.15,0.271,U,4,-1.39,
0.08,0.271,U,4,-1.86,
0.03,0.271,U,4,-2.78,
0.01,0.271,U,4,-4.61,
0,0.271,U,4,-4.45,
0.01,0.271,L,4,-0.435,
0.03,0.271,L,4,0.38,
0.08,0.271,L,4,0.58,
0.15,0.271,L,4,0.505,
0.225,0.271,L,4,0.42,
0.35,0.271,L,4,0.305,
0.5,0.271,L,4,0.245,
0.65,0.271,L,4,0.22,
0.75,0.271,L,4,0.195,
0.85,0.271,L,4,0.17,
0.95,0.271,L,4,0.145,
0.95,0.406,U,5,-0.065,
0.75,0.406,U,5,-0.24,
0.65,0.406,U,5,-0.365,
0.5,0.406,U,5,-0.515,
0.35,0.406,U,5,-0.71,
0.225,0.406,U,5,-1.085,
0.15,0.406,U,5,-1.345,
0.08,0.406,U,5,-1.97,
0.03,0.406,U,5,-3.12,
0.01,0.406,U,5,-5.08,
0,0.406,U,5,-5.17,
0.01,0.406,L,5,-0.56,
0.03,0.406,L,5,0.32,
0.08,0.406,L,5,0.64,
0.15,0.406,L,5,0.505,
0.225,0.406,L,5,0.42,
0.35,0.406,L,5,0.3,
0.5,0.406,L,5,0.24,
0.65,0.406,L,5,0.205,
0.75,0.406,L,5,0.185,
0.85,0.406,L,5,0.145,
0.95,0.406,L,5,0.115,
0.75,0.61,U,6,-0.43,
0.65,0.61,U,6,-0.645,
0.5,0.61,U,6,-0.615,
0.35,0.61,U,6,-0.615,
0.225,0.61,U,6,-0.91,
0.15,0.61,U,6,-1.305,
0.08,0.61,U,6,-1.99,
0.03,0.61,U,6,-3.245,
0.01,0.61,U,6,-4.935,
0,0.61,U,6,-4.635,
0.01,0.61,L,6,-0.6,
0.03,0.61,L,6,0.34,
0.08,0.61,L,6,0.55,
0.15,0.61,L,6,0.485,
0.225,0.61,L,6,0.395,
0.35,0.61,L,6,0.265,
0.5,0.61,L,6,0.185,
0.65,0.61,L,6,0.15,
0.75,0.61,L,6,0.13,
0.85,0.61,L,6,0.13,
0.95,0.61,L,6,-0.035,
0.7,0.915,U,8,-0.49,
0.5,0.915,U,8,-0.915,
0.35,0.915,U,8,-1.24,
0.25,0.915,U,8,-1.53,
0.15,0.915,U,8,-1.24,
0.1,0.915,U,8,-1.435,
0.05,0.915,U,8,-2.045,
0.025,0.915,U,8,-2.715,
0,0.915,U,8,-2.47,
0.025,0.915,L,8,-0.83,
0.05,0.915,L,8,-0.385,
0.1,0.915,L,8,-0.13,
0.15,0.915,L,8,0.035,
0.25,0.915,L,8,0.03,
0.35,0.915,L,8,0.05,
0.5,0.915,L,8,0.09,
0.7,0.915,L,8,0.1,
