,0.7,0.76
1,0.112,0.112
0.953,0.027,0.036
0.888,-0.099,-0.085
0.819,-0.251,-0.242
0.749,-0.411,-0.42
0.698,-0.494,-0.53
0.659,-0.541,-0.6
0.619,-0.559,-0.666
0.579,-0.579,-0.748
0.54,-0.576,-0.742
0.499,-0.577,-0.728
0.46,-0.575,-0.71
0.419,-0.578,-0.678
0.379,-0.569,-0.64
0.339,-0.554,-0.619
0.3,-0.566,-0.61
0.25,-0.583,-0.755
0.199,-0.629,-0.79
0.149,-0.674,-0.746
0.101,-0.676,-0.745
0.075,-0.705,-0.661
0.05,-0.531,-0.439
0.026,-0.152,-0.05
0.016,0.096,0.194
0.008,0.462,0.546
0.002,0.95,1.002
0,1.124,1.141
0.003,0.533,0.526
0.011,-0.326,-0.393
0.02,-0.104,-0.152
0.04,-0.043,-0.043
0.07,-0.099,-0.115
0.1,-0.149,-0.174
0.149,-0.239,-0.27
0.229,-0.361,-0.425
0.32,-0.391,-0.47
0.39,-0.341,-0.394
0.459,-0.247,-0.275
0.539,-0.105,-0.113
0.64,0.062,0.065
0.74,0.21,0.217
0.859,0.32,0.33
0.952,0.269,0.277
