,5.00E+04,1.00E+05,2.00E+05
0.9,0.29,0.061378659,0.077586207
0.76,0.374,0.265344665,0.202298851
0.62,0.419,0.378659112,0.347126437
0.51,0.422,0.397544854,0.467816092
0.42,0.572,0.476864967,0.512068966
0.34,0.758,0.567516525,0.564367816
0.23,0.878,0.809254013,0.845977011
0.18,0.848,0.79414542,0.825862069
0.14,0.767,0.684608121,0.709195402
0.1,0.647,0.522190746,0.564367816
0.07,0.44,0.329556185,0.298850575
0.05,0.119,0.099150142,0.049425287
0.03,-0.106,-0.482530689,-0.618390805
0.027,-0.52,-0.607176582,-0.948275862
0.02,-0.904,-0.765816808,-0.807471264
0.023,-0.73,-0.924457035,-0.296551724
0.025,-0.25,-0.792256846,-0.127586207
0.06,0.419,0.246458924,0.459770115
0.08,0.53,0.344664778,0.600574713
0.12,0.602,0.454202077,0.520114943
0.17,0.572,0.454202077,0.439655172
0.36,0.317,0.291784703,0.31091954
0.51,0.155,0.197355996,0.194252874
0.7,0.056,0.0802644,0.053448276
