,5.00E+04,1.00E+05,2.00E+05
0.9,0.062,0.106704438,0.113793103
0.76,0.356,0.272898961,0.306896552
0.62,0.776,0.439093484,0.504022989
0.51,0.932,0.522190746,0.652873563
0.42,0.977,0.990557129,0.789655172
0.34,0.992,1.020774315,1.248275862
0.23,1.172,1.254957507,1.545977011
0.18,1.262,1.322946176,1.638505747
0.14,1.391,1.383380548,1.714942529
0.1,1.592,1.474032106,1.912068966
0.07,1.7,1.557129367,2.181609195
0.05,1.724,1.587346553,2.354597701
0.03,1.07,--,1.771264368
0.022,0.605,-0.033050047,1.324712644
0.02,-0.613,-0.576959396,0.298850575
0.024,-0.736,-0.966005666,-0.698850575
0.03,-0.961,-0.928234183,-0.988505747
0.06,-0.493,-0.4598678,-0.706896552
0.08,-0.112,-0.13503305,-0.55
0.12,0.023,0.034938621,-0.364942529
0.17,0.011,0.057601511,-0.224137931
0.36,-0.004,0.03871577,-0.103448276
0.51,-0.004,0.012275732,-0.087356322
0.7,-0.004,0.000944287,-0.135632184
,,,
,,,
,,.,
