,0.602,0.72,0.74,0.75,0.76,0.77,0.78,0.8
1,0.104,0.103,0.106,0.107,0.104,0.087,0.053,-0.051
0.953,0.017,0.027,0.03,0.033,0.033,0.024,-0.006,-0.11
0.888,-0.107,-0.097,-0.093,-0.089,-0.083,-0.082,-0.102,-0.173
0.819,-0.249,-0.255,-0.253,-0.247,-0.233,-0.214,-0.22,-0.251
0.749,-0.389,-0.43,-0.433,-0.426,-0.398,-0.352,-0.357,-0.346
0.698,-0.458,-0.531,-0.543,-0.539,-0.487,-0.459,-0.494,-0.45
0.659,-0.496,-0.594,-0.615,-0.614,-0.526,-0.664,-0.877,-0.782
0.619,-0.512,-0.629,-0.66,-0.659,-0.562,-1.049,-1.043,-0.995
0.579,-0.532,-0.663,-0.709,-0.677,-0.908,-1.027,-1.015,-0.962
0.54,-0.533,-0.669,-0.716,-0.626,-0.969,-0.997,-0.982,-0.926
0.499,-0.54,-0.675,-0.708,-0.59,-0.973,-0.981,-0.961,-0.902
0.46,-0.544,-0.68,-0.686,-0.839,-0.99,-0.988,-0.966,-0.9
0.419,-0.555,-0.689,-0.641,-0.982,-0.995,-0.983,-0.958,-0.889
0.379,-0.555,-0.68,-0.58,-0.987,-0.986,-0.968,-0.941,-0.872
0.339,-0.552,-0.669,-0.664,-0.964,-0.9668,-0.952,-0.923,-0.847
0.3,-0.575,-0.686,-0.99,-1.009,-0.997,-0.973,-0.941,-0.862
0.25,-0.608,-0.684,-1.018,-1.013,-0.994,-0.966,-0.932,-0.848
0.199,-0.661,-1.01,-1.019,-0.999,-0.975,-0.942,-0.907,-0.823
0.149,-0.727,-0.977,-1.008,-0.983,-0.954,-0.918,-0.879,-0.78
0.101,-0.797,-1.036,-0.996,-0.96,-0.927,-0.889,-0.844,-0.742
0.075,-0.885,-0.876,-0.822,-0.786,-0.756,-0.718,-0.678,-0.598
0.05,-0.819,-0.722,-0.669,-0.632,-0.6,-0.561,-0.52,-0.425
0.026,-0.513,-0.333,-0.279,-0.244,-0.214,-0.178,-0.138,-0.049
0.016,-0.295,-0.095,-0.042,-0.01,0.019,0.053,0.091,0.182
0.008,0.097,0.292,0.335,0.366,0.39,0.42,0.454,0.531
0.002,0.685,0.826,0.857,0.875,0.892,0.912,0.934,0.987
0,1.088,1.135,1.142,1.147,1.151,1.155,1.159,1.167
0.003,0.784,0.762,0.748,0.744,0.732,0.718,0.68,0.618
0.011,0.088,0.027,0.002,-0.01,-0.033,-0.057,-0.098,-0.206
0.02,0.174,0.142,0.127,0.122,0.107,0.093,0.067,-0.003
0.04,0.141,0.124,0.114,0.113,0.103,0.094,0.077,0.036
0.07,0.047,0.031,0.023,0.023,0.014,0.007,-0.009,-0.049
0.1,0.003,-0.016,-0.024,-0.025,-0.032,-0.04,-0.055,-0.094
0.149,-0.094,-0.124,-0.134,-0.136,-0.144,-0.153,-0.169,-0.21
0.229,-0.21,-0.264,-0.281,-0.288,-0.3,-0.315,-0.339,-0.406
0.32,-0.253,-0.318,-0.338,-0.348,-0.363,-0.382,-0.413,-0.543
0.39,-0.227,-0.283,-0.298,-0.305,-0.316,-0.331,-0.355,-0.423
0.459,-0.163,-0.2,-0.209,-0.212,-0.219,-0.229,-0.245,-0.292
0.539,-0.053,-0.068,-0.071,-0.071,-0.074,-0.08,-0.091,-0.122
0.64,0.087,0.09,0.091,0.093,0.092,0.089,0.081,0.057
0.74,0.218,0.232,0.235,0.238,0.238,0.236,0.229,0.209
0.859,0.319,0.388,0.343,0.346,0.347,0.345,0.337,0.314
0.952,0.263,0.278,0.282,0.286,0.285,0.28,0.267,0.225
