,-16,-12,-8,-6,-4,-2,0,2,4,8,12,16,18,20,24,30
0.2244,0.123,0.129,-0.063,-0.197,-0.329,-0.479,-0.645,-0.798,-0.951,-1.235,-1.493,-1.547,-1.187,-0.719,-0.827,-0.561
0.2492,0.072,0.086,-0.108,-0.231,-0.359,-0.497,-0.658,-0.791,-0.937,-1.189,-1.414,-1.48,-1.029,-0.64,-0.827,-0.561
0.2744,0.022,0.036,-0.146,-0.266,-0.383,-0.513,-0.657,-0.785,-0.921,-1.146,-1.347,-1.324,-0.914,-0.612,-0.82,-0.568
0.2988,-0.007,0,-0.172,-0.284,-0.394,-0.517,-0.653,-0.771,-0.897,-1.093,-1.274,-1.216,-0.791,-0.568,-0.827,-0.568
0.3498,-0.079,-0.058,-0.211,-0.31,-0.408,-0.515,-0.638,-0.732,-0.842,-1.002,-1.14,-1.029,-0.662,-0.554,-0.813,-0.576
0.399,-0.122,-0.086,-0.215,-0.312,-0.398,-0.491,-0.594,-0.68,-0.771,-0.892,-0.998,-0.827,-0.568,-0.532,-0.813,-0.583
0.448,-0.165,-0.122,-0.241,-0.32,-0.394,-0.477,-0.566,-0.641,-0.712,-0.819,-0.89,-0.676,-0.532,-0.532,-0.806,-0.583
0.4992,-0.172,-0.115,-0.227,-0.294,-0.357,-0.428,-0.507,-0.566,-0.619,-0.708,-0.753,-0.518,-0.504,-0.525,-0.777,-0.583
0.5492,-0.194,-0.129,-0.213,-0.27,-0.325,-0.385,-0.45,-0.493,-0.542,-0.617,-0.639,-0.439,-0.511,-0.532,-0.791,-0.59
0.5994,-0.209,-0.137,-0.211,-0.258,-0.304,-0.35,-0.412,-0.448,-0.495,-0.548,-0.542,-0.367,-0.489,-0.525,-0.748,-0.583
0.649,-0.237,-0.144,-0.201,-0.241,-0.28,-0.325,-0.367,-0.4,-0.438,-0.471,-0.444,-0.345,-0.496,-0.532,-0.77,-0.59
0.6986,-0.252,-0.137,-0.178,-0.213,-0.243,-0.278,-0.314,-0.341,-0.371,-0.385,-0.339,-0.317,-0.482,-0.525,-0.755,-0.59
0.749,-0.25,-0.129,-0.15,-0.174,-0.199,-0.227,-0.26,-0.278,-0.298,-0.298,-0.241,-0.302,-0.475,-0.518,-0.785,-0.59
0.7992,-0.28,-0.122,-0.122,-0.14,-0.158,-0.178,-0.203,-0.215,-0.229,-0.213,-0.156,-0.288,-0.468,-0.511,-0.712,-0.59
0.8488,-0.28,-0.108,-0.083,-0.095,-0.105,-0.12,-0.138,-0.142,-0.15,-0.12,-0.087,-0.273,-0.453,-0.504,-0.691,-0.576
0.8988,-0.287,-0.079,-0.026,-0.08,-0.035,-0.041,-0.051,-0.051,-0.053,-0.02,-0.039,-0.26,-0.432,-0.482,-0.647,-0.568
0.949,-0.295,-0.029,0.043,0.049,0.053,0.051,0.047,0.055,0.055,0.067,-0.012,-0.252,-0.396,-0.489,-0.612,-0.554
0.98,-0.324,-0.007,0.105,0.118,0.126,0.128,0.124,0.13,0.128,0.114,0.004,-0.23,-0.36,-0.41,-0.583,-0.547
