,5.00E+04,1.00E+05,2.00E+05
0.9,0.05,0.106704438,0.085632184
0.76,0.311,0.257790368,0.262643678
0.62,0.632,0.435316336,0.459770115
0.51,0.65,0.64305949,0.576436782
0.42,0.74,0.745042493,0.677011494
0.34,0.824,0.786591124,0.829885057
0.23,1.019,1.084985836,1.135632184
0.18,1.106,1.179414542,1.2
0.14,1.151,1.202077432,1.216091954
0.1,1.136,1.175637394,1.22816092
0.07,1.082,1.073654391,1.147701149
0.05,0.92,0.854579792,0.833908046
0.03,0.056,0.10292729,0.081609195
0.022,-0.16,-0.191690274,-0.135632184
0.02,-0.895,-0.898016997,-0.956321839
0.024,-0.787,-0.807365439,-0.835632184
0.03,-0.697,-0.701605288,-0.755172414
0.06,-0.055,-0.123701605,-0.135632184
0.08,0.044,0.053824363,-0.014942529
0.12,0.134,0.163361662,-0.006896552
0.17,0.152,0.174693107,-0.006896552
0.36,0.128,0.144475921,-0.043103448
0.51,0.047,0.0802644,-0.03908046
0.7,-0.001,0.004721435,-0.002873563
