,0.12,,,
1,-0.497237569,,,
0.896926667,-0.580110497,,,
0.852275088,-0.580110497,,,
0.807616346,-0.580110497,,,
0.715487986,-0.580110497,,,
0.67359713,-0.580110497,,,
0.631713439,-0.580110497,,,
0.593999489,-0.580110497,,,
0.549319253,-0.552486188,,,
0.512999993,-0.580110497,,,
0.478082588,-0.580110497,,,
0.444509721,-0.552486188,,,
0.409570822,-0.524861878,,,
0.380196355,-0.524861878,,,
0.348018179,-0.580110497,,,
0.318607889,-0.580110497,,,
0.289197599,-0.607734807,,,
0.262619677,-0.690607735,,,
0.234632736,-0.773480663,,,
0.210858523,-0.966850829,,,
0.188479,-1.187845304,,,
0.166142464,-1.35359116,,,
0.145200618,-1.519337017,,,
0.125639133,-1.685082873,,,
0.107479504,-1.850828729,,,
0.090700235,-1.961325967,,,
0.075308492,-2.099447514,,,
0.062684635,-2.26519337,,,
0.051498456,-2.403314917,,,
0.040247796,-2.624309392,,,
0.031671885,-2.817679558,,,
0.021722777,-3.370165746,,,
0.01020703,-4.116022099,,,-1
0.008426966,-4.309392265,,,
0.002808989,-4.447513812,,,
0.001,-2.762430939,,,
0,-1.436464088,,,
0.000919445,,,,
0.00576265,-0.276243094,,,
0.013237616,0.690607735,,,
0.02867951,0.939226519,,,
0.044042595,0.994475138,,,
0.069082537,0.91160221,,,
0.089938409,0.828729282,,,
0.120564276,0.718232044,,,
0.151182979,0.607734807,,,
0.190148329,0.497237569,,,
0.224965431,0.386740331,,,
0.268157839,0.276243094,,,
0.316929007,0.193370166,,,
0.369912904,0.165745856,,,
0.425722003,0.165745856,,,
0.48016507,0.220994475,,,
0.545737001,0.248618785,,,
0.614119805,0.331491713,,,
0.753617478,0.359116022,,,
0.91532989,0.165745856,,,
