,0.12,,,
1,-0.072727273,,,
0.896926667,-0.096969697,,,
0.852275088,-0.145454545,,,
0.807616346,-0.193939394,,,
0.715487986,-0.363636364,,,
0.67359713,-0.436363636,,,
0.631713439,-0.509090909,,,
0.593999489,-0.581818182,,,
0.549319253,-0.654545455,,,
0.512999993,-0.8,,,
0.478082588,-0.872727273,,,
0.444509721,-1.018181818,,,
0.409570822,-1.139393939,,,
0.380196355,-1.284848485,,,
0.348018179,-1.454545455,,,
0.318607889,-1.648484848,,,
0.289197599,-1.842424242,,,
0.262619677,-2.012121212,,,
0.234632736,-2.133333333,,,
0.210858523,-2.254545455,,,
0.188479,-2.351515152,,,
0.166142464,-2.4,,,
0.145200618,-2.424242424,,,
0.125639133,-2.496969697,,,
0.107479504,-2.545454545,,,
0.090700235,-2.618181818,,,
0.075308492,-2.715151515,,,
0.062684635,-2.812121212,,,
0.051498456,-3.03030303,,,
0.040247796,-3.345454545,,,
0.031671885,-3.684848485,,,
0.021722777,-4.339393939,,,
0.01020703,-4.436363636,,,
0.008426966,-4.266666667,,,-1
0.002808989,-4.145454545,,,
0.001,-2.448484848,,,
0,-1.163636364,,,
0.000919445,-0.072727273,,,
0.00576265,,,,
0.013237616,0.8,,,
0.02867951,0.993939394,,,
0.044042595,0.993939394,,,
0.069082537,0.896969697,,,
0.089938409,0.8,,,
0.120564276,0.678787879,,,
0.151182979,0.557575758,,,
0.190148329,0.436363636,,,
0.224965431,0.339393939,,,
0.268157839,0.266666667,,,
0.316929007,0.193939394,,,
0.369912904,0.16969697,,,
0.425722003,0.193939394,,,
0.48016507,0.266666667,,,
0.545737001,0.339393939,,,
0.614119805,0.387878788,,,
0.753617478,0.460606061,,,
0.91532989,0.339393939,,,
