,0.7,0.76
1,0.1,0.044
0.953,0.023,-0.014
0.888,-0.103,-0.112
0.819,-0.263,-0.237
0.749,-0.436,-0.375
0.698,-0.537,-0.482
0.659,-0.598,-0.583
0.619,-0.632,-0.876
0.579,-0.666,-1.198
0.54,-0.677,-1.16
0.499,-0.687,-1.162
0.46,-0.692,-1.155
0.419,-0.697,-1.142
0.379,-0.681,-1.131
0.339,-0.668,-1.118
0.3,-0.661,-1.126
0.25,-1.136,-1.12
0.199,-1.281,-1.102
0.149,-1.274,-1.073
0.101,-1.229,-0.984
0.075,-1.19,-0.95
0.05,-0.973,-0.731
0.026,-0.596,-0.358
0.016,-0.376,-0.139
0.008,0.04,0.246
0.002,0.63,0.781
0,1.099,1.144
0.003,0.934,0.875
0.011,0.321,0.206
0.02,0.345,0.273
0.04,0.278,0.229
0.07,0.164,0.124
0.1,0.104,0.067
0.149,-0.011,-0.051
0.229,-0.157,-0.211
0.32,-0.223,-0.287
0.39,-0.204,-0.26
0.459,-0.14,-0.181
0.539,-0.027,-0.051
0.64,0.115,0.104
0.74,0.248,0.243
0.859,0.347,0.345
0.952,0.281,0.267
