xc,yb,surf,section,cp
0.49,0.773,L,7,-0.010562953
0.64,0.773,L,7,-0.053089637
0.79,0.773,L,7,-0.007446543
0.95,0.773,L,7,0.070260236
0.95,0.843,U,8,0.10601016
0.79,0.843,U,8,-0.175148875
0.64,0.843,U,8,-0.333193813
0.49,0.843,U,8,-0.483076806
0.36,0.843,U,8,-0.732558361
0.25,0.843,U,8,-1.081353094
0.16,0.843,U,8,-1.562622477
0.09,0.843,U,8,-2.085957269
0.04,0.843,U,8,-2.881204695
0.022,0.843,U,8,-3.110595308
0.01,0.843,U,8,-3.479994673
0.01,0.843,L,8,0.966895607
0.022,0.843,L,8,1.056619927
0.04,0.843,L,8,0.850573619
0.09,0.843,L,8,0.454062898
0.16,0.843,L,8,0.204410114
0.25,0.843,L,8,0.061033846
0.36,0.843,L,8,0.015429691
0.49,0.843,L,8,-0.039420863
0.64,0.843,L,8,-0.020928065
0.79,0.843,L,8,-0.027092331
0.95,0.843,L,8,0.048419931
0.95,0.899,U,9,0.072075536
0.79,0.899,U,9,-0.212625788
0.64,0.899,U,9,-0.334691343
0.49,0.899,U,9,-0.505733953
0.36,0.899,U,9,-0.775817578
0.25,0.899,U,9,-1.014492004
0.16,0.899,U,9,-1.246012851
0.09,0.899,U,9,-1.707102561
0.04,0.899,U,9,-2.578197668
0.022,0.899,U,9,-2.952523901
0.01,0.899,U,9,-3.237447041
0.01,0.899,L,9,1.072922135
0.022,0.899,L,9,1.014850607
0.04,0.899,L,9,0.818166022
0.09,0.899,L,9,0.447887938
0.16,0.899,L,9,0.166158954
0.25,0.899,L,9,0.038514718
0.36,0.899,L,9,-0.065883162
0.49,0.899,L,9,-0.089506606
0.64,0.899,L,9,-0.081876123
0.79,0.899,L,9,-0.057531775
0.95,0.899,L,9,-0.017871006
0.95,0.944,U,10,-0.009654199
0.79,0.944,U,10,-0.258431328
0.64,0.944,U,10,-0.328169995
0.49,0.944,U,10,-0.487511874
0.36,0.944,U,10,-0.696268772
0.25,0.944,U,10,-0.881107592
0.16,0.944,U,10,-1.131732325
0.09,0.944,U,10,-1.668007891
0.04,0.944,U,10,-2.351621506
0.022,0.944,U,10,-2.432602565
0.01,0.944,U,10,-2.921411495
