,0.7,0.8,0.85
1,0.103,0.095,-0.167
0.928,0.06,0.03,-0.274
0.848,-0.044,-0.122,-0.326
0.8,-0.116,-0.214,-0.347
0.72,-0.272,-0.369,-0.388
0.649,-0.397,-0.533,-0.784
0.599,-0.468,-1.055,-0.91
0.549,-0.538,-1.011,-0.861
0.498,-0.564,-0.972,-0.822
0.45,-0.587,-0.924,-0.78
0.4,-0.595,-0.906,-0.738
0.35,-0.612,-0.887,-0.716
0.299,-0.622,-0.848,-0.682
0.25,-0.658,-0.826,-0.651
0.2,-0.67,-0.829,-0.634
0.15,-0.722,-0.772,-0.562
0.101,-0.805,-0.781,-0.53
0.075,-0.838,-0.763,-0.508
0.051,-1.058,-0.79,-0.537
0.031,-1.062,-0.697,-0.452
0.02,-0.856,-0.477,-0.212
0.015,-0.817,-0.418,-0.137
0.011,-0.566,-0.194,0.061
0.007,-0.182,0.144,0.376
0.004,0.221,0.507,0.704
0.0004,0.958,1.09,1.169
0,1.125,1.164,1.156
0.001,0.877,0.747,0.575
0.003,0.421,0.24,-0.051
0.005,0.444,0.309,0.09
0.011,0.307,0.213,0.048
0.019,0.246,0.173,0.031
0.05,0.236,0.205,0.125
0.1,0.172,0.157,0.1
0.147,0.098,0.084,0.028
0.199,0.035,0.018,-0.04
0.299,-0.067,-0.097,-0.18
0.4,-0.111,-0.152,-0.267
0.499,-0.12,-0.154,-0.258
0.599,0.002,-0.007,-0.065
0.729,0.106,0.114,0.07
0.868,0.155,0.167,0.104
0.948,0.178,0.186,0.069
