,0.755,0.76,0.765,0.77
1,0.12,0.121,0.123,0.123
0.928,0.069,0.072,0.074,0.079
0.848,-0.029,-0.027,-0.025,-0.019
0.8,-0.111,-0.109,-0.106,-0.096
0.72,-0.278,-0.277,-0.271,-0.25
0.649,-0.418,-0.417,-0.406,-0.357
0.599,-0.521,-0.519,-0.495,-0.398
0.549,-0.618,-0.609,-0.54,-0.807
0.498,-0.646,-0.593,-0.707,-0.949
0.45,-0.688,-0.698,-0.859,-0.934
0.4,-0.627,-0.826,-0.877,-0.905
0.35,-0.786,-0.865,-0.901,-0.912
0.299,-0.876,-0.888,-0.894,-0.901
0.25,-0.86,-0.877,-0.879,-0.878
0.2,-0.887,-0.894,-0.893,-0.889
0.15,-0.857,-0.856,-0.851,-0.844
0.101,-0.889,-0.882,-0.872,-0.857
0.075,-0.905,-0.892,-0.879,-0.861
0.051,-0.948,-0.93,-0.914,-0.892
0.031,-0.788,-0.77,-0.754,-0.733
0.02,-0.651,-0.633,-0.616,-0.596
0.015,-0.626,-0.606,-0.588,-0.566
0.011,-0.373,-0.356,-0.339,-0.295
0.007,0.017,0.033,0.048,0.059
0.004,0.395,0.408,0.42,0.434
0.0004,1.054,1.059,1.064,1.071
0,1.148,1.151,1.152,1.154
0.001,0.804,0.799,0.794,0.788
0.003,0.318,0.312,0.34,0.298
0.005,0.369,0.362,0.358,0.352
0.011,0.257,0.254,0.251,0.248
0.019,0.198,0.197,0.194,0.193
0.05,0.215,0.215,0.214,0.214
0.1,0.158,0.158,0.158,0.158
0.147,0.08,0.08,0.08,0.08
0.199,0.028,0.028,0.028,0.028
0.299,-0.073,-0.082,-0.082,-0.086
0.4,-0.131,-0.132,-0.133,-0.132
0.499,-0.131,-0.131,-0.133,-0.132
0.599,-0.004,-0.003,-0.003,0
0.729,0.106,0.107,0.108,0.112
0.868,0.162,0.165,0.166,0.171
0.948,0.19,0.194,0.196,0.203
