,0.3,0.4,0.5,0.6,0.65
0.9489,0.0592,0.0725,0.072,0.0612,0.0277
0.8993,-0.0096,-0.0012,0.0075,0.0069,-0.0254
0.85,-0.0734,-0.0714,-0.0583,-0.0547,-0.0821
0.8003,-0.1364,-0.1331,-0.1196,-0.1126,-0.1309
0.7489,-0.1962,-0.1937,-0.1892,-0.1769,-0.1871
0.6996,-0.2524,-0.2514,-0.2444,-0.229,-0.2364
0.6495,-0.3011,-0.3039,-0.3086,-0.2853,-0.2969
0.5994,-0.3549,-0.3585,-0.3681,-0.3465,-0.35
0.5492,-0.4185,-0.4189,-0.4341,-0.405,-0.4039
0.4997,-0.4813,-0.4934,-0.5097,-0.4734,-0.4708
0.4496,-0.5452,-0.5582,-0.5801,-0.5472,-0.5455
0.3994,-0.6224,-0.6407,-0.6628,-0.6184,-0.6474
0.3499,-0.7006,-0.7288,-0.7611,-0.6996,-0.8015
0.2997,-0.7921,-0.8317,-0.8675,-0.8,-1.0062
0.2501,-0.8971,-0.9455,-0.9909,-0.9416,-1.2711
0.1994,-1.036,-1.0833,-1.153,-1.257,-1.707
0.1503,-1.1828,-1.2509,-1.33,-2.0646,-2.0558
0.1012,-1.4432,-1.5341,-1.6249,-2.3941,-2.1441
0.0763,-1.6418,-1.7187,-1.7681,-2.4892,-2.1392
0.0515,-1.869,-1.9504,-2.4861,-2.5214,-2.1004
0.0271,-2.3279,-2.6287,-3.1774,-2.3962,-1.9705
0.0135,-2.8117,-3.0143,-3.2554,-2.1918,-1.7645
0,-1.1916,-0.9786,-0.5691,0.0335,0.2748
0,-1.1816,-0.9786,-0.5691,0.0335,0.2748
0.0122,0.9892,1.0144,1.032,1.0347,1.0191
0.0251,0.8454,0.9676,0.868,0.8397,0.8036
0.051,0.586,0.6045,0.6066,0.5742,0.5305
0.0755,0.4471,0.4569,0.4521,0.4248,0.3853
0.1,0.3384,0.3481,0.3433,0.3188,0.2802
0.1504,0.2037,0.2075,0.2023,0.1818,0.1424
0.2004,0.1229,0.129,0.1197,0.099,0.0602
0.2501,0.079,0.0744,0.0675,0.0523,0.0127
0.3002,0.045,0.042,0.0367,0.0215,-0.0159
0.3507,0.0239,0.0192,0.0104,0.0006,-0.0395
0.4,0.0005,0.01,0.0026,-0.015,-0.0451
0.4503,0.0054,0.007,-0.0022,-0.0169,-0.0485
0.5,-0.0042,-0.0041,-0.0133,-0.0282,-0.0595
0.5506,-0.0101,-0.0037,-0.0177,-0.0307,-0.0628
0.5997,-0.0025,-0.0016,-0.0134,-0.0283,-0.0582
0.6502,-0.0037,-0.0024,-0.0159,-0.0272,-0.0639
0.7003,0.0006,0.0037,-0.0024,-0.0198,-0.0481
0.7497,0.0099,0.0144,0.0016,-0.0148,-0.0411
0.7998,0.023,0.0285,0.0206,0.0044,-0.0248
0.8503,0.0318,0.0329,0.0229,0.0089,-0.0275
0.9,0.0304,0.0337,0.0213,0.0128,-0.0262
0.9483,0.0741,0.083,0.0685,0.0575,0.0239
