,0.3,0.4,0.5
0.9489,0.0444,0.0227,-0.0833
0.8993,-0.0227,-0.027,-0.1258
0.85,-0.0886,-0.076,-0.1599
0.8003,-0.1507,-0.1366,-0.1955
0.7487,-0.2258,-0.1992,-0.2362
0.6996,-0.2821,-0.263,-0.2896
0.6495,-0.3484,-0.3316,-0.3326
0.5994,-0.4041,-0.4011,-0.3913
0.5492,-0.4653,-0.4731,-0.4439
0.4997,-0.5444,-0.5556,-0.5114
0.4496,-0.6318,-0.6354,-0.5899
0.3994,-0.7212,-0.733,-0.6784
0.3499,-0.8291,-0.8402,-0.7725
0.2949,-0.9412,-0.9709,-0.8985
0.2501,-1.079,-1.1075,-1.0534
0.1994,-1.2555,-1.3026,-1.2783
0.1503,-1.4645,-1.5332,-1.5806
0.1012,-1.8366,-1.9236,-2.0382
0.0763,-2.1341,-2.205,-2.347
0.0515,-2.505,-2.5612,-2.7636
0.0271,-3.2661,-4.0849,-3.4094
0.0135,-4.3854,-4.9696,-3.4568
0,-3.0413,-2.4237,-1.0453
0,-3.0413,-2.4237,-1.0453
0.0122,0.9548,0.9969,1.0466
0.0251,0.9809,0.9933,0.9642
0.051,0.7884,0.8,0.7328
0.0755,0.6495,0.654,0.5806
0.1,0.5372,0.5421,0.4683
0.1504,0.3885,0.384,0.3133
0.2004,0.2848,0.2835,0.2131
0.2501,0.2198,0.2205,0.1503
0.3002,0.1735,0.1679,0.1059
0.3507,0.134,0.1322,0.0704
0.4,0.1102,0.1096,0.0444
0.4503,0.0939,0.0939,0.0331
0.5,0.0815,0.0721,0.0127
0.5506,0.0684,0.0598,-0.0027
0.5997,0.0624,0.049,-0.0138
0.6502,0.0458,0.0414,-0.0247
0.7003,0.0439,0.0407,-0.0299
0.7497,0.0404,0.0405,-0.0266
0.7998,0.0491,0.0378,-0.0303
0.8503,0.0442,0.0351,-0.0464
0.9,0.0366,0.019,-0.0691
0.9483,0.0703,0.0441,-0.0428
