,0.3,0.4,0.5,0.6,0.65,0.7
0.9489,0.0675,0.0788,0.0844,0.106,0.1131,0.1145
0.8993,0.0031,0.0069,0.0122,0.0309,0.0414,0.0433
0.85,-0.0588,-0.0554,-0.05,-0.0335,-0.0293,-0.0243
0.8003,-0.1009,-0.103,-0.105,-0.0928,-0.0881,-0.0835
0.7489,-0.1565,-0.1473,-0.1554,-0.1451,-0.1451,-0.1414
0.6996,-0.1964,-0.1964,-0.2069,-0.2,-0.2009,-0.1934
0.6495,-0.2267,-0.2354,-0.2503,-0.2494,-0.2522,-0.2447
0.5994,-0.2693,-0.2772,-0.2959,-0.2963,-0.301,-0.2882
0.5492,-0.3079,-0.3217,-0.3381,-0.3498,-0.3537,-0.3396
0.4997,-0.3604,-0.3751,-0.4011,-0.4117,-0.4211,-0.3968
0.4496,-0.4011,-0.4198,-0.4478,-0.4637,-0.4792,-0.4442
0.3994,-0.4621,-0.4791,-0.5057,-0.5325,-0.5531,-0.4783
0.3499,-0.5077,-0.5281,-0.5718,-0.5994,-0.6213,-0.494
0.2999,-0.56,-0.5938,-0.6352,-0.6798,-0.7094,-0.7042
0.2501,-0.6295,-0.6557,-0.7071,-0.7593,-0.7859,-1.3748
0.1994,-0.7045,-0.7356,-0.7956,-0.867,-0.8537,-1.4527
0.1503,-0.769,-0.81,-0.8809,-0.9999,-1.2651,-1.4215
0.1012,-0.8972,-0.9609,-1.0489,-1.1903,-1.4736,-1.3727
0.0763,-0.9767,-1.0405,-1.1258,-1.2878,-1.4919,-1.3204
0.0515,-1.0551,-1.135,-1.2227,-1.3845,-1.4214,-1.2362
0.0271,-1.173,-1.2238,-1.3093,-1.3572,-1.2582,-1.0431
0.0135,-1.1709,-1.2008,-1.2245,-1.1435,-0.9855,-0.749
0,0.4888,0.5519,0.6252,0.7388,0.8098,0.9101
0,0.4888,0.5519,0.6252,0.7388,0.8098,0.9101
0.0122,0.713,0.7412,0.7511,0.7752,0.7708,0.7501
0.0251,0.4365,0.4581,0.4687,0.4861,0.4822,0.4628
0.051,0.1676,0.1784,0.1867,0.1969,0.1941,0.1774
0.0755,0.0557,0.0615,0.0666,0.0692,0.0631,0.0389
0.1,-0.0266,-0.02,-0.0139,0.0169,-0.028,-0.0554
0.1504,-0.0975,-0.1026,-0.1031,-0.1153,-0.1285,-0.1593
0.2004,-0.1289,-0.1416,-0.1466,-0.162,-0.1755,-0.2064
0.2501,-0.1438,-0.1577,-0.1609,-0.1751,-0.1912,-0.2193
0.3002,-0.1405,-0.1635,-0.1624,-0.176,-0.1911,-0.2156
0.3507,-0.1457,-0.1597,-0.1672,-0.1752,-0.1871,-0.2087
0.4,-0.1469,-0.1544,-0.1559,-0.1646,-0.1769,-0.2014
0.4503,-0.1248,-0.137,-0.1422,-0.145,-0.1558,-0.1783
0.5,-0.1224,-0.1266,-0.1381,-0.1412,-0.1504,-0.1703
0.5506,-0.1083,-0.109,-0.1204,-0.1269,-0.1326,-0.1525
0.5997,-0.0936,-0.09,-0.1054,-0.1041,-0.1111,-0.1256
0.6502,-0.0845,-0.0871,-0.0974,-0.0911,-0.0984,-0.1103
0.7003,-0.0712,-0.0632,-0.0718,-0.0665,-0.0725,-0.0813
0.7497,-0.0546,-0.0396,-0.0464,-0.041,-0.0458,-0.056
0.7998,-0.0219,-0.02,-0.0227,-0.0147,-0.017,-0.0218
0.8503,-0.0082,-0.0035,-0.0001,0.0089,0.005,0.0028
0.9,0.0142,0.0164,0.0196,0.0298,0.0324,0.0312
0.9483,0.0745,0.0825,0.0858,0.0983,0.0986,0.1036
