,0.3,0.4,0.5,0.6
0.9489,0.0567,0.0617,0.0432,0.0091
0.8993,-0.014,-0.0037,-0.0104,-0.0403
0.85,-0.0798,-0.0722,-0.0675,-0.0956
0.8003,-0.1424,-0.1362,-0.1253,-0.1424
0.748,-0.2051,-0.2004,-0.1888,-0.2
0.6996,-0.2566,-0.2627,-0.2461,-0.2534
0.6495,-0.3163,-0.323,-0.3069,-0.31
0.5994,-0.3715,-0.3863,-0.3739,-0.3671
0.5492,-0.4324,-0.4435,-0.4343,-0.4217
0.4997,-0.5016,-0.52,-0.5146,-0.4885
0.4496,-0.5711,-0.5905,-0.5916,-0.5651
0.3994,-0.6531,-0.6793,-0.6822,-0.6517
0.3499,-0.7473,-0.765,-0.7774,-0.7502
0.2999,-0.8354,-0.8847,-0.8978,-0.8838
0.2501,-0.9559,-1.0075,-1.0242,-1.082
0.1994,-1.1124,-1.1758,-1.1885,-1.3854
0.1503,-1.2846,-1.368,-1.3793,-1.7607
0.1012,-1.583,-1.6916,-1.6622,-2.5082
0.0763,-1.7023,-1.9091,-1.9841,-2.5222
0.0515,-2.0668,-2.2105,-3.362,-2.6051
0.0271,-2.6305,-3.0647,-3.5065,-2.5446
0.0135,-3.3116,-3.6087,-3.5253,-2.3249
0,-1.7558,-1.4746,-0.8105,-0.1028
0,-1.7558,-1.4746,-0.8105,-0.1028
0.0122,0.992,1.0161,1.043,1.0561
0.0251,0.9098,0.9251,0.9189,0.8796
0.051,0.6721,0.685,0.6657,0.6155
0.0755,0.5226,0.5325,0.5164,0.4736
0.1,0.4109,0.4212,0.4066,0.3644
0.1504,0.271,0.272,0.2548,0.2178
0.2004,0.1759,0.1841,0.1697,0.1303
0.2501,0.1249,0.1313,0.1126,0.0795
0.3002,0.0925,0.0914,0.0743,0.0439
0.3507,0.0525,0.0693,0.0404,0.0117
0.4,0.0427,0.0481,0.0314,0.0011
0.4503,0.0329,0.0416,0.0221,-0.0061
0.5,0.0212,0.0252,0.0082,-0.0193
0.5506,0.0165,0.0222,0.0069,-0.0274
0.5997,0.0134,0.0176,0.0016,-0.0302
0.6502,0.0114,0.0151,-0.0022,-0.0366
0.7003,0.0187,0.0215,0.0025,-0.0315
0.7497,0.0183,0.0274,0.0059,-0.026
0.7998,0.0312,0.04,0.0161,-0.0119
0.8503,0.0357,0.0423,0.0155,-0.0192
0.9,0.0272,0.0377,0.0083,-0.0234
0.9483,0.072,0.0766,0.048,0.0171
