,0.3,0.4,0.5,0.6,0.65,0.7
0.9489,0.0699,0.078,0.0835,0.1046,0.1115,0.1204
0.8993,0.0106,0.0151,0.0159,0.034,0.0387,0.0447
0.85,-0.0382,-0.0405,-0.0414,-0.0266,-0.0257,-0.0202
0.8003,-0.0828,-0.0809,-0.0875,-0.0769,-0.0784,-0.0741
0.7489,-0.1221,-0.1284,-0.1335,-0.1255,-0.1298,-0.1297
0.6996,-0.1599,-0.1653,-0.177,-0.1711,-0.1738,-0.176
0.6495,-0.1906,-0.1977,-0.2131,-0.2103,-0.2192,-0.2248
0.5994,-0.2283,-0.2326,-0.2499,-0.2512,-0.2597,-0.2663
0.5492,-0.2682,-0.2644,-0.2835,-0.2897,-0.3017,-0.3109
0.4997,-0.3035,-0.3106,-0.3349,-0.3458,-0.3626,-0.3732
0.4496,-0.3356,-0.338,-0.3712,-0.3863,-0.4085,-0.4254
0.3994,-0.3781,-0.3864,-0.4167,-0.4381,-0.4639,-0.487
0.3499,-0.4097,-0.4286,-0.4585,-0.484,-0.5132,-0.5386
0.2999,-0.4547,-0.4761,-0.5096,-0.5442,-0.5786,-0.6043
0.2501,-0.4916,-0.5171,-0.5644,-0.608,-0.6506,-0.7054
0.1994,-0.5618,-0.5822,-0.6279,-0.6896,-0.7451,-0.8473
0.1503,-0.582,-0.6226,-0.666,-0.7467,-0.8138,-0.9488
0.1012,-0.6407,-0.6962,-0.7418,-0.8171,-0.8928,-0.9798
0.0763,-0.6832,-0.7192,-0.7685,-0.8314,-0.891,-0.923
0.0515,-0.6491,-0.7311,-0.7626,-0.8234,-0.8599,-0.8353
0.0271,-0.668,-0.6968,-0.724,-0.7154,-0.6991,-0.6174
0.0135,-0.5154,-0.5378,-0.5341,-0.4793,-0.4312,-0.3269
0,0.8965,0.9227,0.9521,1.0098,1.0336,1.0741
0,0.8966,0.9227,0.9521,1.0098,1.0336,1.0741
0.0122,0.4067,0.4355,0.4553,0.4836,0.4949,0.4919
0.0251,0.1223,0.1466,0.1509,0.1709,0.1828,0.1786
0.051,-0.1,-0.0879,-0.0952,-0.0883,-0.0878,-0.1002
0.0755,-0.1818,-0.1631,-0.1889,-0.1883,-0.1968,-0.2124
0.1,-0.2232,-0.2117,-0.2475,-0.2546,-0.2688,-0.2941
0.1504,-0.2602,-0.2539,-0.2964,-0.3145,-0.3321,-0.3675
0.2004,-0.2797,-0.2789,-0.3119,-0.3298,-0.3501,-0.3842
0.2501,-0.2595,-0.2666,-0.3028,-0.3183,-0.3391,-0.3735
0.3002,-0.251,-0.2581,-0.2866,-0.2974,-0.3204,-0.3497
0.3507,-0.2395,-0.2427,-0.269,-0.2794,-0.2971,-0.327
0.4,-0.2261,-0.2232,-0.2461,-0.2567,-0.2738,-0.3019
0.4503,-0.2011,-0.1927,-0.2134,-0.2252,-0.242,-0.2646
0.5,-0.1878,-0.1848,-0.2018,-0.2094,-0.2235,-0.239
0.5506,-0.1765,-0.1625,-0.1754,-0.1798,-0.1904,-0.206
0.5997,-0.1459,-0.1413,-0.1516,-0.153,-0.1615,-0.1751
0.6502,-0.1274,-0.128,-0.14,-0.1314,-0.1421,-0.154
0.7003,-0.1007,-0.099,-0.1079,-0.1034,-0.1083,-0.1176
0.7497,-0.0739,-0.0739,-0.078,-0.0722,-0.0794,-0.0858
0.7999,-0.0448,-0.0379,-0.0451,-0.0359,-0.0399,-0.0408
0.8503,-0.0159,-0.0142,-0.0175,-0.006,-0.0089,-0.0083
0.9,0.008,0.016,0.0118,0.0266,0.0272,0.0296
0.9483,0.0758,0.0851,0.0852,0.1025,0.1054,0.1105
