,0.3,0.4,0.5,0.6,0.65,0.7
0.9489,0.0622,0.075,0.0842,0.103,0.1003,0.0758
0.8993,-0.0062,0.0018,0.0095,0.0301,0.0342,0.0198
0.85,-0.0657,-0.0625,-0.0581,-0.0366,-0.0347,-0.0418
0.8003,-0.1231,-0.1138,-0.1171,-0.0976,-0.0912,-0.0959
0.7487,-0.1723,-0.1686,-0.1762,-0.1615,-0.1482,-0.15
0.6996,-0.2167,-0.2186,-0.2299,-0.2158,-0.209,-0.1962
0.6495,-0.2622,-0.2701,-0.2863,-0.2752,-0.2631,-0.2387
0.5994,-0.3045,-0.321,-0.3344,-0.3284,-0.3169,-0.2875
0.5492,-0.3596,-0.3737,-0.3912,-0.3867,-0.3699,-0.3398
0.4997,-0.4258,-0.4332,-0.4585,-0.46,-0.4391,-0.4113
0.4496,-0.4747,-0.4982,-0.5219,-0.5267,-0.4896,-0.5462
0.3994,-0.5334,-0.5579,-0.593,-0.6069,-0.5553,-0.7444
0.3499,-0.605,-0.6255,-0.6694,-0.6854,-0.6016,-0.9659
0.2997,-0.6795,-0.708,-0.7576,-0.7793,-0.6735,-1.3699
0.2501,-0.761,-0.7978,-0.8577,-0.883,-0.9937,-1.6224
0.1994,-0.8672,-0.9085,-0.9889,-0.9865,-1.8032,-1.6708
0.1503,-0.9727,-1.0349,-1.1168,-1.0206,-1.8618,-1.6793
0.1012,-1.1601,-1.226,-1.3256,-1.9802,-1.923,-1.6271
0.0763,-1.285,-1.352,-1.5035,-2.0967,-1.8999,-1.5947
0.0515,-1.4332,-1.5563,-1.7569,-2.142,-1.8281,-1.5104
0.0271,-1.7367,-1.8593,-2.0595,-2.0135,-1.6676,-1.3182
0.0135,-1.9074,-2.0108,-2.1392,-1.7982,-1.4489,-1.0957
0,-0.178,-0.1139,0.0569,0.3418,0.5216,0.6958
0,-0.178,-0.1139,0.0569,0.3418,0.5216,0.6958
0.0122,0.9137,0.93,0.9448,0.9543,0.9347,0.9012
0.0251,0.6837,0.6941,0.7066,0.712,0.688,0.64
0.051,0.396,0.418,0.4207,0.4261,0.4026,0.3575
0.0755,0.2693,0.2741,0.2788,0.2785,0.2619,0.2215
0.1,0.1665,0.1743,0.1809,0.1812,0.1609,0.1176
0.1504,0.0534,0.0556,0.0607,0.055,0.0397,-0.0053
0.2004,-0.0019,-0.002,-0.0078,-0.0102,-0.029,-0.0749
0.2501,-0.0364,-0.0367,-0.0386,-0.0462,-0.0633,-0.1035
0.3002,-0.0531,-0.0547,-0.0556,-0.0593,-0.0794,-0.1218
0.3507,-0.0666,-0.0654,-0.0696,-0.0745,-0.0937,-0.1304
0.4,-0.065,-0.0691,-0.0726,-0.0771,-0.0967,-0.1324
0.4503,-0.0639,-0.0693,-0.0691,-0.0679,-0.0828,-0.1231
0.5,-0.0689,-0.0649,-0.0696,-0.0717,-0.0885,-0.124
0.5506,-0.0558,-0.0602,-0.0635,-0.0638,-0.0795,-0.1164
0.5997,-0.039,-0.0477,-0.0515,-0.0527,-0.0698,-0.101
0.6502,-0.0417,-0.0418,-0.055,-0.0509,-0.0616,-0.0954
0.7003,-0.0265,-0.0213,-0.0307,-0.0333,-0.0448,-0.082
0.7497,-0.0175,-0.0074,-0.018,-0.0194,-0.0226,-0.0588
0.7998,-0.0032,0.0098,0.0022,0.0056,0.0003,-0.0289
0.8503,0.0124,0.0159,0.0148,0.0182,0.0116,-0.0139
0.9,0.0188,0.0239,0.0276,0.0297,0.0297,0.0037
0.9483,0.0726,0.0805,0.0845,0.0903,0.0892,0.0643
