,0.8,,
0.9501,-0.0525,,"0.9632107023411371, 0.4908350305498982"
0.9002,-0.174,,"0.9130434782608696, 0.5173116089613035"
0.8002,-0.6159,,"0.81438127090301, 0.6334012219959266"
0.75,-0.925,,"0.7675585284280937, 0.7067209775967414"
0.7,-0.9614,,"0.714046822742475, 0.7189409368635438"
0.65,-0.9789,,"0.6672240802675586, 0.7230142566191446"
0.6002,-0.956,,"0.6153846153846154, 0.7148676171079429"
0.5502,-0.898,,"0.5668896321070234, 0.7067209775967414"
0.5002,-0.8564,,"0.5133779264214047, 0.6985743380855397"
0.4501,-0.8268,,"0.4648829431438127, 0.6924643584521385"
0.4003,-0.8151,,"0.41471571906354515, 0.6924643584521385"
0.3502,-0.8414,,"0.36287625418060204, 0.6985743380855397"
0.3001,-0.8456,,"0.31270903010033446, 0.6985743380855397"
0.2503,-0.8175,,"0.26421404682274247, 0.6985743380855397"
0.2003,-0.789,,"0.21404682274247494, 0.6904276985743381"
0.1507,-0.7703,,"0.16387959866220736, 0.6843177189409368"
0.1003,-0.7428,,"0.11204013377926422, 0.6822810590631365"
0.0759,-0.7138,,"0.08862876254180602, 0.6761710794297352"
0.0259,-0.4256,,"0.03678929765886288, 0.6069246435845214"
0.0132,-0.0595,,"0.021739130434782622, 0.515274949083503"
0,1.1612,,"0.005016722408026766, 0.20977596741344195"
0,1.1612,,"0.02508361204013379, 0.4073319755600815"
0.0126,0.3733,,"0.03177257525083613, 0.4480651731160896"
0.0255,0.215,,"0.05685618729096992, 0.4867617107942973"
0.0495,0.0449,,"0.08695652173913046, 0.5132382892057027"
0.0753,-0.0465,,"0.11036789297658861, 0.5234215885947047"
0.1002,-0.1154,,"0.1605351170568562, 0.5478615071283095"
0.1503,-0.2024,,"0.20735785953177255, 0.5723014256619144"
0.1976,-0.308,,"0.26421404682274247, 0.5906313645621182"
0.2503,-0.3834,,"0.31270903010033446, 0.6008146639511202"
0.3001,-0.4384,,"0.36287625418060204, 0.6089613034623218"
0.3507,-0.4658,,"0.41304347826086957, 0.6008146639511202"
0.4001,-0.4512,,"0.4615384615384615, 0.5845213849287169"
0.4501,-0.4003,,"0.5100334448160535, 0.560081466395112"
0.5001,-0.3143,,"0.560200668896321, 0.5274949083503054"
0.5497,-0.1625,,"0.6103678929765886, 0.49490835030549896"
0.6003,-0.0465,,"0.6605351170568561, 0.4704684317718941"
0.65,0.0521,,"0.7090301003344481, 0.439918533604888"
0.7,0.1644,,"0.7608695652173911, 0.41140529531568226"
0.7501,0.2657,,"0.8093645484949832, 0.3869653767820773"
0.8001,0.3533,,"0.8595317725752507, 0.3645621181262729"
0.8501,0.4319,,
