,0.5,0.6,0.65,0.7
0.9501,-0.0964,-0.0925,-0.0853,-0.0656
0.9002,-0.2062,-0.2134,-0.2099,-0.1952
0.8002,-0.3619,-0.3898,-0.4004,-0.4051
0.75,-0.4189,-0.4556,-0.4742,-0.4904
0.7,-0.4571,-0.5008,-0.5259,-0.5537
0.65,-0.4818,-0.5297,-0.5583,-0.5941
0.6002,-0.4901,-0.5389,-0.57,-0.6107
0.5502,-0.4939,-0.5423,-0.569,-0.6093
0.5002,-0.4899,-0.5387,-0.5689,-0.6085
0.4501,-0.4904,-0.5407,-0.5712,-0.6123
0.4003,-0.4915,-0.5423,-0.5761,-0.6182
0.3502,-0.5038,-0.5529,-0.5876,-0.6275
0.3001,-0.5197,-0.5709,-0.6012,-0.6454
0.2503,-0.5267,-0.5809,-0.6099,-0.6536
0.2003,-0.5468,-0.5974,-0.6372,-0.6824
0.1507,-0.5724,-0.6309,-0.6686,-0.7108
0.1003,-0.6487,-0.7052,-0.7351,-0.7819
0.0759,-0.7063,-0.7676,-0.8033,-0.8801
0.0259,-0.8233,-0.8686,-0.8616,-0.797
0.0132,-0.6332,-0.5774,-0.5171,-0.4077
0,1.0626,1.0887,1.1062,1.1281
0,1.0626,1.0387,1.1062,1.1281
0.0126,0.4524,0.4512,0.4534,0.4556
0.0255,0.272,0.2722,0.2744,0.2773
0.0495,0.1103,0.1031,0.1222,0.1198
0.0753,0.0273,0.017,0.0173,0.0156
0.1002,-0.0206,-0.0443,-0.0471,-0.052
0.1503,-0.084,-0.1063,-0.1125,-0.1207
0.1976,-0.1532,-0.1811,-0.1927,-0.2068
0.2503,-0.1924,-0.2222,-0.2344,-0.2561
0.3001,-0.2165,-0.2484,-0.2616,-0.2839
0.3507,-0.2296,-0.2641,-0.279,-0.3027
0.4001,-0.2253,-0.26,-0.275,-0.2979
0.4501,-0.2102,-0.2463,-0.2576,-0.2765
0.5001,-0.1766,-0.2022,-0.2106,-0.2246
0.5497,-0.1083,-0.12,-0.1299,-0.1361
0.6003,-0.0291,-0.0388,-0.0384,-0.0381
0.65,0.0375,0.0357,0.0407,0.0476
0.7,0.1318,0.1342,0.1407,0.1501
0.7501,0.2169,0.2234,0.2312,0.2415
0.8001,0.2892,0.3002,0.3095,0.3205
0.8501,0.3563,0.37,0.3794,0.3892
