,0.5,0.7
0.9501,-0.1089,-0.0846
0.9002,-0.2152,-0.2112
0.8002,-0.364,-0.412
0.75,-0.4179,-0.494
0.7,-0.4537,-0.553
0.65,-0.475,-0.5861
0.6002,-0.4799,-0.6001
0.5502,-0.4804,-0.593
0.5002,-0.4754,-0.5871
0.4501,-0.4729,-0.586
0.4003,-0.4715,-0.5843
0.3502,-0.4768,-0.5884
0.3001,-0.492,-0.6004
0.2503,-0.4968,-0.6059
0.2003,-0.504,-0.6204
0.1507,-0.5179,-0.6597
0.1003,-0.6034,-0.7235
0.0759,-0.6616,-0.779
0.0259,-0.7093,-0.6442
0.0132,-0.4761,-0.2818
0,1.0626,1.1246
0,1.0626,1.1246
0.0126,0.346,0.3545
0.0255,0.184,0.1896
0.0495,0.032,0.0347
0.0753,-0.044,-0.059
0.1002,-0.0957,-0.123
0.1503,-0.1505,-0.1887
0.1976,-0.2153,-0.2686
0.2503,-0.247,-0.3096
0.3001,-0.2658,-0.3333
0.3507,-0.2737,-0.3447
0.4001,-0.2665,-0.3348
0.4501,-0.2508,-0.3099
0.5001,-0.2104,-0.2541
0.5497,-0.1335,-0.1571
0.6003,-0.0483,-0.0524
0.65,0.0225,0.0372
0.7,0.1182,0.1431
0.7501,0.2066,0.2383
0.8001,0.2847,0.322
0.8501,0.3594,0.3956
