,0.5,0.6,0.65,0.7
0.9501,-0.1049,-0.0943,-0.0892,-0.0849
0.9002,-0.2218,-0.2163,-0.2125,-0.2126
0.8002,-0.3987,-0.4155,-0.4226,-0.4273
0.75,-0.4669,-0.4949,-0.5095,-0.5182
0.7,-0.5165,-0.5536,-0.5741,-0.5881
0.65,-0.5526,-0.5954,-0.6229,-0.6328
0.6002,-0.5727,-0.631,-0.6516,-0.6499
0.5502,-0.5874,-0.6376,-0.6645,-0.6351
0.5002,-0.5955,-0.6473,-0.6784,-0.6074
0.4501,-0.6102,-0.6647,-0.6954,-0.5829
0.4003,-0.6252,-0.6858,-0.7191,-0.632
0.3502,-0.6536,-0.7185,-0.7506,-0.9006
0.3001,-0.6938,-0.7527,-0.7713,-1.4357
0.2503,-0.7274,-0.7904,-0.7874,-1.4452
0.2003,-0.775,-0.8555,-0.7991,-1.4561
0.1507,-0.858,-0.9318,-0.9118,-1.4973
0.1003,-1.0232,-1.0783,-1.7455,-1.5446
0.0759,-1.1652,-1.1818,-1.7922,-1.5555
0.0259,-1.7019,-1.9039,-1.6567,-1.3406
0.0132,-1.692,-1.5051,-1.262,-0.957
0,0.8116,0.9138,0.9783,1.0509
0,0.8116,0.9138,0.9783,1.0509
0.0126,0.8271,0.8209,0.8145,0.792
0.0255,0.6183,0.6185,0.6152,0.5961
0.0495,0.4192,0.424,0.4365,0.4166
0.0753,0.2918,0.2964,0.2953,0.2806
0.1002,0.2079,0.2092,0.2065,0.1939
0.1503,0.112,0.1093,0.1054,0.0941
0.1976,0.0253,0.0192,0.011,-0.0042
0.2503,-0.0334,-0.0416,-0.0507,-0.0719
0.3001,-0.0731,-0.0827,-0.0925,-0.1124
0.3507,-0.1013,-0.1134,-0.1245,-0.147
0.4001,-0.1112,-0.1251,-0.1371,-0.1601
0.4501,-0.1167,-0.1277,-0.1369,-0.1578
0.5001,-0.091,-0.1012,-0.1092,-0.1267
0.5497,-0.0371,-0.0415,-0.0458,-0.0568
0.6003,0.0294,0.0305,0.0303,0.0257
0.65,0.0842,0.0922,0.0961,0.0978
0.7,0.1693,0.1799,0.186,0.1914
0.7501,0.2475,0.2607,0.269,0.2774
0.8001,0.3157,0.3321,0.3427,0.3542
0.8501,0.3814,0.3993,0.4108,0.4242
