,0.5,0.6,0.65,0.7
0.9501,-0.1002,-0.0932,-0.0837,-0.0731
0.9002,-0.2149,-0.2152,-0.2068,-0.2003
0.8002,-0.3791,-0.4007,-0.4071,-0.4181
0.75,-0.4404,-0.4717,-0.487,-0.5097
0.7,-0.4832,-0.5223,-0.5448,-0.5802
0.65,-0.5123,-0.5559,-0.5835,-0.6293
0.6002,-0.5247,-0.5714,-0.6025,-0.6561
0.5502,-0.533,-0.58,-0.6069,-0.6607
0.5002,-0.5339,-0.5816,-0.6128,-0.6675
0.4501,-0.54,-0.589,-0.6208,-0.6795
0.4003,-0.5458,-0.5986,-0.6369,-0.6948
0.3502,-0.5645,-0.6177,-0.6606,-0.7135
0.3001,-0.5905,-0.6435,-0.6754,-0.7323
0.2503,-0.609,-0.6649,-0.697,-0.7322
0.2003,-0.6468,-0.6985,-0.7474,-0.7238
0.1507,-0.687,-0.7537,-0.7973,-1.0395
0.1003,-0.7977,-0.8702,-0.9035,-1.229
0.0759,-0.8862,-0.9724,-1.0212,-1.2436
0.0259,-1.149,-1.2513,-1.2474,-1.0664
0.0132,-1.0316,-0.955,-0.8413,-0.6523
0,1.0099,1.0586,1.0892,1.1135
0,1.0099,1.0586,1.0892,1.1135
0.0126,0.629,0.6317,0.6372,0.6128
0.0255,0.4289,0.4325,0.4403,0.4212
0.0495,0.2486,0.2467,0.2716,0.2509
0.0753,0.1443,0.1404,0.148,0.1305
0.1002,0.0732,0.0682,0.0723,0.0523
0.1503,-0.0008,-0.0111,-0.009,-0.0313
0.1976,-0.076,-0.0933,-0.0956,-0.1219
0.2503,-0.1239,-0.1438,-0.1466,-0.1791
0.3001,-0.1547,-0.1768,-0.1801,-0.2116
0.3507,-0.1742,-0.1989,-0.2036,-0.2382
0.4001,-0.1763,-0.2017,-0.2067,-0.2417
0.4501,-0.1735,-0.1948,-0.196,-0.2287
0.5001,-0.1404,-0.1583,-0.1582,-0.1856
0.5497,-0.0775,-0.089,-0.0851,-0.105
0.6003,-0.0034,-0.0081,-0.0005,-0.0138
0.65,0.0584,0.0613,0.0732,0.0662
0.7,0.149,0.1534,0.1686,0.1651
0.7501,0.2316,0.2412,0.2559,0.2543
0.8001,0.3027,0.3159,0.3326,0.3326
0.8501,0.3697,0.3848,0.4021,0.4021
