,0.5,0.6,0.65,0.7
0.9501,-0.0992,-0.0932,-0.0816,-0.07
0.9002,-0.2128,-0.2147,-0.2063,-0.1983
0.8002,-0.372,-0.3983,-0.4027,-0.4133
0.75,-0.4315,-0.465,-0.4799,-0.5021
0.7,-0.4719,-0.513,-0.535,-0.5693
0.65,-0.4989,-0.5442,-0.5707,-0.614
0.6002,-0.509,-0.5571,-0.5867,-0.6356
0.5502,-0.5148,-0.5631,-0.5884,-0.6372
0.5002,-0.5135,-0.5619,-0.5913,-0.6403
0.4501,-0.5168,-0.5654,-0.5958,-0.649
0.4003,-0.5198,-0.5718,-0.6059,-0.6597
0.3502,-0.5345,-0.586,-0.6207,-0.6749
0.3001,-0.5577,-0.6093,-0.6403,-0.6957
0.2503,-0.5711,-0.6257,-0.6554,-0.7097
0.2003,-0.5984,-0.6525,-0.6881,-0.744
0.1507,-0.632,-0.6948,-0.735,-0.7676
0.1003,-0.7251,-0.79,-0.8207,-0.9961
0.0759,-0.7977,-0.8717,-0.9169,-1.0944
0.0259,-0.9836,-1.0538,-1.043,-0.943
0.0132,-0.8285,-0.7657,-0.6741,-0.535
0,1.0415,1.0818,1.105,1.126
0,1.0415,1.0818,1.105,1.126
0.0126,0.542,0.5487,0.5517,0.5394
0.0255,0.3516,0.3568,0.361,0.3526
0.0495,0.1792,0.1782,0.1983,0.1881
0.0753,0.0658,0.0811,0.0832,0.075
0.1002,0.0224,0.0146,0.0121,0.0017
0.1503,-0.0434,-0.0568,-0.0621,-0.0747
0.1976,-0.1176,-0.1358,-0.1451,-0.1632
0.2503,-0.1602,-0.1818,-0.1911,-0.217
0.3001,-0.1877,-0.2116,-0.2209,-0.2473
0.3507,-0.204,-0.2309,-0.2417,-0.2702
0.4001,-0.203,-0.2301,-0.2415,-0.2696
0.4501,-0.199,-0.22,-0.228,-0.2524
0.5001,-0.1608,-0.1795,-0.1852,-0.2048
0.5497,-0.0952,-0.1067,-0.1082,-0.1204
0.6003,-0.0185,-0.0227,-0.02,-0.0257
0.65,0.0457,0.0491,0.0566,0.0575
0.7,0.1381,0.1455,0.1547,0.1585
0.7501,0.2222,0.233,0.2437,0.2489
0.8001,0.2942,0.3088,0.3213,0.3279
0.8501,0.3616,0.3784,0.3913,0.3971
