,0.5,0.6,0.65,0.7
0.9501,-0.0899,-0.0847,-0.0787,-0.0669
0.9002,-0.1901,-0.1958,-0.1977,-0.192
0.8002,-0.3237,-0.3482,-0.3637,-0.3774
0.75,-0.3693,-0.4011,-0.4234,-0.4471
0.7,-0.3962,-0.433,-0.4603,-0.4923
0.65,-0.4099,-0.4485,-0.478,-0.5142
0.6002,-0.4074,-0.4453,-0.4742,-0.5119
0.5502,-0.4002,-0.4366,-0.4607,-0.4941
0.5002,-0.3852,-0.4203,-0.4467,-0.4771
0.4501,-0.3728,-0.4073,-0.432,-0.462
0.4003,-0.3609,-0.3942,-0.4195,-0.4485
0.3502,-0.3565,-0.3867,-0.4104,-0.4371
0.3001,-0.3545,-0.3852,-0.4064,-0.4266
0.2503,-0.3414,-0.3705,-0.3692,-0.4058
0.2003,-0.3306,-0.3513,-0.371,-0.3859
0.1507,-0.311,-0.3372,-0.3597,-0.3676
0.1003,-0.3139,-0.3302,-0.3407,-0.3403
0.0759,-0.3089,-0.3236,-0.3312,-0.3322
0.0259,-0.1722,-0.154,-0.1411,-0.1066
0.0132,0.1256,0.1583,0.1915,0.2382
0,0.9254,0.9549,0.9707,0.9866
0,0.9254,0.9549,0.9707,0.9866
0.0126,-0.1555,-0.1547,-0.1482,-0.148
0.0255,-0.2031,-0.2174,-0.2205,-0.2268
0.0495,-0.2879,-0.3116,-0.3008,-0.3189
0.0753,-0.2786,-0.3162,-0.334,-0.3428
0.1002,-0.3181,-0.3484,-0.3633,-0.3927
0.1503,-0.3735,-0.3587,-0.3775,-0.4109
0.1976,-0.3683,-0.41,-0.4345,-0.4782
0.2503,-0.3777,-0.4215,-0.4473,-0.5002
0.3001,-0.3811,-0.426,-0.4528,-0.5016
0.3507,-0.3768,-0.4212,-0.448,-0.4951
0.4001,-0.3553,-0.3975,-0.4221,-0.4636
0.4501,-0.3294,-0.3543,-0.3827,-0.4146
0.5001,-0.2734,-0.301,-0.3139,-0.3352
0.5497,-0.1901,-0.2077,-0.2137,-0.2238
0.6003,-0.0971,-0.1052,-0.1052,-0.1071
0.65,-0.0181,-0.0166,-0.0112,-0.0059
0.7,0.094,0.0902,0.0974,0.1052
0.7501,0.1758,0.1844,0.193,0.2012
0.8001,0.2515,0.2628,0.2729,0.2811
0.8501,0.3186,0.3305,0.3408,0.3475
