,0.5,0.6,0.65,0.7
0.9501,-0.0943,-0.0891,-0.0773,-0.07
0.9002,-0.2004,-0.2071,-0.2005,-0.1974
0.8002,-0.3473,-0.3734,-0.3825,-0.3983
0.75,-0.3999,-0.4344,-0.4513,-0.4784
0.7,-0.4337,-0.4743,-0.4975,-0.5348
0.65,-0.454,-0.4975,-0.5244,-0.5672
0.6002,-0.4579,-0.5017,-0.5302,-0.5769
0.5502,-0.4573,-0.5002,-0.524,-0.5688
0.5002,-0.4489,-0.4915,-0.5182,-0.5605
0.4501,-0.4442,-0.4874,-0.5135,-0.5556
0.4003,-0.4398,-0.4825,-0.5112,-0.5542
0.3502,-0.4452,-0.4857,-0.5138,-0.5551
0.3001,-0.4539,-0.4984,-0.5212,-0.5581
0.2503,-0.4538,-0.4956,-0.5185,-0.5541
0.2003,-0.4575,-0.4994,-0.5246,-0.554
0.1507,-0.4664,-0.5101,-0.5391,-0.5692
0.1003,-0.5116,-0.5477,-0.5847,-0.5932
0.0759,-0.542,-0.5787,-0.5949,-0.6247
0.0259,-0.5523,-0.5548,-0.5345,-0.4988
0.0132,-0.3021,-0.2504,-0.2008,-0.1385
0,1.0569,1.0828,1.0958,1.1111
0,1.0569,1.6828,1.0958,1.1111
0.0126,0.2404,0.2457,0.2516,0.2473
0.0255,0.0953,0.0966,0.1011,0.0965
0.0495,-0.0388,-0.0462,-0.0121,-0.0396
0.0753,-0.0936,-0.1073,-0.0949,-0.1231
0.1002,-0.1383,-0.1543,-0.162,-0.1784
0.1503,-0.1797,-0.1981,-0.2083,-0.2285
0.1976,-0.2378,-0.266,-0.2812,-0.3077
0.2503,-0.2692,-0.2905,-0.3133,-0.3477
0.3001,-0.2815,-0.314,-0.3333,-0.3668
0.3507,-0.2887,-0.322,-0.3429,-0.3769
0.4001,-0.2776,-0.3113,-0.3307,-0.3632
0.4501,-0.2623,-0.2904,-0.3048,-0.332
0.5001,-0.2162,-0.2392,-0.2494,-0.2695
0.5497,-0.142,-0.1566,-0.161,-0.1721
0.6003,-0.0574,-0.0637,-0.0628,-0.067
0.65,0.0138,0.016,0.0222,0.0246
0.7,0.1116,0.1179,0.1254,0.1307
0.7501,0.1994,0.2095,0.2177,0.2242
0.8001,0.2733,0.2877,0.2965,0.304
0.8501,0.341,0.3579,0.3656,0.3724
