,0.5,0.7
0.9501,-0.1076,-0.0974
0.9002,-0.2065,-0.2179
0.8002,-0.3358,-0.3959
0.75,-0.3802,-0.464
0.7,-0.4063,-0.5063
0.65,-0.4181,-0.5255
0.6002,-0.4136,-0.5205
0.5502,-0.4053,-0.5003
0.5002,-0.3906,-0.4829
0.4501,-0.3771,-0.4692
0.4003,-0.3664,-0.4562
0.3502,-0.3616,-0.4456
0.3001,-0.3639,-0.4375
0.2503,-0.3544,-0.4215
0.2003,-0.3445,-0.4001
0.1507,-0.3291,-0.3931
0.1003,-0.3431,-0.3717
0.0759,-0.3459,-0.3635
0.0259,-0.1883,-0.1164
0.0132,0.1099,0.2251
0,0.9365,0.99
0,0.9365,0.99
0.0126,-0.1444,0.138
0.0255,-0.2061,-0.2212
0.0495,-0.2856,-0.3292
0.0753,-0.3036,-0.366
0.1002,-0.3238,-0.4009
0.1503,-0.3353,-0.4226
0.1976,-0.3778,-0.4636
0.2503,-0.3875,-0.4986
0.3001,-0.3898,-0.499
0.3507,-0.3843,-0.4919
0.4001,-0.363,-0.4616
0.4501,-0.3318,-0.4146
0.5001,-0.2746,-0.3325
0.5497,-0.1893,-0.2179
0.6003,-0.0952,-0.1014
0.65,-0.0149,0.0002
0.7,0.0891,0.1136
0.7501,0.1841,0.2144
0.8001,0.2671,0.3004
0.8501,0.3449,0.3731
