,0.5,0.6,0.65,0.7
0.9501,-0.0896,-0.0855,-0.0802,-0.0681
0.9002,-0.1925,-0.1985,-0.2003,-0.1945
0.8002,-0.3306,-0.356,-0.3713,-0.3854
0.75,-0.3785,-0.4116,-0.4334,-0.4591
0.7,-0.4078,-0.4462,-0.4729,-0.5085
0.65,-0.4236,-0.4643,-0.493,-0.534
0.6002,-0.423,-0.463,-0.4933,-0.5356
0.5502,-0.4179,-0.4574,-0.4817,-0.5209
0.5002,-0.405,-0.4436,-0.4699,-0.5067
0.4501,-0.3952,-0.4337,-0.4589,-0.4952
0.4003,-0.3853,-0.4234,-0.4507,-0.4857
0.3502,-0.3834,-0.4146,-0.4462,-0.4786
0.3001,-0.3858,-0.4208,-0.444,-0.4708
0.2503,-0.3768,-0.4107,-0.4315,-0.4557
0.2003,-0.3726,-0.4042,-0.4262,-0.4432
0.1507,-0.3602,-0.392,-0.4173,-0.433
0.1003,-0.3759,-0.4001,-0.4124,-0.4222
0.0759,-0.3815,-0.4049,-0.4156,-0.4211
0.0259,-0.289,-0.2803,-0.2639,-0.2282
0.0132,0.0002,0.036,0.0712,0.1211
0,0.9907,1.0175,1.0275,1.0402
0,0.9907,1.0175,1.0275,1.0402
0.0126,-0.0148,0.0054,-0.0059,-0.0051
0.0255,-0.1042,-0.1057,-0.1102,-0.1119
0.0495,-0.1995,-0.2137,-0.2066,-0.2199
0.0753,-0.2093,-0.2412,-0.2581,-0.2622
0.1002,-0.2538,-0.2704,-0.2945,-0.3179
0.1503,-0.271,-0.2988,-0.3189,-0.3464
0.1976,-0.3218,-0.3558,-0.3824,-0.4193
0.2503,-0.3374,-0.374,-0.4021,-0.4486
0.3001,-0.3452,-0.3932,-0.412,-0.4558
0.3507,-0.3447,-0.383,-0.4127,-0.4554
0.4001,-0.3267,-0.3637,-0.3915,-0.4302
0.4501,-0.3044,-0.3349,-0.3507,-0.3875
0.5001,-0.2515,-0.2758,-0.2917,-0.3139
0.5497,-0.1713,-0.1864,-0.1953,-0.207
0.6003,-0.0811,-0.0875,-0.091,-0.0941
0.65,-0.0046,-0.002,-0.0003,0.0037
0.7,0.0965,0.1031,0.1,0.1135
0.7501,0.1865,0.1961,0.2011,0.2088
0.8001,0.2617,0.2742,0.2809,0.2867
0.8501,0.3289,0.3422,0.3497,0.3594
