,0.5,0.6,0.65,0.7
0.9501,-0.0847,-0.0792,-0.0749,-0.0647
0.9002,-0.1793,-0.1863,-0.1876,-0.1876
0.8002,-0.304,-0.3287,-0.3413,-0.3611
0.75,-0.3452,-0.3763,-0.3948,-0.4248
0.7,-0.3676,-0.403,-0.4254,-0.4618
0.65,-0.3772,-0.4135,-0.4371,-0.4769
0.6002,-0.371,-0.4055,-0.4242,-0.4677
0.5502,-0.3601,-0.3925,-0.4105,-0.4443
0.5002,-0.3408,-0.3719,-0.3914,-0.4222
0.4501,-0.3237,-0.3536,-0.3711,-0.4004
0.4003,-0.3078,-0.3354,-0.3541,-0.3811
0.3502,-0.298,-0.3214,-0.3397,-0.362
0.3001,-0.2883,-0.3124,-0.3236,-0.3442
0.2503,-0.2677,-0.2893,-0.2977,-0.3145
0.2003,-0.2433,-0.2625,-0.2725,-0.2813
0.1507,-0.2118,-0.2286,-0.2403,-0.2484
0.1003,-0.1921,-0.1978,-0.1976,-0.1987
0.0759,-0.1684,-0.172,-0.1683,-0.1669
0.0259,0.0428,0.0651,0.0861,0.1085
0.0132,0.3562,0.3911,0.4179,0.4454
0,0.7497,0.7867,0.8052,0.8821
0,0.7497,0.7267,0.8052,0.8321
0.0126,-0.4594,-0.4708,-0.4774,-0.4747
0.0255,-0.4156,-0.4395,-0.4557,-0.4681
0.0495,-0.4581,-0.4863,-0.5076,-0.5407
0.0753,-0.4168,-0.4567,-0.4963,-0.5239
0.1002,-0.4412,-0.4815,-0.5111,-0.558
0.1503,-0.4212,-0.4648,-0.4955,-0.545
0.1976,-0.4331,-0.5024,-0.5395,-0.6038
0.2503,-0.4447,-0.4948,-0.5363,-0.6117
0.3001,-0.4446,-0.4941,-0.5301,-0.5969
0.3507,-0.4326,-0.4802,-0.5146,-0.5778
0.4001,-0.4037,-0.4482,-0.4784,-0.5315
0.4501,-0.3711,-0.4068,-0.4292,-0.4685
0.5001,-0.308,-0.3358,-0.35,-0.3768
0.5497,-0.219,-0.2357,-0.242,-0.2557
0.6003,-0.1209,-0.1275,-0.1278,-0.1325
0.65,-0.0371,-0.0338,-0.0279,-0.0259
0.7,0.0686,0.0756,0.0837,0.0871
0.7501,0.1616,0.1712,0.1804,0.1831
0.8001,0.2379,0.2495,0.2603,0.2616
0.8501,0.3043,0.3158,0.3247,0.3261
