,0.5,0.6,0.65,0.7
0.9501,-0.0962,-0.087,-0.0824,-0.0668
0.9002,-0.2054,-0.2058,-0.2057,-0.1944
0.8002,-0.3567,-0.3771,-0.3923,-0.401
0.75,-0.4112,-0.4401,-0.4639,-0.4845
0.7,-0.4473,-0.4826,-0.513,-0.545
0.65,-0.4697,-0.5063,-0.5427,-0.5827
0.6002,-0.4755,-0.5153,-0.5527,-0.5963
0.5502,-0.4769,-0.5162,-0.5482,-0.5911
0.5002,-0.4709,-0.5099,-0.5452,-0.5867
0.4501,-0.4688,-0.5088,-0.5439,-0.5863
0.4003,-0.4662,-0.5074,-0.5454,-0.5894
0.3502,-0.4735,-0.5144,-0.5525,-0.594
0.3001,-0.4893,-0.5284,-0.5631,-0.603
0.2503,-0.4933,-0.5327,-0.5659,-0.6052
0.2003,-0.5025,-0.5428,-0.575,-0.6105
0.1507,-0.5207,-0.5635,-0.6046,-0.6413
0.1003,-0.5801,-0.6191,-0.6499,-0.6865
0.0759,-0.6233,-0.665,-0.6991,-0.7423
0.0259,-0.6829,-0.7004,-0.6936,-0.641
0.0132,-0.4572,-0.4054,-0.3559,-0.2673
0,1.0598,1.0942,1.1083,1.1287
0,1.0598,1.0942,1.1083,1.1287
0.0126,0.3428,0.3557,0.36,0.3592
0.0255,0.1791,0.1904,0.1924,0.1923
0.0495,0.0306,0.0334,0.0519,0.0436
0.0753,-0.0385,-0.0404,-0.04,-0.0516
0.1002,-0.0883,-0.0938,-0.1019,-0.1136
0.1503,-0.1355,-0.146,-0.1591,-0.1732
0.1976,-0.2029,-0.2173,-0.2344,-0.2562
0.2503,-0.2355,-0.2551,-0.2712,-0.3021
0.3001,-0.2554,-0.2771,-0.2949,-0.3249
0.3507,-0.2658,-0.2888,-0.3087,-0.3397
0.4001,-0.2578,-0.2811,-0.3007,-0.3304
0.4501,-0.2454,-0.2637,-0.2792,-0.3041
0.5001,-0.2024,-0.21,-0.2201,-0.2468
0.5497,-0.1309,-0.1368,-0.1438,-0.1535
0.6003,-0.0488,-0.0469,-0.0492,-0.0516
0.65,0.0201,0.0302,0.0328,0.0376
0.7,0.1161,0.1303,0.1346,0.1422
0.7501,0.2026,0.2206,0.2261,0.2347
0.8001,0.2756,0.2981,0.3048,0.3143
0.8501,0.3428,0.368,0.3745,0.3831
