,0.5,0.6,0.65,0.7
0.9501,-0.0818,-0.0764,-0.0699,-0.0594
0.9002,-0.1734,-0.1801,-0.1794,-0.1777
0.8002,-0.2895,-0.3121,-0.323,-0.3388
0.75,-0.3262,-0.3545,-0.3712,-0.3948
0.7,-0.3442,-0.3761,-0.3964,-0.4241
0.65,-0.3497,-0.3818,-0.4032,-0.4317
0.6002,-0.339,-0.3691,-0.3901,-0.4175
0.5502,-0.3239,-0.3514,-0.3672,-0.3893
0.5002,-0.3006,-0.3265,-0.3437,-0.362
0.4501,-0.2788,-0.3031,-0.3183,-0.3356
0.4003,-0.258,-0.2799,-0.2966,-0.3108
0.3502,-0.2413,-0.2583,-0.279,-0.2855
0.3001,-0.2278,-0.2461,-0.2551,-0.262
0.2503,-0.1995,-0.2155,-0.2224,-0.2253
0.2003,-0.1623,-0.1764,-0.1823,-0.1842
0.1507,-0.1194,-0.1313,-0.1428,-0.1369
0.1003,-0.0793,-0.08,-0.0813,-0.0687
0.0759,-0.0396,-0.0374,-0.0376,-0.0215
0.0259,0.2367,0.2584,0.2658,0.2944
0.0132,0.5496,0.5816,0.5885,0.617
0,0.4877,0.5567,0.6114,0.6519
0,0.4877,0.5567,0.6114,0.6519
0.0126,-0.8227,-0.8592,-0.8428,-0.8623
0.0255,-0.6715,-0.7175,-0.722,-0.7527
0.0495,-0.6334,-0.6955,-0.7261,-0.8046
0.0753,-0.5781,-0.6355,-0.6582,-0.7356
0.1002,-0.5781,-0.637,-0.6663,-0.7466
0.1503,-0.5307,-0.5895,-0.6103,-0.6874
0.1976,-0.5486,-0.6131,-0.6493,-0.7417
0.2503,-0.5317,-0.5952,-0.6305,-0.7308
0.3001,-0.5169,-0.5775,-0.611,-0.6938
0.3507,-0.4962,-0.5553,-0.5867,-0.6558
0.4001,-0.4596,-0.5125,-0.5386,-0.5937
0.4501,-0.4193,-0.4619,-0.4791,-0.5169
0.5001,-0.3493,-0.3821,-0.3911,-0.4133
0.5497,-0.2537,-0.2742,-0.275,-0.2841
0.6003,-0.1497,-0.1594,-0.154,-0.1547
0.65,-0.0606,-0.0601,-0.0486,-0.0433
0.7,0.0482,0.0522,0.0647,0.0714
0.7501,0.1432,0.1489,0.1615,0.1672
0.8001,0.2201,0.2266,0.2396,0.2443
0.8501,0.2857,0.2913,0.3036,0.307
