,0.5,0.6,0.65,0.7
0.9501,-0.1008,-0.0883,-0.0867,-0.0758
0.9002,-0.2182,-0.2116,-0.2092,-0.2062
0.8002,-0.391,-0.4079,-0.4164,-0.426
0.75,-0.457,-0.485,-0.501,-0.5199
0.7,-0.5044,-0.5417,-0.5646,-0.5942
0.65,-0.5382,-0.5807,-0.6089,-0.6459
0.6002,-0.5558,-0.6031,-0.6346,-0.6737
0.5502,-0.5684,-0.6176,-0.645,-0.6769
0.5002,-0.5743,-0.6247,-0.6565,-0.6751
0.4501,-0.5863,-0.6385,-0.6712,-0.6643
0.4003,-0.5981,-0.6556,-0.6936,-0.6371
0.3502,-0.6243,-0.693,-0.7241,-0.6183
0.3001,-0.6584,-0.7162,-0.7484,-0.7963
0.2503,-0.6872,-0.7491,-0.7769,-1.302
0.2003,-0.7352,-0.8017,-0.8376,-1.3608
0.1507,-0.8003,-0.8785,-0.8566,-1.4084
0.1003,-0.9487,-1.0368,-1.387,-1.447
0.0759,-1.0716,-1.1751,-1.645,-1.4543
0.0259,-1.5118,-1.7243,-1.551,-1.2612
0.0132,-1.4663,-1.3262,-1.1331,-0.8594
0,0.8907,0.9813,1.0199,1.0809
0,0.8907,0.9813,1.0199,1.0809
0.0126,0.771,0.7775,0.7616,0.743
0.0255,0.5638,0.5732,0.5618,0.5467
0.0495,0.3699,0.3796,0.3634,0.369
0.0753,0.2491,0.2573,0.2469,0.2371
0.1002,0.1689,0.1734,0.1622,0.1537
0.1503,0.0801,0.0788,0.0672,0.0584
0.1976,-0.0036,-0.0066,-0.0253,-0.0383
0.2503,-0.059,-0.0657,-0.0841,-0.1019
0.3001,-0.0961,-0.1051,-0.1232,-0.1428
0.3507,-0.1214,-0.1334,-0.1522,-0.1745
0.4001,-0.1289,-0.1426,-0.1619,-0.1845
0.4501,-0.132,-0.1423,-0.1587,-0.1787
0.5001,-0.1046,-0.1125,-0.1276,-0.1442
0.5497,-0.0476,-0.0493,-0.0611,-0.0706
0.6003,0.0211,0.0259,0.0177,0.015
0.65,0.0781,0.0906,0.086,0.0895
0.7,0.1649,0.1807,0.1777,0.1851
0.7501,0.244,0.2634,0.2622,0.2723
0.8001,0.3131,0.3314,0.3369,0.3501
0.8501,0.37,0.4045,0.4055,0.4204
