,0.5,0.6,0.65,0.7
0.9501,-0.1011,-0.0916,-0.0858,-0.073
0.9002,-0.2177,-0.2165,-0.2096,-0.2017
0.8002,-0.3862,-0.4069,-0.4147,-0.4227
0.75,-0.4499,-0.4804,-0.4976,-0.5165
0.7,-0.4949,-0.534,-0.5591,-0.5902
0.65,-0.5264,-0.5698,-0.6009,-0.6416
0.6002,-0.5413,-0.5884,-0.6237,-0.6712
0.5502,-0.5515,-0.5893,-0.6312,-0.678
0.5002,-0.555,-0.603,-0.6399,-0.6859
0.4501,-0.5541,-0.6143,-0.6519,-0.6978
0.4003,-0.5725,-0.6264,-0.6701,-0.706
0.3502,-0.5933,-0.6481,-0.6932,-0.7047
0.3001,-0.6269,-0.6818,-0.7222,-0.6823
0.2503,-0.6502,-0.7082,-0.7483,-0.6835
0.2003,-0.6823,-0.7587,-0.8017,-1.1875
0.1507,-0.7443,-0.8173,-0.8573,-1.2993
0.1003,-0.873,-0.9545,-0.9381,-1.3527
0.0759,-0.9773,-1.0776,-1.4121,-1.3569
0.0259,-1.3221,-1.4841,-1.4004,-1.1741
0.0132,-1.2266,-1.1501,-0.982,-0.7636
0,0.9608,1.0238,1.0564,1.0986
0,0.9608,1.0238,1.0564,1.0986
0.0126,0.6967,0.7056,0.7,0.6031
0.0255,0.4914,0.5026,0.5001,0.4876
0.0495,0.3014,0.3107,0.3242,0.3124
0.0753,0.1893,0.1958,0.1944,0.1852
0.1002,0.1132,0.1192,0.1132,0.1045
0.1503,0.032,0.0314,0.0245,0.0145
0.1976,-0.0478,-0.0541,-0.0661,-0.0795
0.2503,-0.0994,-0.1095,-0.1219,-0.1404
0.3001,-0.1333,-0.1456,-0.1584,-0.1769
0.3507,-0.1558,-0.1705,-0.1845,-0.2064
0.4001,-0.1605,-0.1767,-0.1911,-0.2132
0.4501,-0.1605,-0.1731,-0.1843,-0.2042
0.5001,-0.13,-0.1402,-0.1497,-0.1657
0.5497,-0.0697,-0.0738,-0.0796,-0.0888
0.6003,0.002,0.0044,0.0024,-0.0005
0.65,0.0616,0.0714,0.074,0.0767
0.7,0.1506,0.1636,0.1677,0.1739
0.7501,0.2319,0.2481,0.2536,0.2624
0.8001,0.3022,0.3222,0.3294,0.3406
0.8501,0.3688,0.3909,0.3985,0.411
