x/c,y/c
1,0
0.994214876,0.002486188
0.988429752,0.004143646
0.983471074,0.005801105
0.979338843,0.006629834
0.974380165,0.006629834
0.968595041,0.007458564
0.963636364,0.009116022
0.957024793,0.009944751
0.950413223,0.012430939
0.941322314,0.014088398
0.932231405,0.016574586
0.923140496,0.019060773
0.914876033,0.020718232
0.904958678,0.02320442
0.894214876,0.024033149
0.882644628,0.027348066
0.871900826,0.030662983
0.861157025,0.033149171
0.847933884,0.035635359
0.834710744,0.038121547
0.82231405,0.041436464
0.809090909,0.043922652
0.795041322,0.047237569
0.780165289,0.050552486
0.766115702,0.052209945
0.751239669,0.055524862
0.736363636,0.059668508
0.719834711,0.062154696
0.704132231,0.066298343
0.688429752,0.06961326
0.672727273,0.072928177
0.655371901,0.077071823
0.638842975,0.08038674
0.621487603,0.083701657
0.604958678,0.087016575
0.587603306,0.091160221
0.570247934,0.093646409
0.552066116,0.097790055
0.534710744,0.101104972
0.518181818,0.105248619
0.500826446,0.107734807
0.482644628,0.111049724
0.46446281,0.11519337
0.447933884,0.118508287
0.430578512,0.120994475
0.41322314,0.122651934
0.395867769,0.125138122
0.37768595,0.127624309
0.361157025,0.129281768
0.343801653,0.130939227
0.327272727,0.131767956
0.310743802,0.131767956
0.295041322,0.131767956
0.278512397,0.130939227
0.262809917,0.130110497
0.247933884,0.129281768
0.232231405,0.127624309
0.218181818,0.125138122
0.203305785,0.121823204
0.189256198,0.118508287
0.175206612,0.11519337
0.161983471,0.111049724
0.149586777,0.106077348
0.137190083,0.101933702
0.124793388,0.097790055
0.114049587,0.09281768
0.102479339,0.087845304
0.092561983,0.082872928
0.081818182,0.077071823
0.072727273,0.071270718
0.06446281,0.066298343
0.055371901,0.060497238
0.047107438,0.055524862
0.040495868,0.051381215
0.033057851,0.044751381
0.028099174,0.039779006
0.02231405,0.03480663
0.016528926,0.029834254
0.012396694,0.024861878
0.008264463,0.019889503
0.004958678,0.014917127
0.002479339,0.009116022
0.000826446,0.003314917
0,0
0.001652893,-0.004972376
0.004132231,-0.009116022
0.008264463,-0.013259669
0.012396694,-0.018232044
0.017355372,-0.022375691
0.023140496,-0.026519337
0.028099174,-0.029005525
0.033057851,-0.031491713
0.038016529,-0.03480663
0.042975207,-0.037292818
0.047933884,-0.041436464
0.055371901,-0.044751381
0.062809917,-0.048895028
0.07107438,-0.053867403
0.080991736,-0.059668508
0.090082645,-0.062983425
0.1,-0.06878453
0.111570248,-0.072928177
0.121487603,-0.077071823
0.133057851,-0.08121547
0.145454545,-0.086187845
0.157024793,-0.090331492
0.170247934,-0.093646409
0.183471074,-0.096132597
0.196694215,-0.097790055
0.209917355,-0.100276243
0.223966942,-0.101933702
0.238016529,-0.10359116
0.253719008,-0.10441989
0.269421488,-0.105248619
0.284297521,-0.105248619
0.3,-0.105248619
0.315702479,-0.10441989
0.331404959,-0.105248619
0.347933884,-0.10359116
0.36446281,-0.102762431
0.380991736,-0.101104972
0.397520661,-0.099447514
0.414049587,-0.096961326
0.431404959,-0.094475138
0.447933884,-0.09198895
0.466115702,-0.088674033
0.482644628,-0.085359116
0.5,-0.08121547
0.517355372,-0.077071823
0.534710744,-0.072099448
0.552066116,-0.067127072
0.569421488,-0.062154696
0.58677686,-0.05718232
0.603305785,-0.052209945
0.619834711,-0.047237569
0.636363636,-0.040607735
0.652892562,-0.036464088
0.670247934,-0.031491713
0.685123967,-0.026519337
0.702479339,-0.020718232
0.718181818,-0.016574586
0.733057851,-0.012430939
0.748760331,-0.008287293
0.762809917,-0.005801105
0.778512397,-0.003314917
0.792561983,0
0.80661157,0.001657459
0.819834711,0.004143646
0.832231405,0.004972376
0.846280992,0.006629834
0.858677686,0.006629834
0.870247934,0.007458564
0.881818182,0.008287293
0.89338843,0.009116022
0.903305785,0.009116022
0.912396694,0.008287293
0.923140496,0.008287293
0.932231405,0.007458564
0.940495868,0.006629834
0.947933884,0.005801105
0.954545455,0.004972376
0.961157025,0.004143646
0.967768595,0.002486188
0.974380165,0.000828729
0.980165289,0.000828729
0.985950413,0
0.990909091,-0.001657459
0.995867769,-0.002486188
