,0.6,,
1,0.191055427,,
0.986,0.187704148,,
0.946,0.157542636,,
0.905,0.116489467,,
0.825,0.001604278,,
0.761,-0.180213904,,
0.727,-0.201044226,,
0.617,-0.29823132,,
0.5,-0.559631088,, 
0.383,-0.750653996,,
0.273,-0.599846437,,
0.175,-0.551871658,,
0.096,-0.536172135,,
0.038,-0.551252891,,
0.0188,-0.418181818,,
0.0062,-0.220320856,,
0.0016,,,
0,,,
0.0016,,,
0.0062,,,
0.0188,0.294945079,,
0.038,0.135294118,,
0.096,-0.098830214,,
0.175,-0.160828877,,
0.273,-0.247962133,,
0.383,-0.264718529,,
0.5,-0.297860963,,
0.617,-0.1731169,,
0.727,0.065382461,,
0.761,0.145813159,,
0.825,0.143578973,,
0.905,0.204460543,,
0.946,0.244675892,,
0.986,0.199768753,,
