,0.6,0.7,0.76,0.79,0.8
1,-0.0414,-0.0386,-0.0395,-0.0291,-0.0673
0.98,-0.1025,-0.081,-0.0698,-0.0546,-0.0717
0.97,-0.149,-0.1119,-0.1039,-0.0855,-0.0843
0.95,-0.223,-0.1996,-0.164,-0.1298,-0.1192
0.93,-0.3391,-0.3162,-0.2772,-0.2265,-0.1814
0.9,-0.4497,-0.4478,-0.4337,-0.3585,-0.2626
0.85,-0.5042,-0.5544,-0.5873,-0.7682,-0.404
0.8,-0.519,-0.5912,-0.7393,-0.6748,-0.933
0.75,-0.512,-0.5918,-0.71,-0.5688,-0.8902
0.7,-0.4969,-0.5632,-0.6533,-0.4982,-0.8395
0.65,-0.4781,-0.5373,-0.6039,-0.6179,-0.8073
0.6,-0.4615,-0.5158,-0.5569,-0.7614,-0.7887
0.55,-0.4556,-0.5046,-0.5282,-0.7898,-0.7778
0.5,-0.4548,-0.497,-0.496,-0.7906,-0.7833
0.45,-0.453,-0.4955,-0.4646,-0.8062,-0.783
0.4,-0.4571,-0.5099,-0.4363,-0.8226,-0.8031
0.35,-0.4755,-0.517,-0.3952,-0.8269,-0.7964
0.3,-0.516,-0.5611,-0.8834,-0.8593,-0.8357
0.25,-0.5341,-0.5859,-0.9546,-0.887,-0.8642
0.2,-0.5816,-0.6274,-0.9723,-0.8936,-0.8481
0.15,-0.6483,-0.6774,-0.9921,-0.8964,-0.8345
0.1,-0.7242,-0.8338,-1.0383,-0.9127,-0.8637
0.07,-0.8742,-1.1205,-1.0253,-0.9175,-0.8694
0.05,-0.9981,-1.16,-0.9638,-0.852,-0.7758
0.03,-1.2324,-1.2371,-0.9989,-0.8389,-0.8073
0.02,-1.4012,-1.2942,-0.9955,-0.8352,-0.783
0.002,-0.0428,0.2141,0.3584,0.4744,0.5003
0,1.0498,1.1132,1.1516,1.1727,1.1789
0.004,0.672,0.6574,0.5964,0.5835,0.5638
0.01,0.4172,0.3913,0.3706,0.3201,0.3113
0.02,0.1752,0.1638,0.1088,0.089,0.0554
0.03,0.0866,0.0221,-0.0172,-0.0398,-0.0586
0.05,-0.0013,-0.0622,-0.0875,-0.111,-0.1211
0.07,-0.0575,-0.1064,-0.1486,-0.151,-0.1957
0.1,-0.0936,-0.1454,-0.1829,-0.2024,-0.2214
0.15,-0.1215,-0.1475,-0.1872,-0.2197,-0.2384
0.2,-0.0942,-0.1255,-0.1613,-0.1959,-0.2197
0.25,-0.0822,-0.1154,-0.1506,-0.1793,-0.1909
0.3,-0.0804,-0.109,-0.1399,-0.1355,-0.157
0.35,-0.0744,-0.1035,-0.1284,-0.1375,-0.1633
0.4,-0.0842,-0.1062,-0.1296,-0.1467,-0.1631
0.45,-0.0804,-0.1142,-0.1414,-0.1381,-0.1556
0.5,-0.11,-0.1317,-0.156,-0.1363,-0.168
0.55,-0.1304,-0.1512,-0.1769,-0.1855,-0.1853
0.6,-0.1129,-0.1252,-0.1428,-0.1512,-0.1604
0.65,0.0209,0.0231,0.0323,0.0421,0.0382
0.7,0.2492,0.2612,0.2641,0.2738,0.274
0.75,0.3423,0.357,0.36,0.3715,0.3664
0.8,0.4067,0.422,0.4319,0.4402,0.4347
0.85,0.4514,0.4718,0.4853,0.4976,0.4904
0.9,0.4796,0.4984,0.5153,0.5223,0.5194
0.93,0.477,0.4968,0.5124,0.5349,0.5265
0.95,0.4562,0.4775,0.4986,0.5079,0.5108
0.97,0.4158,0.4331,0.4539,0.4732,0.4682
0.98,0.3847,0.4081,0.4146,0.4269,0.4332
