,0.76,0.79,0.8
1,-0.0416,-0.0784,-0.0762
0.98,-0.0702,-0.0835,-0.108
0.93,-0.2649,-0.2068,-0.2071
0.9,-0.4205,-0.3321,-0.3313
0.85,-0.5819,-0.9064,-0.8999
0.8,-0.7327,-0.7949,-0.7767
0.75,-0.6921,-0.7076,-0.6719
0.7,-0.6421,-0.6341,-0.5735
0.65,-0.5866,-0.5619,-0.4822
0.6,-0.5425,-0.5057,-0.429
0.55,-0.5193,-0.4642,-0.3774
0.5,-0.5092,-0.4375,-0.658
0.45,-0.4937,-0.3683,-0.6768
0.4,-0.5024,-0.6608,-0.7068
0.35,-0.5024,-0.7295,-0.7135
0.3,-0.5153,-0.7992,-0.7826
0.25,-0.4263,-0.7934,-0.7653
0.2,-0.7848,-0.7934,-0.7742
0.15,-0.8611,-0.8173,-0.7772
0.1,-0.8987,-0.8125,-0.7799
0.07,-0.9193,-0.8335,-0.7631
0.05,-0.8627,-0.7561,-0.7088
0.03,-0.8693,-0.7559,-0.7043
0.02,-0.84,-0.6972,-0.6453
0.002,0.4621,0.542,0.5692
0,1.1564,1.176,1.1728
0.004,0.5077,0.5027,0.4683
0.01,0.2389,0.2303,0.2176
0.02,-0.0103,-0.0292,-0.0546
0.03,-0.129,-0.1517,-0.1737
0.05,-0.1858,-0.2056,-0.2288
0.07,-0.243,-0.2731,-0.307
0.1,-0.2702,-0.2886,-0.3273
0.15,-0.2759,-0.3121,-0.3342
0.2,-0.2341,-0.2523,-0.2844
0.25,-0.2006,-0.2242,-0.2516
0.3,-0.1605,-0.1876,-0.2156
0.35,-0.1627,-0.1833,-0.2027
0.4,-0.1703,-0.1894,-0.2079
0.45,-0.171,-0.1835,-0.2008
0.5,-0.1782,-0.2013,-0.2278
0.55,-0.2029,-0.2284,-0.2442
0.6,-0.1668,-0.1797,-0.1965
0.65,0.0169,0.0208,0.0108
0.7,0.2546,0.2655,0.2573
0.75,0.3477,0.3538,0.3471
0.8,0.4145,0.4222,0.4133
0.85,0.4659,0.4813,0.465
0.9,0.4961,0.5136,0.5022
0.93,0.5083,0.5117,0.5053
0.95,0.4912,0.4963,0.4909
0.97,0.4504,0.4563,0.4463
0.98,0.4094,0.4127,0.4122
