1,0
0.98945,0.001314
0.9781,0.00273
0.96675,0.004149
0.9554,0.005573
0.94205,0.007258
0.9263,0.009265
0.9078,0.011642
0.8872,0.014355
0.86435,0.017419
0.83895,0.02092
0.81355,0.024526
0.7905,0.027816
0.7695,0.030772
0.7504,0.033385
0.73305,0.035672
0.7173,0.037664
0.70295,0.039401
0.68995,0.040906
0.6781,0.042221
0.6673,0.04337
0.65755,0.044366
0.64775,0.045329
0.63685,0.046353
0.625,0.04741
0.61135,0.048555
0.5964,0.049722
0.57985,0.050905
0.5614,0.052091
0.54095,0.053243
0.5182,0.054328
0.4929,0.055295
0.46765,0.056016
0.4424,0.056509
0.4171,0.05678
0.39185,0.056833
0.36655,0.056676
0.3413,0.056308
0.316,0.055728
0.29075,0.054934
0.26545,0.053916
0.24,0.052654
0.2172,0.051306
0.19635,0.049878
0.17735,0.048399
0.1601,0.04689
0.1444,0.045361
0.13015,0.043834
0.1172,0.042312
0.1054,0.040803
0.0947,0.039313
0.08495,0.037847
0.0761,0.036412
0.06805,0.034991
0.0607,0.033593
0.05405,0.032229
0.048,0.030889
0.0425,0.029574
0.0375,0.02828
0.0325,0.02686
0.0275,0.025271
0.0225,0.023441
0.0175,0.021271
0.0125,0.018602
0.0075,0.01511
0.0025,0.009472
0,0
0,0
0.0025,-0.003676
0.0075,-0.00575
0.0125,-0.007
0.0175,-0.00804
0.0225,-0.00888
0.0275,-0.00959
0.0325,-0.010215
0.0375,-0.010776
0.0425,-0.01129
0.048,-0.011819
0.05405,-0.01238
0.0607,-0.012992
0.06805,-0.013666
0.0761,-0.014401
0.08495,-0.015203
0.0947,-0.016077
0.1054,-0.017024
0.1172,-0.018051
0.13015,-0.019151
0.1444,-0.020327
0.1601,-0.021576
0.17735,-0.022886
0.19635,-0.024248
0.2172,-0.025636
0.24,-0.027015
0.26545,-0.02837
0.29075,-0.029509
0.316,-0.030421
0.3413,-0.031096
0.36655,-0.031516
0.39185,-0.031669
0.4171,-0.031541
0.4424,-0.031119
0.46765,-0.030393
0.4929,-0.029353
0.5182,-0.027998
0.54095,-0.02655
0.5614,-0.025107
0.57985,-0.023725
0.5964,-0.022444
0.61135,-0.021269
0.625,-0.020188
0.63685,-0.019247
0.64775,-0.018381
0.65755,-0.017604
0.6673,-0.016835
0.6781,-0.015989
0.68995,-0.015073
0.70295,-0.014089
0.7173,-0.013033
0.73305,-0.011914
0.7504,-0.010734
0.7695,-0.009503
0.7905,-0.008234
0.81355,-0.006941
0.83895,-0.005632
0.86435,-0.00444
0.8872,-0.003471
0.9078,-0.002689
0.9263,-0.00206
0.94205,-0.001572
0.9554,-0.001186
0.96675,-0.000873
0.9781,-0.000569
0.98945,-0.000273
1,0
