,4.20E+05
0.009888752,-2.198804185
0.018541409,-2.13303438
0.025957973,-2.121076233
0.037082818,-2.11509716
0.042027194,-2.11509716
0.059332509,-1.080717489
0.088998764,-1.056801196
0.187886279,-0.955156951
0.217552534,-0.919282511
0.248454883,-0.907324365
0.279357231,-0.871449925
0.306551298,-0.853512706
0.337453646,-0.835575486
0.367119901,-0.823617339
0.410383189,-0.7877429
0.443757726,-0.775784753
0.478368356,-0.757847534
0.521631644,-0.704035874
0.599505562,-0.620328849
0.669962917,-0.560538117
0.728059333,-0.488789238
0.762669963,-0.440956652
0.800988875,-0.387144993
0.838071693,-0.30941704
0.873918418,-0.261584454
0.911001236,-0.201793722
0.948084054,-0.165919283
