,0.320,0.420,0.520,0.540,0.570,0.600,0.630
0.013,1.010,1.020,1.050,1.050,1.070,1.070,1.080
0.026,0.940,0.970,1.000,0.990,1.010,1.020,1.020
0.050,0.840,0.850,0.870,0.870,0.890,0.900,0.900
0.075,0.780,0.790,0.810,0.800,0.830,0.840,0.830
0.101,0.700,0.720,0.740,0.740,0.760,0.770,0.760
0.151,0.610,0.630,0.640,0.640,0.670,0.670,0.670
0.200,0.540,0.550,0.570,0.570,0.590,0.600,0.600
0.252,0.480,0.490,0.500,0.500,0.520,0.530,0.530
0.302,0.420,0.440,0.450,0.450,0.470,0.480,0.470
0.352,0.360,0.380,0.390,0.390,0.410,0.420,0.420
0.400,0.330,0.340,0.350,0.350,0.360,0.370,0.370
0.451,0.290,0.310,0.310,0.310,0.330,0.350,0.340
0.501,0.250,0.270,0.270,0.270,0.290,0.310,0.310
0.551,0.200,0.230,0.240,0.250,0.260,0.270,0.270
0.601,0.180,0.200,0.210,0.220,0.240,0.240,0.240
0.652,0.150,0.170,0.190,0.190,0.200,0.210,0.220
0.702,0.130,0.140,0.160,0.160,0.180,0.190,0.190
0.752,0.100,0.120,0.140,0.140,0.150,0.160,0.170
0.801,0.080,0.090,0.110,0.110,0.120,0.130,0.140
0.851,0.000,0.010,0.030,0.030,0.040,0.050,0.060
0.902,-0.090,-0.090,-0.080,-0.080,-0.080,-0.070,-0.060
0.951,-0.310,-0.350,-0.350,-0.370,-0.370,-0.350,-0.340
