,0.310,0.400,0.510,0.550,0.610,0.630,0.660,0.680,0.710,0.740,0.750,0.790,0.820,0.850,0.870,0.900
0.013,0.360,0.340,0.350,0.340,0.350,0.350,0.350,0.340,0.340,0.340,0.300,0.250,0.140,-0.020,-0.210,-0.420
0.026,0.310,0.310,0.330,0.320,0.340,0.340,0.340,0.340,0.340,0.340,0.320,0.280,0.200,0.090,-0.070,-0.360
0.050,0.270,0.240,0.260,0.260,0.270,0.270,0.280,0.280,0.280,0.280,0.270,0.250,0.200,0.130,0.070,0.040
0.074,0.250,0.230,0.250,0.240,0.260,0.260,0.270,0.260,0.270,0.270,0.260,0.250,0.200,0.140,0.100,0.060
0.101,0.220,0.200,0.220,0.210,0.230,0.240,0.240,0.240,0.250,0.250,0.240,0.230,0.190,0.140,--,--
0.151,0.200,0.160,0.200,0.180,0.200,0.200,0.210,0.210,0.220,0.220,0.200,0.200,0.170,0.130,0.080,0.040
0.200,0.180,0.150,0.170,0.160,0.180,0.180,0.190,0.180,0.190,0.190,0.180,0.180,0.150,0.120,--,--
0.252,0.160,0.140,0.150,0.140,0.160,0.160,0.180,0.170,0.180,0.180,0.170,0.170,0.140,0.110,0.070,0.030
0.302,0.150,0.120,0.140,0.140,0.150,0.160,0.160,0.160,0.170,0.170,0.160,0.160,0.140,0.100,--,--
0.352,0.140,0.110,0.130,0.120,0.140,0.140,0.140,0.140,0.160,0.160,0.150,0.140,0.120,0.080,0.040,0.010
0.400,0.140,0.110,0.130,0.120,0.140,0.130,0.140,0.140,0.150,0.150,0.140,0.140,0.120,0.080,--,--
0.451,0.140,0.110,0.130,0.120,0.140,0.140,0.140,0.140,0.150,0.160,0.150,0.140,0.130,0.090,0.060,0.030
0.501,0.150,0.120,0.140,0.130,0.140,0.140,0.150,0.150,0.160,0.160,0.160,0.160,0.140,0.100,--,--
0.551,0.130,0.110,0.130,0.130,0.140,0.150,0.160,0.150,0.170,0.160,0.160,0.160,0.140,0.110,0.080,0.060
0.601,0.140,0.120,0.150,0.150,0.160,0.160,0.170,0.170,0.180,0.180,0.180,0.180,0.160,0.130,--,--
0.652,0.160,0.140,0.160,0.160,0.170,0.180,0.190,0.190,0.200,0.200,0.200,0.200,0.180,0.150,0.120,0.110
0.702,0.170,0.150,0.180,0.180,0.190,0.190,0.190,0.200,0.220,0.220,0.210,0.220,0.200,0.170,--,--
0.752,0.190,0.170,0.200,0.200,0.210,0.210,0.220,0.220,0.240,0.240,0.240,0.240,0.220,0.190,0.160,0.160
0.801,0.220,0.170,0.210,0.210,0.220,0.220,0.230,0.230,0.250,0.250,0.250,0.250,0.230,0.200,--,--
0.851,0.210,0.160,0.190,0.190,0.200,0.200,0.210,0.210,0.220,0.230,0.220,0.230,0.200,0.170,0.130,0.120
0.902,0.220,0.150,0.180,0.170,0.180,0.190,0.200,0.190,0.210,0.210,0.210,0.210,0.170,0.130,--,--
0.951,0.100,0.080,0.110,0.090,0.100,0.100,0.110,0.110,0.130,0.130,0.130,0.120,0.060,0.000,-0.080,-0.080
