,0.320,0.420,0.520,0.550,0.580,0.600
0.013,1.030,1.050,1.060,1.070,1.080,1.090
0.026,0.970,1.000,1.020,1.040,1.040,1.060
0.050,0.920,0.950,0.970,0.980,0.980,0.990
0.075,0.860,0.890,0.910,0.910,0.920,0.930
0.101,0.800,0.820,0.850,0.850,0.850,0.870
0.151,0.700,0.730,0.750,0.760,0.760,0.770
0.200,0.630,0.650,0.680,0.690,0.690,0.690
0.252,0.550,0.580,0.610,0.610,0.620,0.630
0.302,0.510,0.520,0.550,0.560,0.560,0.570
0.352,0.450,0.460,0.490,0.500,0.500,0.500
0.400,0.390,0.420,0.450,0.450,0.450,0.460
0.451,0.360,0.380,0.400,0.420,0.410,0.420
0.501,0.320,0.340,0.360,0.370,0.370,0.380
0.551,0.270,0.280,0.310,0.310,0.320,0.330
0.601,0.230,0.240,0.280,0.280,0.290,0.290
0.652,0.200,0.210,0.240,0.250,0.250,0.260
0.702,0.160,0.180,0.210,0.210,0.220,0.230
0.752,0.140,0.150,0.170,0.180,0.190,0.200
0.801,0.110,0.110,0.140,0.150,0.160,0.160
0.851,0.040,0.030,0.050,0.050,0.070,0.070
0.902,-0.050,-0.090,-0.080,-0.060,-0.060,-0.040
0.951,-0.250,-0.360,-0.380,-0.370,-0.360,-0.350
